date,open,high,low,close,volume
2026-02-12,67.17,67.71,63.62,63.92,7938479.0
2026-02-13,64.42,68.1883,62.56,65.69,6085807.0
2026-02-17,64.6,69.585,62.84,67.64,6074399.0
2026-02-18,67.38,70.15,65.8,67.39,5217014.0
2026-02-19,66.225,68.36,64.34,67.64,5446632.0
2026-02-20,66.66,67.77,62.68,63.83,7083082.0
2026-02-23,61.6,63.34,60.89,63.09,6173606.904952
2026-02-24,61.705,65.3,60.12,65.06,6697997.217234
2026-02-25,66.41,67.67,64.76,66.32,6044277.823282
2026-02-26,65.84,69.95,64.6,69.07,8025947.998818
2026-02-27,65.72,66.08,62.07,62.95,8187084.924645
2026-03-02,60.12,64.8988,60.0,64.68,7190571.605952
2026-03-03,61.93,64.515,60.0401,63.3,5983547.410139
2026-03-04,63.8,66.18,63.3,65.65,6168960.434399
2026-03-05,64.4,64.6207,59.07,62.03,9806842.813563
2026-03-06,60.31,62.8,58.185,58.25,8836851.237326
2026-03-09,57.11,62.06,56.47,61.78,8297548.866203
2026-03-10,61.91,63.45,61.26,61.38,6064594.600576
2026-03-11,61.8,64.1,61.106,62.76,6280488.40037
2026-03-12,61.74,63.2,59.51,59.59,7154187.936816
2026-03-13,61.06,61.73,57.95,58.37,5841009.971751
2026-03-16,59.84,60.36,57.827,59.69,6306437.6882
2026-03-17,64.96,65.97,59.24,60.53,19128898.353665
2026-03-18,60.19,61.75,56.68,56.7,11984813.096743
2026-03-19,55.64,56.6861,53.5,54.69,9444902.962091
2026-03-20,54.57,57.32,52.75,53.97,12577716.129602
2026-03-23,54.6,57.21,54.02,56.26,9233206.380501
2026-03-24,55.46,56.08,53.33,54.96,7418550.781672
2026-03-25,56.46,57.65,54.43,55.27,6012039.857435
2026-03-26,53.61,54.875,51.1,51.81,7246325.773494
2026-03-27,51.52,52.6351,50.15,50.23,6419401.205863
2026-03-30,50.94,51.97,44.88,45.58,10856104.781681
2026-03-31,46.02,50.0,45.6001,49.59,9401210.295572
2026-04-01,51.08,51.845,47.92,48.07,8033125.676421
2026-04-02,45.95,49.05,45.36,48.13,5533365.049467
2026-04-06,48.1,49.85,47.98,48.76,4911162.316948
2026-04-07,47.4,47.94,44.91,46.59,6855147.978133
2026-04-08,50.52,51.38,48.0,50.21,8582363.580854
2026-04-09,49.53,50.36,47.395,47.75,5966079.955012
2026-04-10,48.86,52.15,48.55,50.25,7166936.949564
2026-04-13,49.0,53.96,48.1,53.94,8487341.917531
2026-04-14,59.09,61.61,56.22,58.58,18440867.985641
2026-04-15,62.53,66.62,61.11,63.35,21905536.821007
2026-04-16,67.61,68.76,60.81,64.21,18340953.794166
2026-04-17,66.06,74.21,64.95,66.81,24357202.858456
2026-04-20,65.53,68.3,63.75,68.13,12882957.661614
2026-04-21,68.41,69.0,62.22,62.61,15258402.940707
2026-04-22,65.19,72.63,64.75,72.41,18164376.203209
2026-04-23,77.73,80.64,73.66,76.46,31945458.517074
2026-04-24,81.29,81.5,70.88,71.0,23265286.813318
2026-04-27,71.0,76.2,70.3,75.93,18897069.047043
2026-04-28,71.51,72.87,68.79,69.09,14842375.925519
2026-04-29,70.54,70.6,63.2,64.98,16156521.500047
2026-04-30,65.54,72.84,65.261,72.5,14651903.708209
2026-05-01,71.68,71.68,68.47,70.4,10510636.886769
2026-05-04,70.454,72.3,68.5,68.6,8854527.853354
2026-05-05,69.01,69.24,66.08,68.38,8280364.963631
2026-05-06,71.21,80.08,69.25,79.62,23036776.666791
2026-05-07,78.0,79.5,70.87,71.83,14637248.710074
2026-05-08,73.7,74.0,70.0,72.51,10013595.832123
2026-05-11,71.41,79.65,69.22,78.13,17333297.905795
2026-05-12,75.73,76.68,70.3001,73.63,15654932.083239
2026-05-13,73.37,73.4,68.1001,69.66,14287262.908363
2026-05-14,67.39,67.6999,64.66,67.21,14828076.10741
2026-05-15,64.8,65.0,61.73,62.25,11851941.300742
2026-05-18,62.45,63.0,56.8,58.56,14527876.538732
2026-05-19,56.73,57.77,53.955,55.88,11768833.00269
2026-05-20,57.56,62.9,56.64,62.58,13890218.515968
2026-05-21,61.92,65.29,61.1,65.09,10385904.705864
2026-05-22,66.82,69.7167,65.13,65.88,11410669.092226
2026-05-26,71.87,73.29,68.08,68.7,18505654.770145
2026-05-27,69.34,69.52,65.37,67.82,10469933.690802
2026-05-28,66.48,70.978,65.62,68.09,12231102.572481
2026-05-29,68.09,70.01,64.2842,66.88,27669420.806585
2026-06-01,65.9,70.5999,64.57,66.89,18846349.44262
2026-06-02,67.1,73.86,65.66,73.47,24065061.471824
2026-06-03,70.72,70.85,64.05,65.21,22785221.096897
2026-06-04,64.51,66.5697,63.33,65.39,11973862.444062
2026-06-05,64.8,64.81,56.625,58.09,18896461.109244
2026-06-08,60.1,60.3505,58.0,58.94,8918034.066859
2026-06-09,59.01,59.88,53.0101,56.48,12403289.350405
2026-06-10,55.43,57.88,53.83,54.02,8300423.604752
