date,open,high,low,close,volume
2026-02-06,11.0,11.41,10.89,11.23,1250870.0
2026-02-09,11.18,11.445,11.01,11.3,629707.0
2026-02-10,11.34,11.46,11.12,11.17,525493.0
2026-02-11,11.24,11.45,11.0,11.23,844775.0
2026-02-12,11.21,11.535,11.05,11.44,653911.0
2026-02-13,11.54,12.14,11.445,11.69,792865.0
2026-02-17,11.93,12.45,11.75,11.93,955447.0
2026-02-18,11.87,12.24,11.66,11.75,840450.0
2026-02-19,11.62,12.15,11.62,12.01,728844.0
2026-02-20,11.86,12.22,11.73,12.04,1007423.0
2026-02-23,11.96,12.13,11.09,11.44,1439755.906793
2026-02-24,11.37,11.83,11.36,11.55,866371.514727
2026-02-25,11.6,11.78,11.31,11.38,687669.212187
2026-02-26,11.38,11.58,11.28,11.55,537888.976049
2026-02-27,11.37,12.075,11.37,12.05,1205919.518432
2026-03-02,11.79,12.13,11.67,11.98,896137.666809
2026-03-03,11.54,11.76,11.22,11.64,710146.43845
2026-03-04,11.68,11.88,11.37,11.59,879372.19102
2026-03-05,11.5,11.69,11.33,11.49,887263.693525
2026-03-06,11.33,11.66,11.15,11.54,622817.049849
2026-03-09,11.36,11.64,11.155,11.29,1019253.372986
2026-03-10,11.26,11.93,11.22,11.71,815697.795939
2026-03-11,11.62,11.98,11.51,11.93,554932.575753
2026-03-12,11.66,11.74,11.28,11.42,722278.07859
2026-03-13,11.56,11.71,11.12,11.19,750063.276702
2026-03-16,11.29,11.4,11.09,11.14,491404.081918
2026-03-17,11.17,11.385,11.01,11.27,631030.901327
2026-03-18,11.18,11.18,10.75,10.95,783939.647616
2026-03-19,10.83,11.27,10.66,11.12,650430.672088
2026-03-20,11.07,11.22,10.89,11.0,1318574.666083
2026-03-23,11.17,11.44,10.59,10.66,1185912.131345
2026-03-24,10.5,10.59,10.045,10.18,956723.411249
2026-03-25,10.36,10.73,10.29,10.44,633371.582097
2026-03-26,10.33,10.695,10.205,10.3,559951.750767
2026-03-27,10.4,10.41,9.855,9.88,877096.023847
2026-03-30,9.95,10.055,9.77,9.81,1081760.889183
2026-03-31,10.0,10.62,9.99,10.56,1793020.089189
2026-04-01,11.32,13.0,11.29,12.08,4639001.206151
2026-04-02,11.62,11.8109,10.8241,10.9,1837300.896854
2026-04-06,10.94,11.2701,10.7,10.885,1029375.760825
2026-04-07,10.8,11.0,10.41,10.98,1237784.909846
2026-04-08,11.33,11.6,10.93,11.51,1191210.313141
2026-04-09,11.4,11.935,11.36,11.91,1280813.162275
2026-04-10,12.02,12.02,11.46,11.49,970358.706626
2026-04-13,11.41,11.65,11.25,11.38,797850.10187
2026-04-14,11.48,11.84,11.4599,11.84,776502.841615
2026-04-15,11.98,12.57,11.92,12.25,1159429.084237
2026-04-16,12.48,12.6,12.09,12.54,1092175.257477
2026-04-17,12.59,13.455,12.45,13.44,1953030.325136
2026-04-20,13.35,13.94,13.04,13.47,1127979.264483
2026-04-21,13.4,13.5,13.02,13.26,829013.890821
2026-04-22,13.52,13.59,13.215,13.37,890466.463426
2026-04-23,13.32,13.7,13.01,13.52,869162.874507
2026-04-24,13.52,13.92,13.04,13.53,1523877.895514
2026-04-27,13.5,14.99,13.48,14.74,1913939.791333
2026-04-28,14.65,14.89,14.296,14.67,1618912.404351
2026-04-29,14.64,14.72,14.365,14.56,856129.117434
2026-04-30,14.72,14.92,14.575,14.6,712574.156961
2026-05-01,14.57,15.32,14.4501,15.06,1282110.240109
2026-05-04,15.03,15.25,14.69,14.91,1087977.356669
2026-05-05,14.98,15.05,14.63,14.77,779081.956312
2026-05-06,14.77,14.915,14.6306,14.83,539604.795815
2026-05-07,14.86,14.88,14.36,14.64,737861.037364
2026-05-08,14.62,14.83,14.12,14.13,863194.566446
2026-05-11,14.14,14.76,14.13,14.36,800492.102816
2026-05-12,14.48,14.94,14.33,14.76,1100077.125112
2026-05-13,14.77,14.86,13.78,14.38,2377106.995913
2026-05-14,14.54,14.72,12.5101,13.28,3446003.392451
2026-05-15,12.86,13.0,11.8001,12.25,3266355.140776
2026-05-18,12.29,12.35,11.66,11.7,1988371.067304
2026-05-19,11.57,11.98,11.41,11.97,1374098.93868
2026-05-20,12.23,12.55,12.0,12.38,1052838.414033
2026-05-21,12.38,12.55,11.92,11.96,1096337.49956
2026-05-22,11.84,11.97,11.455,11.46,1525924.219544
