date,open,high,low,close,volume
2026-02-02,28.98,29.55,25.89,26.07,50762.0
2026-02-03,26.76,30.66,25.65,29.79,80701.0
2026-02-04,28.2,28.6497,24.0,28.5,66206.0
2026-02-05,25.77,28.7883,24.2751,24.96,57996.666667
2026-02-06,25.26,27.9987,24.9,26.31,57036.0
2026-02-09,26.85,27.7518,24.45,27.27,52088.0
2026-02-10,28.05,28.35,24.09,24.54,47673.0
2026-02-11,24.63,25.2,23.46,24.6,37616.666667
2026-02-12,24.57,24.57,19.95,20.94,69827.0
2026-02-13,21.3,22.8447,20.2902,21.66,33962.333333
2026-02-17,20.67,21.4071,19.71,20.4,55212.666667
2026-02-18,20.91,24.2151,20.4951,23.13,117200.333333
2026-02-19,21.84,24.99,21.6,23.4,258883.333333
2026-02-20,31.17,32.64,24.12,26.82,403997.0
2026-02-23,25.755,30.84,22.65,24.12,172827.142365
2026-02-24,23.415,27.69,22.74,27.69,103629.891175
2026-02-25,27.66,29.25,25.5,26.16,113785.615732
2026-02-26,26.25,30.99,26.25,30.93,132336.443083
2026-02-27,28.41,31.53,27.9,30.96,51486.055609
2026-03-02,27.09,28.38,25.695,26.28,89963.177909
2026-03-03,24.21,25.695,22.5,25.62,64512.636531
2026-03-04,26.25,27.7449,24.054,24.63,62726.318484
2026-03-05,23.97,27.78,23.97,27.78,124530.993432
2026-03-06,25.74,27.39,24.705,25.8,72007.641207
2026-03-09,23.8725,27.2061,23.01,26.37,66365.191198
2026-03-10,27.28,27.9,25.5,25.51,39146.018809
2026-03-11,25.7,28.69,25.51,28.49,80240.021322
2026-03-12,26.97,27.71,23.4308,23.85,81021.60615
2026-03-13,24.89,26.055,22.85,24.94,64351.159642
2026-03-16,25.09,27.54,25.09,27.3,86528.385573
2026-03-17,27.51,32.03,27.51,31.23,114058.736464
2026-03-18,29.99,29.99,27.86,27.93,70412.673213
2026-03-19,26.0,26.89,24.4627,26.33,35403.063451
2026-03-20,26.28,26.3,22.91,24.3,44284.915133
2026-03-23,25.44,28.31,25.0,26.66,52483.135291
2026-03-24,25.98,26.77,25.0858,26.65,17114.648721
2026-03-25,28.06,28.97,25.25,26.04,43756.826176
2026-03-26,24.6,26.25,23.53,23.7268,24324.861195
2026-03-27,22.24,22.89,21.24,22.72,66774.165561
2026-03-30,22.81,22.81,18.81,19.03,34567.290622
2026-03-31,20.33,21.58,19.43,21.1,28819.248782
2026-04-01,22.16,22.23,20.09,20.43,16820.03944
2026-04-02,18.7,21.97,18.612,21.49,50533.9758
2026-04-06,22.228,22.42,19.955,20.34,33895.284232
2026-04-07,19.68,20.04,18.68,20.04,16003.851533
2026-04-08,23.18,23.5,20.57,20.9,52935.470314
2026-04-09,20.32,20.32,17.76,17.9,59456.746009
2026-04-10,18.2,19.88,17.8,17.81,32896.095314
2026-04-13,17.65,18.22,16.2706,18.02,32757.383324
2026-04-14,18.84,19.93,18.4,19.6,26239.866048
2026-04-15,19.74,22.255,19.74,22.19,25906.389115
2026-04-16,23.96,26.4,23.2559,26.39,68418.599143
2026-04-17,26.91,28.5036,25.795,26.48,67085.888422
2026-04-20,25.8,27.12,25.1,27.09,30225.628102
2026-04-21,27.89,33.18,27.425,27.95,136068.612049
2026-04-22,30.28,30.28,25.85,27.85,92717.392178
2026-04-23,26.0,26.64,23.32,25.2,64215.678257
2026-04-24,26.51,28.77,25.06,28.35,71604.693281
2026-04-27,28.7,30.2,26.9,27.38,37759.78489
2026-04-28,26.955,29.5018,26.19,27.7494,36103.581692
2026-04-29,27.21,29.71,24.84,28.945,36939.702368
2026-04-30,29.16,29.16,23.98,26.38,65950.044261
2026-05-01,26.47,28.49,26.195,27.09,33608.192195
2026-05-04,26.35,26.35,23.83,24.1,58214.393828
2026-05-05,24.48,25.51,22.8,25.0,51277.55277
2026-05-06,25.44,28.56,25.3,27.28,84299.440159
2026-05-07,28.45,28.45,25.66,25.885,104078.358306
2026-05-08,26.6,27.265,20.81,23.0,158722.765339
2026-05-11,21.15,22.07,20.22,21.1,73186.541549
2026-05-12,20.82,21.41,19.08,20.05,45626.027765
2026-05-13,19.59,21.19,18.635,19.05,62381.96624
2026-05-14,18.735,19.62,17.9,17.975,43732.495528
2026-05-15,17.3,17.86,16.51,17.08,54283.849578
2026-05-18,17.37,17.37,15.55,16.333,84100.012545
2026-05-19,15.55,16.56,15.5,16.5102,19776.9792
2026-05-20,16.6,17.68,16.04,17.2786,32998.646325
2026-05-21,17.15,19.05,16.29,18.8019,53099.088914
2026-05-22,18.69,19.08,17.75,18.46,41631.068938
2026-05-26,18.84,20.29,18.0,18.05,59324.852169
2026-05-27,19.4,22.045,19.4,20.15,147802.199687
2026-05-28,19.85,24.11,18.67,22.82,121687.084606
2026-05-29,22.5,23.32,21.38,22.51,76078.775276
2026-06-01,23.28,26.54,22.75,24.77,148546.019393
2026-06-02,24.8,27.8,23.315,25.79,153647.522086
2026-06-03,23.7,23.8181,20.0601,20.15,86654.778025
2026-06-04,20.44,22.735,20.44,21.01,51081.062236
2026-06-05,20.4,20.4,16.4,16.55,113829.405145
