date,open,high,low,close,volume
2026-02-02,170.92,171.2,160.0,160.06,47421032.0
2026-02-03,158.26,159.38,151.9,154.67,43260101.0
2026-02-04,153.89,153.94,144.432,146.67,42323390.0
2026-02-05,145.6,146.55,135.25,136.48,42788953.0
2026-02-06,139.75,143.2,138.91,142.82,29962414.0
2026-02-09,148.49,159.75,147.0,156.59,49936490.0
2026-02-10,160.0,165.39,156.96,159.89,40092248.0
2026-02-11,163.66,163.66,154.0,157.16,24538854.0
2026-02-12,157.93,159.04,152.5,156.48,23285399.0
2026-02-13,159.25,162.3,155.29,160.14,18596959.0
2026-02-17,157.98,159.28,152.88,153.97,19610800.0
2026-02-18,154.405,157.3,151.37,156.17,14801081.0
2026-02-19,157.19,160.0827,155.77,156.54,14976323.0
2026-02-20,153.3,153.99,147.39,148.08,29621889.0
2026-02-23,145.69,145.8,138.585,141.31,31749782.374877
2026-02-24,140.84,146.76,138.73,146.14,21336624.702398
2026-02-25,149.16,153.2794,147.335,147.89,27303928.542674
2026-02-26,148.79,152.5,145.15,150.31,20652223.959565
2026-02-27,143.88,146.08,142.1,145.4,36425195.878769
2026-03-02,141.62,150.17,141.18,149.25,22418782.545026
2026-03-03,144.75,150.93,143.05,149.01,20120790.403851
2026-03-04,150.01,153.61,149.1,152.37,17585394.218653
2026-03-05,152.59,157.94,150.12,154.79,24094779.611761
2026-03-06,152.92,159.19,151.62,152.96,38000592.060464
2026-03-09,150.7,152.0,146.4348,151.56,31173468.022611
2026-03-10,153.62,154.14,148.45,149.4,51544623.689587
2026-03-11,166.38,171.76,160.58,163.12,83247484.596409
2026-03-12,164.66,167.83,158.61,159.16,37133719.112136
2026-03-13,159.05,160.77,154.15,155.11,26350375.218561
2026-03-16,156.06,158.74,154.5104,155.97,21607689.4958
2026-03-17,155.44,158.92,153.5001,154.69,23929463.046337
2026-03-18,153.4,154.9652,152.04,152.9,18051075.61871
2026-03-19,150.46,156.92,148.89,155.52,22046113.851773
2026-03-20,153.05,153.25,147.95,149.68,37551358.175872
2026-03-23,151.42,155.78,150.71,154.34,19927945.277144
2026-03-24,153.0,153.9,146.85,147.09,26122141.050636
2026-03-25,149.225,149.84,144.6008,146.02,20683774.455165
2026-03-26,143.89,146.47,142.54,142.81,16961884.694085
2026-03-27,140.93,141.69,138.301,139.66,17929588.396319
2026-03-30,140.04,141.2,136.95,138.8,20125734.803394
2026-03-31,140.3,147.395,139.85,147.11,24491953.252063
2026-04-01,149.09,149.65,144.67,145.23,20495868.248269
2026-04-02,142.78,146.44,140.3,146.38,14381866.156386
2026-04-06,147.44,148.55,143.85,145.54,12556727.949034
2026-04-07,143.78,144.57,139.94,143.17,17250445.543455
2026-04-08,150.3,151.46,142.9,143.66,23527034.599609
2026-04-09,142.2,142.8,136.0,137.86,30407824.384084
2026-04-10,137.32,140.165,134.57,138.09,26171810.14325
2026-04-13,139.77,155.91,139.72,155.62,49997735.215988
2026-04-14,167.93,169.4,161.56,163.0,59779843.627611
2026-04-15,166.89,172.56,166.21,169.81,43010821.630725
2026-04-16,176.42,180.27,173.8,178.34,46997279.238675
2026-04-17,182.93,184.5,173.36,175.06,45282649.85316
2026-04-20,176.81,177.76,173.51,177.58,22330910.079843
2026-04-21,178.35,185.34,176.0123,181.17,39638047.347658
2026-04-22,186.18,189.18,182.8,187.5,32448788.559835
2026-04-23,180.4,181.89,174.08,176.28,37084241.747852
2026-04-24,180.505,180.71,168.8,173.28,33214988.862155
2026-04-27,172.584,173.55,167.9,172.96,21616573.611005
2026-04-28,162.16,168.6999,162.05,165.96,33716456.408628
2026-04-29,164.04,164.76,160.65,163.83,20587497.355315
2026-04-30,162.02,165.18,160.33,161.39,21016368.090944
2026-05-01,166.42,174.3,166.15,171.83,26318017.544835
2026-05-04,176.02,183.5,174.26,180.29,33504465.931625
2026-05-05,182.125,186.52,179.0,185.35,23497237.010969
2026-05-06,186.2,194.29,182.67,194.03,27685486.422719
2026-05-07,198.61,200.15,190.8,194.59,31803162.347873
2026-05-08,192.58,198.0,190.21,195.95,21158338.230562
2026-05-11,192.15,195.6822,190.6,193.84,16890587.787642
2026-05-12,192.92,192.92,180.8701,186.83,22123411.226358
2026-05-13,189.03,191.57,185.06,189.76,15789272.716838
2026-05-14,188.18,200.709,185.45,195.61,22544995.652174
2026-05-15,190.49,196.43,188.9,192.95,15747148.391957
2026-05-18,190.0,190.76,183.27,186.61,19114329.227478
2026-05-19,186.0,188.7248,180.93,181.46,16717712.286721
2026-05-20,179.94,188.22,178.8,188.16,16517223.627464
2026-05-21,189.01,192.82,187.2,189.77,12119718.252474
2026-05-22,191.67,197.0,191.1,192.08,10875803.871898
2026-05-26,193.3,195.2,190.56,193.06,12856100.581292
2026-05-27,191.48,192.14,187.9161,190.96,12125998.236559
2026-05-28,194.04,205.0,193.3772,203.7,25339881.422544
2026-05-29,209.0,226.29,208.01,225.78,41082199.321016
2026-06-01,230.5,250.25,224.6,248.15,48389992.491723
2026-06-02,242.8,249.0,238.84,244.58,30294766.174012
2026-06-03,240.48,240.51,227.605,230.33,23644680.260713
2026-06-04,227.0,238.95,224.0,236.34,19993753.511251
2026-06-05,229.49,231.44,209.4501,213.68,29019876.272535
2026-06-08,217.75,219.06,209.331,211.82,17227241.201768
2026-06-09,213.905,220.5,197.7901,205.81,26040722.992118
2026-06-10,198.5,212.4799,198.18,201.26,46108327.434166
2026-06-11,179.67,184.77,175.28,184.1,63678509.245023
