date,open,high,low,close,volume
2026-02-02,2.78,2.97,2.715,2.92,793000.0
2026-02-03,2.92,3.005,2.795,2.86,506449.0
2026-02-04,2.88,2.935,2.86,2.9,401175.0
2026-02-05,2.89,2.9,2.695,2.73,872621.0
2026-02-06,2.77,2.81,2.7,2.71,453354.0
2026-02-09,2.7,2.835,2.6417,2.82,392146.0
2026-02-10,2.8,2.895,2.77,2.81,260320.0
2026-02-11,2.83,2.875,2.74,2.82,392276.0
2026-02-12,2.83,2.86,2.715,2.8,481567.0
2026-02-13,2.8,2.86,2.75,2.75,358504.0
2026-02-17,2.73,2.79,2.68,2.75,388049.0
2026-02-18,2.76,2.913,2.75,2.85,302748.0
2026-02-19,2.8,2.85,2.79,2.83,381185.0
2026-02-20,2.82,2.82,2.73,2.75,240448.0
2026-02-23,2.73,2.775,2.67,2.75,401283.117941
2026-02-24,2.75,2.825,2.75,2.82,360062.149
2026-02-25,2.82,2.85,2.77,2.8,539806.945457
2026-02-26,2.51,3.14,2.51,3.08,1047691.519187
2026-02-27,3.06,3.2154,3.06,3.15,580547.528194
2026-03-02,3.12,3.17,2.915,2.96,817694.334935
2026-03-03,2.87,3.065,2.86,2.98,493127.017425
2026-03-04,3.02,3.08,2.96,3.01,348369.0
2026-03-05,2.99,3.035,2.91,2.985,468937.293171
2026-03-06,2.88,3.205,2.88,3.19,648266.890607
2026-03-09,3.15,3.23,3.095,3.2,435500.904624
2026-03-10,3.15,3.2,3.095,3.13,409686.0
2026-03-11,3.08,3.21,3.08,3.18,395657.497113
2026-03-12,3.14,3.175,3.02,3.09,454360.471309
2026-03-13,3.1,3.1499,2.915,2.97,646153.706792
2026-03-16,2.94,3.15,2.94,3.13,429124.738446
2026-03-17,3.35,3.45,2.97,2.98,990010.839357
2026-03-18,2.94,2.965,2.78,2.9,754563.40072
2026-03-19,2.87,2.95,2.85,2.91,410333.912268
2026-03-20,2.91,2.98,2.855,2.95,1214985.878
2026-03-23,3.08,3.18,3.05,3.08,779824.752927
2026-03-24,3.2,3.26,2.99,3.06,1082463.085318
2026-03-25,3.13,3.175,3.07,3.14,424601.765623
2026-03-26,3.11,3.145,3.05,3.07,238316.0
2026-03-27,3.04,3.11,2.97,3.0,390950.506494
2026-03-30,2.99,2.99,2.895,2.92,402951.823809
2026-03-31,2.96,3.02,2.92,3.0,345502.4229
2026-04-01,2.8254,3.105,2.8254,3.05,301272.314154
2026-04-02,3.01,3.095,2.98,3.08,460753.167345
2026-04-06,3.07,3.13,3.055,3.08,601425.106803
2026-04-07,3.08,3.08,3.005,3.06,304438.7593
2026-04-08,3.14,3.18,3.05,3.08,269870.0
2026-04-09,3.09,3.09,3.03,3.06,196746.41177
2026-04-10,3.06,3.11,2.915,2.96,250940.058008
2026-04-13,2.96,3.115,2.95,3.08,390267.384798
2026-04-14,3.08,3.22,3.08,3.21,263855.237158
2026-04-15,3.2,3.245,3.18,3.24,223874.298953
2026-04-16,3.24,3.24,3.165,3.21,223273.878164
2026-04-17,3.25,3.27,3.16,3.16,305983.102665
2026-04-20,3.16,3.27,3.16,3.19,300223.0
2026-04-21,3.22,3.245,3.1414,3.16,245939.629201
2026-04-22,3.18,3.23,3.1,3.12,365417.0
2026-04-23,3.11,3.126,3.045,3.05,352252.0
2026-04-24,3.03,3.05,2.93,3.0,481593.348035
2026-04-27,3.0,3.0499,2.925,3.01,501312.001836
2026-04-28,3.03,3.13,2.98,3.01,547357.748885
2026-04-29,2.98,3.02,2.9004,2.96,335182.829041
2026-04-30,2.96,3.05,2.95,3.04,277639.95
2026-05-01,3.02,3.04,2.905,2.95,304830.136234
2026-05-04,2.94,2.97,2.92,2.95,360350.38983
2026-05-05,2.95,3.05,2.95,3.0,284546.331696
2026-05-06,3.02,3.115,2.95,3.0,584267.473689
2026-05-07,2.96,3.235,2.95,3.13,1595258.73435
2026-05-08,3.13,3.14,3.01,3.06,869003.656116
2026-05-11,3.06,3.09,3.0,3.02,850258.294872
2026-05-12,3.02,3.06,2.8816,2.97,835590.56031
2026-05-13,2.98,3.06,2.98,3.04,1097179.761525
2026-05-14,3.05,3.09,2.92,2.95,868110.131859
2026-05-15,3.01,3.185,2.96,3.0,1389244.201708
2026-05-18,3.01,3.06,2.99,3.01,509788.475317
2026-05-19,3.0,3.095,2.955,3.08,390160.7518
2026-05-20,3.07,3.145,3.055,3.07,566233.773232
2026-05-21,3.05,3.3,3.03,3.29,626306.358876
2026-05-22,3.29,3.65,3.29,3.61,931747.271303
2026-05-26,3.93,4.03,3.66,3.94,1543134.381644
2026-05-27,3.92,4.125,3.85,3.98,976926.093746
2026-05-28,3.97,4.33,3.91,4.23,1136400.293556
2026-05-29,4.19,4.33,4.1734,4.3,780830.319724
2026-06-01,4.19,4.285,4.03,4.09,898683.080016
2026-06-02,4.03,4.16,3.95,4.0,1236825.451658
2026-06-03,4.01,4.1,3.925,3.95,818340.551779
2026-06-04,3.89,4.19,3.89,4.17,719597.68808
2026-06-05,4.17,4.22,4.01,4.04,554823.374346
2026-06-08,4.09,4.19,4.045,4.15,808637.41368
2026-06-09,4.18,4.27,4.115,4.24,748278.754872
2026-06-10,4.26,4.295,4.02,4.03,716979.736698
2026-06-11,4.07,4.28,4.0,4.19,776017.868568
