date,open,high,low,close,volume
2026-02-02,54.25,56.1717,52.58,53.63,11750235.0
2026-02-03,57.51,57.72,54.8,56.67,13208431.0
2026-02-04,58.29,58.705,54.9,57.51,8942499.0
2026-02-05,53.975,55.855,52.155,52.41,12548211.0
2026-02-06,53.5,55.4,53.05,55.21,9533493.0
2026-02-09,57.0,59.08,56.57,58.97,6636563.0
2026-02-10,58.01,59.89,57.98,59.29,6597116.0
2026-02-11,61.36,61.49,58.54,59.88,5957774.0
2026-02-12,58.9,59.44,54.515,54.59,9075014.0
2026-02-13,56.0,58.24,55.54,57.93,6726623.0
2026-02-17,56.26,56.515,53.52,56.09,8190732.0
2026-02-18,57.33,58.38,56.5,58.01,7545664.0
2026-02-19,58.5,61.55,57.2701,61.21,9356257.0
2026-02-20,61.37,64.92,60.4,64.7,10838915.0
2026-02-23,65.36,66.23,64.08,65.18,8627803.413985
2026-02-24,63.19,65.71,62.49,65.36,5206284.773603
2026-02-25,66.47,66.47,64.18,64.3,7001558.454213
2026-02-26,64.23,67.55,63.4,67.51,7373697.474993
2026-02-27,68.1,68.91,67.3,68.7,6155646.36864
2026-03-02,68.31,68.6799,64.73,67.02,6473102.88989
2026-03-03,62.995,62.995,58.8,61.59,10040333.045815
2026-03-04,63.265,63.96,60.905,61.85,5315002.26052
2026-03-05,61.85,61.85,58.0401,59.95,7651985.659959
2026-03-06,59.56,60.37,57.37,59.56,6505943.814614
2026-03-09,58.48,60.665,56.47,60.56,7738374.028924
2026-03-10,62.04,64.19,61.15,61.51,9893802.442577
2026-03-11,60.19,60.87,58.69,60.83,6590384.784523
2026-03-12,60.49,60.5,58.24,60.07,5524486.720887
2026-03-13,59.24,59.24,55.67,56.12,7812893.89628
2026-03-16,55.55,56.97,54.02,56.41,8856259.857167
2026-03-17,56.8,57.945,55.121,55.81,7131669.849662
2026-03-18,52.95,53.33,51.02,51.79,9949376.538935
2026-03-19,47.5614,48.89,45.935,48.34,15575008.443275
2026-03-20,48.45,48.45,46.06,46.66,28015497.342754
2026-03-23,46.87,49.69,46.26,49.14,10519724.103408
2026-03-24,48.44,50.15,47.67,49.87,5934801.520528
2026-03-25,52.5,52.905,50.861,51.46,6369178.225832
2026-03-26,49.56,52.23,49.38,49.65,6932314.410666
2026-03-27,48.89,52.2,48.88,51.7,5366965.653588
2026-03-30,52.52,52.9124,50.41,51.16,5585604.46949
2026-03-31,52.39,54.69,52.3,54.63,5696358.99885
2026-04-01,55.66,56.965,54.975,55.58,6629605.405136
2026-04-02,52.88,56.26,52.68,55.77,5108409.396114
2026-04-06,55.97,56.46,55.505,55.96,3648592.047353
2026-04-07,55.61,56.29,54.21,56.2,5060419.321421
2026-04-08,59.375,59.9,56.315,57.37,6066991.482976
2026-04-09,57.48,58.67,56.14,56.85,4054001.491251
2026-04-10,57.2,58.25,57.12,57.64,2867519.850262
2026-04-13,56.46,57.615,56.2553,57.27,3093054.967157
2026-04-14,58.5,59.09,57.85,58.12,3846312.287584
2026-04-15,57.75,58.73,56.78,57.34,4187970.843986
2026-04-16,57.81,58.2,56.4708,56.51,3977442.164601
2026-04-17,58.38,60.555,58.04,59.06,6294476.426747
2026-04-20,58.52,58.89,57.75,58.7,3239106.875997
2026-04-21,58.03,58.29,55.59,55.61,5334386.136333
2026-04-22,57.11,57.43,56.1,56.46,3500818.239861
2026-04-23,55.5,56.04,53.85,55.12,4774196.094742
2026-04-24,55.63,56.259,54.715,55.99,3968758.074888
2026-04-27,55.44,55.62,54.43,55.23,4052967.120023
2026-04-28,53.64,53.905,52.07,52.39,6122100.037902
2026-04-29,51.57,51.625,50.51,51.28,4523458.874422
2026-04-30,53.72,53.72,51.81,52.29,5198688.896211
2026-05-01,52.4,53.43,51.73,51.81,4452130.683466
2026-05-04,50.83,51.9188,50.69,51.11,4151337.151167
2026-05-05,52.11,52.11,50.46,50.52,3526422.602324
2026-05-06,54.34,56.955,53.86,56.59,8610588.404919
2026-05-07,59.05,61.34,57.79,57.81,7512007.303828
2026-05-08,58.94,60.24,58.46,59.14,5956802.749362
2026-05-11,61.0,62.685,60.8,62.29,6344441.386991
2026-05-12,61.08,64.27,60.26,63.78,5383802.634316
2026-05-13,63.99,64.94,62.28,63.66,4786688.794846
2026-05-14,63.11,63.28,60.85,61.09,3632647.838891
2026-05-15,58.12,58.22,55.825,56.4,7443910.130818
2026-05-18,56.68,57.41,54.78,55.19,12110420.738959
2026-05-19,53.69,54.4001,52.67,52.87,7040319.918276
2026-05-20,53.38,55.17,52.86,54.83,4154810.582718
2026-05-21,53.8,55.63,53.36,54.8,2933697.868524
2026-05-22,54.41,54.625,53.13,53.94,2549245.307633
2026-05-26,55.38,55.94,54.53,55.35,3650351.833145
2026-05-27,53.325,54.37,52.93,53.32,3974116.631026
2026-05-28,52.76,55.825,52.22,55.16,3420112.155207
2026-05-29,55.0,57.06,54.5401,56.99,4200390.966792
2026-06-01,55.41,56.46,54.13,55.5,4165983.376072
2026-06-02,56.13,56.3587,54.44,55.2,3969383.851196
2026-06-03,54.09,54.4991,52.54,52.59,4422971.262265
2026-06-04,53.41,54.33,52.89,53.05,2899040.508693
2026-06-05,51.55,51.93,47.1401,47.58,8015382.612558
2026-06-08,47.83,48.65,46.94,47.28,4186360.334824
2026-06-09,47.82,48.09,44.25,46.13,7340958.402121
2026-06-10,44.5,45.73,43.94,44.17,5543255.750045
2026-06-11,43.82,46.63,43.82,46.53,5502722.98226
