date,open,high,low,close,volume
2026-02-05,50.41,50.6,50.41,50.4549,1279.0
2026-02-06,50.43,50.43,50.43,50.43,9.0
2026-02-09,50.445,50.445,50.445,50.445,1.0
2026-02-10,50.48,50.48,50.475,50.475,117.0
2026-02-11,50.435,50.435,50.435,50.435,3.0
2026-02-12,50.485,50.485,50.485,50.485,7.0
2026-02-17,50.565,50.565,50.565,50.565,1500000.0
2026-02-18,50.55,50.55,50.55,50.55,2.0
2026-02-19,50.565,50.565,50.565,50.565,2725000.0
2026-02-20,50.58,50.58,50.58,50.58,20.0
2026-02-23,50.6051,50.6051,50.6051,50.6051,50.0
2026-02-24,50.585,50.585,50.585,50.585,58.0
2026-02-25,50.575,50.575,50.575,50.575,17.98023
2026-02-26,50.615,50.615,50.615,50.615,9.0
2026-02-27,50.635,50.635,50.635,50.635,30.0
2026-03-02,50.44,50.4441,50.44,50.4441,603.0
2026-03-03,50.44,50.44,50.44,50.44,15.0
2026-03-04,50.4493,50.4493,50.4493,50.4493,1.0
2026-03-05,50.38,50.38,50.38,50.38,1.980151
2026-03-06,50.365,50.365,50.365,50.365,11.0
2026-03-09,50.365,50.4153,50.365,50.4153,203160.0
2026-03-10,50.415,50.415,50.415,50.415,225014.0
2026-03-11,50.285,50.285,50.285,50.285,58.0
2026-03-12,50.1019,50.1019,50.1019,50.1019,120.0
2026-03-13,50.09,50.09,50.085,50.085,227.0
2026-03-16,50.15,50.156,50.15,50.156,2502.039
2026-03-17,50.215,50.215,50.215,50.215,24.0
2026-03-18,50.1427,50.1427,50.1427,50.1427,116.0
2026-03-19,50.1554,50.1554,50.1554,50.1554,17.0
2026-03-20,50.045,50.045,50.0235,50.0235,467.0
2026-03-23,50.13,50.15,50.1295,50.1295,763.0
2026-03-24,50.045,50.045,50.045,50.045,40.0
2026-03-25,50.105,50.105,50.105,50.105,89.0
2026-03-26,49.9674,49.9674,49.9674,49.9674,100.98002
2026-03-27,49.9999,49.9999,49.995,49.995,231.0
2026-03-30,50.1,50.1001,50.08,50.085,474.0
2026-03-31,49.995,49.995,49.995,49.995,175.0
2026-04-01,50.02,50.02,50.02,50.02,17.0
2026-04-02,50.08,50.08,49.94,50.04,15838.0
2026-04-06,50.0501,50.0501,50.04,50.04,332.0
2026-04-07,49.9999,50.095,49.9999,50.095,429.0
2026-04-08,50.2,50.2,50.125,50.125,870.0
2026-04-09,50.175,50.175,50.175,50.175,135.0
2026-04-10,50.15,50.15,50.15,50.15,4.039
2026-04-13,50.165,50.17,50.165,50.17,583.0
2026-04-14,50.245,50.245,50.245,50.245,173.0
2026-04-15,50.235,50.235,50.235,50.235,80.16
2026-04-16,50.23,50.23,50.23,50.23,109.980108
2026-04-17,50.34,50.34,50.33,50.33,266.0
2026-04-20,50.32,50.32,50.315,50.315,230.0
2026-04-21,50.25,50.25,50.25,50.25,186.0
2026-04-22,50.28,50.28,50.28,50.28,69.0
2026-04-23,50.26,50.26,50.2409,50.2545,331.0
2026-04-24,50.32,50.32,50.31,50.31,1473.019
2026-04-27,50.255,50.255,50.255,50.255,143.0
2026-04-28,50.2303,50.235,50.23,50.23,1748.0
2026-04-29,50.15,50.15,50.15,50.15,238.0
2026-04-30,50.015,50.035,50.01,50.035,930.980012
2026-05-01,50.0798,50.08,50.06,50.06,574.0
2026-05-04,50.01,50.01,49.985,49.985,291.480008
2026-05-05,50.04,50.04,50.03,50.03,1046.0
2026-05-06,50.1,50.1048,50.1,50.1048,2028.0
2026-05-07,50.05,50.05,50.0451,50.0451,589.039
2026-05-08,50.11,50.11,50.11,50.11,94.0
2026-05-11,50.07,50.07,50.07,50.07,41.0
2026-05-12,50.02,50.03,50.02,50.03,493.0
2026-05-13,50.05,50.05,50.05,50.05,42.0
2026-05-14,50.0364,50.0364,50.0364,50.0364,29.0
2026-05-15,49.9461,49.9461,49.9461,49.9461,37.0
2026-05-18,49.95,49.9799,49.95,49.9694,1309.0
2026-05-19,49.89,49.93,49.8899,49.8901,835.0
2026-05-20,49.91,50.0,49.91,50.0,168.0
2026-05-21,50.0121,50.0121,50.0121,50.0121,140.999
2026-05-22,50.0049,50.0049,50.0049,50.0049,130.0
2026-05-26,50.08,50.08,50.08,50.08,250.0
2026-05-27,50.11,50.12,50.103,50.103,597.0
2026-05-28,50.135,50.135,50.135,50.135,173.0
2026-05-29,49.9852,49.9852,49.9852,49.9852,113.14
2026-06-01,49.9109,49.9576,49.9109,49.9576,1054.5
2026-06-02,49.99,49.99,49.96,49.9601,607.0
2026-06-03,49.9201,49.9201,49.9201,49.9201,74.0
