date,open,high,low,close,volume
2026-02-02,77.63,80.165,77.34,79.45,69748.0
2026-02-03,80.04,82.09,79.805,81.85,75435.0
2026-02-04,81.98,84.3,81.03,83.83,112740.0
2026-02-05,82.67,83.65,80.8351,83.03,105694.0
2026-02-06,83.65,88.0,83.65,87.17,110389.0
2026-02-09,87.65,89.61,87.65,88.19,163250.0
2026-02-10,88.46,88.46,86.0,87.22,115977.0
2026-02-11,88.64,90.35,87.59,89.94,152110.0
2026-02-12,91.99,91.99,81.15,82.95,301877.0
2026-02-13,82.27,87.86,82.27,87.35,234319.0
2026-02-17,86.51,89.3,85.71,87.12,212726.0
2026-02-18,88.12,89.375,87.53,89.08,169799.0
2026-02-19,90.3,92.4,88.69,89.49,198898.0
2026-02-20,88.31,90.13,87.06,88.28,93140.0
2026-02-23,88.32,89.77,86.095,87.44,94352.011654
2026-02-24,88.28,88.51,86.84,87.68,79704.580309
2026-02-25,88.0,88.0,85.6153,86.62,58270.026154
2026-02-26,85.61,87.3406,85.265,86.08,80064.331559
2026-02-27,86.34,87.49,85.825,86.94,154228.693317
2026-03-02,89.21,91.3,87.5,89.21,196931.538369
2026-03-03,89.09,89.33,85.3101,87.36,228457.822424
2026-03-04,87.0,89.55,87.0,88.0,240434.250017
2026-03-05,88.81,89.07,86.2,87.97,156035.92617
2026-03-06,88.33,90.59,87.22,89.7,240653.872276
2026-03-09,89.64,93.89,88.63,91.34,284649.591418
2026-03-10,91.5,93.06,90.4,91.51,264098.321248
2026-03-11,91.53,93.63,90.29,93.41,118514.96091
2026-03-12,93.44,93.72,91.45,92.37,135376.339497
2026-03-13,91.54,93.1,90.66,92.42,89485.691894
2026-03-16,92.42,94.86,91.33,92.91,112934.068369
2026-03-17,93.86,95.82,93.86,94.61,123393.444371
2026-03-18,94.85,97.13,94.0,96.12,185804.812758
2026-03-19,96.01,101.4999,96.01,98.2,360244.770213
2026-03-20,97.73,99.14,96.71,98.64,277396.084792
2026-03-23,95.91,101.205,93.57,100.23,152470.014684
2026-03-24,101.07,103.43,100.715,101.89,95351.695924
2026-03-25,100.99,102.885,100.99,101.96,79461.561367
2026-03-26,102.38,103.8,101.27,101.69,77551.546524
2026-03-27,102.27,103.14,100.32,100.81,148594.036326
2026-03-30,102.31,102.66,97.79,98.3,119015.358917
2026-03-31,98.39,101.9,96.14,98.4,168852.050806
2026-04-01,97.54,98.065,92.27,93.25,141355.204622
2026-04-02,96.11,96.97,93.86,94.49,202413.973543
2026-04-06,93.63,95.36,92.72,94.93,107618.30488
2026-04-07,95.66,97.185,94.01,95.6,105277.931771
2026-04-08,90.64,93.41,88.5514,93.24,196199.357466
2026-04-09,93.61,95.04,91.97,92.61,89614.210311
2026-04-10,91.73,93.345,91.73,92.22,87017.014384
2026-04-13,92.51,94.93,92.51,92.97,70487.908849
2026-04-14,92.8,92.8,89.31,89.96,139261.640748
2026-04-15,89.7,90.455,88.31,89.33,105373.132734
2026-04-16,88.92,90.89,88.285,88.73,114377.210827
2026-04-17,87.23,87.86,82.18,83.59,186495.500093
2026-04-20,84.14,85.43,83.0,83.29,154943.972705
2026-04-21,83.89,86.21,83.89,86.21,147141.928159
2026-04-22,87.11,88.82,87.09,88.69,79372.661799
2026-04-23,89.21,92.05,89.01,92.05,116908.904129
2026-04-24,91.68,95.2,89.35,95.14,142186.837969
2026-04-27,96.11,97.56,95.47,96.65,86639.854886
2026-04-28,97.93,99.475,97.0198,98.8,98435.312978
2026-04-29,99.75,102.45,99.23,101.73,161640.035774
2026-04-30,97.8,97.8,90.77,93.33,256906.844468
2026-05-01,92.89,96.13,92.43,94.64,99401.390791
2026-05-04,95.2,96.3594,93.49,95.48,177883.608515
2026-05-05,94.71,95.9,93.61,95.23,117207.912294
2026-05-06,91.59,92.73,91.14,91.56,112217.244806
2026-05-07,90.19,90.99,87.735,89.93,156793.174515
2026-05-08,89.58,89.8,87.77,87.79,77375.307119
2026-05-11,89.07,92.665,89.07,92.06,124335.329848
2026-05-12,92.15,93.58,90.89,93.18,160058.689249
2026-05-13,93.16,93.72,91.82,92.94,76745.391934
2026-05-14,92.6,94.44,92.6,94.02,62487.826907
2026-05-15,95.14,95.14,92.835,95.0,56928.401767
2026-05-18,94.13,98.13,94.1,97.0,160231.247654
2026-05-19,97.29,101.435,96.0,100.17,150597.457476
2026-05-20,99.9,101.99,97.425,98.05,106707.431086
2026-05-21,99.35,99.78,94.72,96.3,67601.104706
2026-05-22,95.31,96.99,94.55,96.99,64345.576801
2026-05-26,93.56,96.48,92.485,92.73,134376.962719
2026-05-27,91.34,91.34,88.96,89.39,110035.103792
2026-05-28,90.39,91.85,89.48,90.12,87288.420542
2026-05-29,89.59,90.54,88.42,89.4,64419.61447
2026-06-01,90.83,93.2,90.69,92.31,109529.653975
2026-06-02,91.43,93.86,91.43,93.06,85337.189024
2026-06-03,94.15,96.08,92.35,95.01,77320.798909
2026-06-04,93.68,99.78,93.68,98.66,94807.370615
2026-06-05,98.29,98.29,92.195,93.0,112512.924821
2026-06-08,94.58,98.31,93.29,97.21,126993.982307
2026-06-09,96.22,96.91,91.72,93.86,87230.315776
2026-06-10,94.76,97.9,94.76,96.04,148212.457376
2026-06-11,97.82,98.02,94.615,96.42,184250.044403
