date,open,high,low,close,volume
2026-02-02,12.97,13.08,12.9501,13.03,170164.0
2026-02-03,13.02,13.13,13.02,13.11,298736.0
2026-02-04,13.13,13.28,13.13,13.24,232442.0
2026-02-05,13.22,13.2494,13.1745,13.18,57622.0
2026-02-06,13.22,13.28,13.2101,13.27,112670.0
2026-02-09,13.25,13.33,13.2201,13.26,134567.0
2026-02-10,13.32,13.36,13.29,13.36,106109.0
2026-02-11,13.37,13.42,13.31,13.38,151334.0
2026-02-12,13.25,13.42,13.25,13.28,211276.0
2026-02-13,13.33,13.49,13.32,13.45,103819.0
2026-02-17,13.46,13.5,13.41,13.42,164132.0
2026-02-18,13.46,13.4899,13.27,13.32,101460.0
2026-02-19,13.29,13.36,13.2418,13.27,120356.0
2026-02-20,13.27,13.34,13.27,13.3,135431.0
2026-02-23,13.3,13.42,13.27,13.4,189368.2495
2026-02-24,13.4,13.52,13.36,13.48,169048.258
2026-02-25,13.5,13.565,13.44,13.53,143779.143528
2026-02-26,13.56,13.59,13.51,13.54,131268.506671
2026-02-27,13.54,13.62,13.5,13.58,117417.0964
2026-03-02,13.52,13.65,13.52,13.58,132984.94471
2026-03-03,13.56,13.56,13.31,13.43,111089.281628
2026-03-04,13.5,13.5399,13.4301,13.51,60829.279351
2026-03-05,13.5,13.545,13.36,13.37,71932.8933
2026-03-06,13.37,13.37,13.19,13.34,101047.67149
2026-03-09,13.32,13.32,13.06,13.18,77624.463763
2026-03-10,13.25,13.32,13.17,13.23,104951.510521
2026-03-11,13.33,13.33,13.22,13.28,82082.849627
2026-03-12,13.13,13.22,13.1111,13.15,112160.45301
2026-03-13,13.22,13.3569,13.14,13.21,93817.204565
2026-03-16,13.22,13.34,13.22,13.28,46413.27272
2026-03-17,13.37,13.3899,13.31,13.36,71608.54584
2026-03-18,13.36,13.3888,13.27,13.285,72166.991229
2026-03-19,13.2,13.28,13.1701,13.2,78881.584124
2026-03-20,13.21,13.25,12.8301,12.9,95157.191607
2026-03-23,13.01,13.076,12.92,12.95,66074.974605
2026-03-24,12.94,13.01,12.89,12.97,65789.98217
2026-03-25,13.0,13.07,12.9396,13.0,184009.4994
2026-03-26,12.98,13.0,12.83,12.85,96802.929376
2026-03-27,12.8,12.93,12.77,12.77,211023.233317
2026-03-30,12.86,12.93,12.83,12.86,119688.0384
2026-03-31,12.93,13.11,12.87,13.1,243772.09006
2026-04-01,13.08,13.34,13.08,13.23,156638.049816
2026-04-02,13.14,13.2999,13.111,13.21,108940.986723
2026-04-06,13.18,13.2762,13.1001,13.22,82093.059969
2026-04-07,13.15,13.24,13.111,13.18,71564.88512
2026-04-08,13.38,13.46,13.24,13.33,98352.699059
2026-04-09,13.36,13.43,13.35,13.43,100074.253046
2026-04-10,13.39,13.48,13.39,13.4,83265.72592
2026-04-13,13.27,13.4317,13.27,13.31,84588.547416
2026-04-14,13.29,13.3499,13.2301,13.3,84865.3931
2026-04-15,13.28,13.305,13.2,13.2,88184.79799
2026-04-16,13.17,13.265,13.15,13.19,108018.3476
2026-04-17,13.23,13.29,13.18,13.2,155179.77324
2026-04-20,13.18,13.21,13.16,13.17,111254.91454
2026-04-21,13.2,13.2,13.04,13.08,114403.380341
2026-04-22,13.09,13.132,13.05,13.06,57965.692095
2026-04-23,13.07,13.1899,13.045,13.05,258223.6882
2026-04-24,13.08,13.125,13.03,13.03,128360.147369
2026-04-27,13.06,13.14,13.04,13.1,77509.828359
2026-04-28,13.11,13.15,13.05,13.05,121550.819322
2026-04-29,13.09,13.16,13.0301,13.14,120690.757511
2026-04-30,13.13,13.28,13.1,13.23,117046.6572
2026-05-01,13.25,13.38,13.18,13.21,132798.0023
2026-05-04,13.23,13.2995,13.13,13.17,140823.075746
2026-05-05,13.17,13.22,13.14,13.18,136658.3203
2026-05-06,13.25,13.28,13.07,13.12,146830.527804
2026-05-07,13.15,13.15,12.95,12.97,138669.725363
2026-05-08,13.03,13.07,12.9701,13.05,109342.62532
2026-05-11,12.97,13.0,12.917,12.97,76071.43936
2026-05-12,12.97,13.0,12.9319,12.96,95703.89563
2026-05-13,12.93,12.95,12.86,12.91,100543.172895
2026-05-14,12.87,12.95,12.87,12.93,153680.2275
2026-05-15,12.88,12.905,12.72,12.72,69159.70074
2026-05-18,12.7,12.8916,12.68,12.71,113578.619002
2026-05-19,12.71,12.8,12.71,12.75,185503.908862
2026-05-20,12.8,12.925,12.8,12.92,109297.294
2026-05-21,12.91,12.97,12.86,12.9,131040.88194
2026-05-22,12.88,12.965,12.8226,12.94,130951.154437
2026-05-26,12.97,12.98,12.865,12.94,111966.582861
2026-05-27,12.9,12.97,12.87,12.9,182068.48559
2026-05-28,12.85,12.935,12.85,12.9,159419.62845
2026-05-29,12.9,12.96,12.85,12.88,136888.270785
2026-06-01,12.82,12.845,12.71,12.72,139477.122728
2026-06-02,12.73,12.83,12.71,12.83,130348.568381
2026-06-03,12.82,12.91,12.73,12.78,163334.978927
2026-06-04,12.75,12.89,12.74,12.79,136407.277079
2026-06-05,12.75,12.855,12.75,12.83,143191.6915
2026-06-08,12.86,12.9192,12.8,12.81,169100.444286
2026-06-09,12.84,12.8999,12.73,12.82,194182.127647
2026-06-10,12.79,12.94,12.79,12.88,187805.735483
2026-06-11,12.84,12.8799,12.79,12.84,99060.7238
