date,open,high,low,close,volume
2026-02-02,35.48,36.12,34.0501,35.0,15530759.0
2026-02-03,36.89,37.58,36.415,37.1,16028880.0
2026-02-04,37.8,38.0,36.42,37.14,15633624.0
2026-02-05,36.03,37.0,35.93,36.07,14265338.0
2026-02-06,36.83,37.36,36.72,37.31,10124378.0
2026-02-09,37.85,38.575,37.72,38.54,8573757.0
2026-02-10,38.44,38.48,37.89,38.11,5208134.0
2026-02-11,38.43,38.5,37.995,38.41,11435922.0
2026-02-12,38.16,38.3068,36.71,37.04,7843549.0
2026-02-13,37.58,37.99,37.33,37.82,5458925.0
2026-02-17,36.78,36.87,36.36,36.72,6355544.0
2026-02-18,37.3,37.79,37.27,37.59,4691020.0
2026-02-19,37.52,37.96,37.419,37.84,4061553.0
2026-02-20,38.15,38.69,37.73,38.66,5735274.0
2026-02-23,39.27,39.93,39.17,39.91,6497292.20721
2026-02-24,38.98,39.455,38.89,39.37,3899465.917229
2026-02-25,39.47,39.76,39.28,39.31,3547630.831947
2026-02-26,39.4,39.7065,39.06,39.67,2518968.373715
2026-02-27,39.91,40.2,39.8001,40.15,3842203.682045
2026-03-02,40.75,40.91,40.09,40.7,6801410.249491
2026-03-03,39.32,39.32,38.055,38.82,10451733.930852
2026-03-04,39.38,39.47,38.89,39.17,6170478.639054
2026-03-05,39.02,39.0595,38.43,38.61,5170872.750335
2026-03-06,38.86,39.31,38.67,39.21,7782441.856106
2026-03-09,38.78,39.16,38.43,39.15,5144487.505834
2026-03-10,39.67,39.89,39.295,39.57,4556579.099888
2026-03-11,39.44,39.535,39.18,39.44,2786027.92792
2026-03-12,39.35,39.35,38.585,38.63,3346597.26754
2026-03-13,38.79,38.855,38.04,38.09,4923510.471084
2026-03-16,38.08,38.24,37.7465,38.05,6182471.661299
2026-03-17,38.04,38.195,37.75,37.95,3576477.473125
2026-03-18,36.88,37.125,36.53,36.56,8649838.740898
2026-03-19,34.54,35.17,34.14,35.05,15887026.438681
2026-03-20,35.16,35.18,33.695,33.85,12998328.194743
2026-03-23,33.14,33.92,32.745,33.21,15900653.143386
2026-03-24,32.9,33.46,32.815,33.24,7112719.716821
2026-03-25,34.53,34.6,33.92,34.29,7605541.008871
2026-03-26,33.63,33.8898,32.96,33.01,7486311.152207
2026-03-27,33.41,34.415,33.335,34.11,5689235.565549
2026-03-30,34.55,34.58,33.98,34.14,4012309.920077
2026-03-31,34.63,35.5,34.58,35.44,7092657.492054
2026-04-01,35.86,36.36,35.78,36.1,6887769.076928
2026-04-02,34.81,35.565,34.7101,35.39,4688663.557277
2026-04-06,35.335,35.53,35.15,35.23,2676828.25887
2026-04-07,35.26,35.705,34.83,35.58,4388452.181574
2026-04-08,36.29,36.3,35.535,35.8,3653288.776644
2026-04-09,35.97,36.4,35.96,36.14,3845156.043611
2026-04-10,36.2,36.345,35.99,36.09,2816936.828295
2026-04-13,35.87,35.98,35.61,35.94,3664024.474127
2026-04-14,36.24,36.74,36.21,36.73,3581716.283754
2026-04-15,36.58,36.62,36.26,36.33,2498996.933094
2026-04-16,36.5,36.565,36.16,36.3,2305279.342129
2026-04-17,36.775,37.06,36.74,36.81,4238432.304589
2026-04-20,36.57,36.61,36.33,36.52,2476207.194954
2026-04-21,36.22,36.365,35.37,35.44,5000391.524546
2026-04-22,35.99,36.09,35.79,35.9,1890111.803404
2026-04-23,35.8,35.935,35.365,35.59,3645602.601609
2026-04-24,35.56,35.91,35.515,35.76,2276384.78722
2026-04-27,35.635,35.665,35.3501,35.46,2256751.129113
2026-04-28,34.72,34.825,34.5,34.78,3359842.291151
2026-04-29,34.35,34.54,34.13,34.38,5140633.010521
2026-04-30,35.04,35.07,34.88,35.02,3904697.365926
2026-05-01,34.78,35.3182,34.775,34.9,3354378.001628
2026-05-04,34.52,34.675,34.05,34.15,4005066.624039
2026-05-05,34.6,34.71,34.42,34.45,1823253.132889
2026-05-06,35.44,35.675,35.37,35.48,3605728.56471
2026-05-07,35.89,36.075,35.515,35.6,4390646.107911
2026-05-08,35.82,35.99,35.625,35.8,2875157.927414
2026-05-11,35.78,36.0,35.69,35.88,2618171.704524
2026-05-12,35.56,35.735,35.16,35.72,2279065.934895
2026-05-13,35.5,35.685,35.37,35.52,1595819.040908
2026-05-14,35.525,35.605,35.25,35.26,1412678.868786
2026-05-15,34.47,34.57,34.16,34.42,2105690.033826
2026-05-18,34.62,34.7,34.305,34.49,1914285.228049
2026-05-19,34.0,34.16,33.82,33.9,1936002.144749
2026-05-20,33.96,34.45,33.815,34.4,2249877.02751
2026-05-21,34.05,34.51,33.95,34.37,1710273.316127
2026-05-22,34.25,34.27,33.97,34.11,1424257.759172
2026-05-26,34.2,34.275,33.93,34.12,1310440.945178
2026-05-27,33.34,33.73,33.325,33.68,2057762.388666
2026-05-28,33.46,34.14,33.39,34.01,3617992.722319
2026-05-29,34.22,34.73,34.19,34.42,2674910.027197
2026-06-01,33.82,33.97,33.63,33.85,3211836.505011
2026-06-02,34.15,34.15,33.855,33.93,2140050.939861
2026-06-03,33.62,33.69,33.46,33.56,2122132.729393
2026-06-04,34.0,34.09,33.68,33.81,1638553.936901
2026-06-05,33.245,33.285,32.505,32.54,3505147.491649
2026-06-08,32.62,32.73,32.485,32.58,3089633.404531
2026-06-09,32.6,32.82,31.885,32.11,7285712.802116
2026-06-10,31.28,31.57,30.775,30.78,6092853.64233
2026-06-11,30.73,31.79,30.55,31.69,6539567.701821
2026-06-12,31.68,31.955,31.525,31.75,2467086.217746
