date,open,high,low,close,volume
2026-02-02,276.665,277.02,271.71,271.81,880110.0
2026-02-03,272.23,281.69,272.23,279.54,1301817.0
2026-02-04,281.71,290.46,281.71,288.5,1089630.0
2026-02-05,284.51,286.48,279.915,282.82,872468.0
2026-02-06,284.32,287.35,283.67,287.0,661218.0
2026-02-09,286.99,290.02,285.54,288.89,983580.0
2026-02-10,290.02,293.74,287.19,292.33,1253996.0
2026-02-11,292.225,293.94,290.13,293.84,1076682.0
2026-02-12,294.43,297.21,290.95,292.37,2149348.0
2026-02-13,289.29,300.67,284.67,300.35,1856502.0
2026-02-17,303.26,306.04,297.21,302.0,1901535.0
2026-02-18,301.74,302.05,296.415,299.0,1483161.0
2026-02-19,298.59,301.615,295.94,298.5,1081239.0
2026-02-20,299.22,305.98,298.0,305.0,1162628.0
2026-02-23,305.54,309.38,304.06,305.26,1289291.083227
2026-02-24,304.57,307.29,301.43,304.11,865577.108859
2026-02-25,304.41,304.95,297.76,299.35,811446.28334
2026-02-26,300.22,304.185,298.31,303.95,1200671.284578
2026-02-27,303.88,310.19,301.3,307.06,1667001.380085
2026-03-02,305.36,312.86,303.875,310.94,1067761.598992
2026-03-03,308.11,308.375,302.7525,306.14,977196.816483
2026-03-04,305.82,311.01,301.34,310.76,949906.241255
2026-03-05,306.9,308.15,305.32,306.94,881545.362407
2026-03-06,304.53,309.19,301.4,308.13,995551.384656
2026-03-09,306.16,307.63,296.5801,306.48,1441393.405237
2026-03-10,304.88,310.88,302.09,305.99,983878.404856
2026-03-11,304.57,304.62,298.995,299.91,1269449.304955
2026-03-12,298.3,301.305,295.61,297.74,1062975.550287
2026-03-13,301.41,303.63,297.17,297.72,838125.67514
2026-03-16,291.33,295.801,281.21,289.8,4034542.428474
2026-03-17,292.8,295.56,285.64,286.13,2266003.98017
2026-03-18,285.0,285.96,277.19,277.59,1195195.863346
2026-03-19,276.06,278.45,275.25,277.33,971785.959512
2026-03-20,277.03,278.8,264.55,265.78,2036481.684347
2026-03-23,269.94,275.63,266.37,271.32,1421282.292395
2026-03-24,268.86,270.755,265.93,267.94,1229107.263916
2026-03-25,269.04,270.58,262.99,267.63,938950.398141
2026-03-26,266.46,272.32,266.46,268.01,1399607.772091
2026-03-27,267.6,270.25,264.45,266.01,1077888.979406
2026-03-30,270.11,270.95,263.98,265.13,1052685.551014
2026-03-31,268.95,272.0,264.9001,270.88,1512348.958809
2026-04-01,270.35,276.82,269.57,276.24,930052.459726
2026-04-02,275.12,281.28,274.0,280.35,854972.363011
2026-04-06,279.66,282.09,278.99,280.89,638737.961089
2026-04-07,279.87,282.23,278.59,279.24,958633.988433
2026-04-08,283.6,290.22,283.25,290.0,1134946.425053
2026-04-09,288.13,294.592,287.3716,293.27,976306.703063
2026-04-10,292.95,296.795,291.93,295.0,1097883.130508
2026-04-13,293.41,296.77,290.79,296.23,1116281.206983
2026-04-14,295.71,304.95,295.71,304.0,1553271.793759
2026-04-15,302.47,302.89,295.24,299.83,1439722.655801
2026-04-16,300.73,303.3352,299.45,301.74,836883.492732
2026-04-17,302.36,310.68,302.36,309.22,988538.805276
2026-04-20,309.68,312.24,306.72,312.17,705317.459434
2026-04-21,311.79,313.51,307.36,308.33,866375.964777
2026-04-22,310.53,310.85,301.94,304.81,1119524.0451
2026-04-23,306.0,311.14,306.0,310.82,729187.345328
2026-04-24,310.62,311.65,307.25,308.29,1011661.268018
2026-04-27,307.97,310.44,304.3,305.48,1545889.354152
2026-04-28,310.41,311.24,295.68,297.14,1649170.246838
2026-04-29,295.6,297.85,291.86,294.09,1357821.458771
2026-04-30,295.005,303.28,294.0,302.45,1220835.200025
2026-05-01,302.85,302.85,299.105,301.55,582153.290384
2026-05-04,299.51,302.2,294.75,295.36,580559.428675
2026-05-05,295.94,300.14,294.65,298.82,737904.487396
2026-05-06,303.3,311.91,301.955,308.98,952681.923901
2026-05-07,308.8,309.79,304.74,309.33,691393.946192
2026-05-08,308.86,313.12,308.21,311.04,808408.839881
2026-05-11,311.75,312.41,309.13,311.55,755648.342957
2026-05-12,312.01,312.34,307.0,311.28,1676763.02813
2026-05-13,310.39,310.39,302.78,303.7,929233.436098
2026-05-14,305.57,306.23,302.84,303.03,606187.775044
2026-05-15,300.63,301.15,291.62,292.47,766477.824875
2026-05-18,292.73,297.17,292.73,296.15,655782.755071
2026-05-19,294.44,298.02,289.21,297.47,1036817.177135
2026-05-20,301.5,306.89,300.78,302.87,896719.525267
2026-05-21,300.41,305.03,296.98,304.99,605212.582553
2026-05-22,306.79,308.6175,303.19,305.25,675521.658726
2026-05-26,305.82,307.44,303.32,304.47,929309.888527
2026-05-27,305.93,309.89,304.575,306.79,747346.042242
2026-05-28,305.67,311.83,302.5338,309.25,768052.950822
2026-05-29,307.13,308.25,303.69,303.69,1493601.748808
2026-06-01,299.09,301.24,295.67,295.8,731288.137736
2026-06-02,295.62,299.84,294.895,299.14,663406.598215
2026-06-03,298.93,305.05,298.3802,301.97,823618.970884
2026-06-04,306.75,308.16,302.94,306.66,782253.620084
2026-06-05,305.44,312.46,303.64,309.68,842912.984942
2026-06-08,310.29,311.92,308.0,311.08,696495.220193
2026-06-09,312.0,324.56,311.695,322.86,1292951.805518
2026-06-10,323.75,331.79,322.8555,323.87,1629220.098537
2026-06-11,325.1,327.67,321.87,324.71,1117060.760146
2026-06-12,325.52,328.57,323.99,325.94,876142.908884
