date,open,high,low,close,volume
2026-02-12,60.27,63.105,59.88,62.67,2638265.0
2026-02-13,63.38,64.72,62.485,63.38,1493821.0
2026-02-17,64.02,64.06,61.33,61.41,1265559.0
2026-02-18,61.96,64.235,61.66,63.72,1441645.0
2026-02-19,63.45,66.03,63.45,65.93,1395914.0
2026-02-20,65.8,67.0,65.165,65.53,1147715.0
2026-02-23,64.79,65.39,63.9,64.29,1081414.651856
2026-02-24,64.48,65.41,64.355,64.69,1292973.341959
2026-02-25,65.39,65.6487,63.81,65.18,1834333.22619
2026-02-26,65.54,66.51,64.57,66.31,1101201.009103
2026-02-27,65.68,66.25,64.765,66.0,1042189.723064
2026-03-02,66.22,67.925,65.52,67.86,1192985.646405
2026-03-03,66.71,67.425,65.51,66.66,861167.220075
2026-03-04,66.62,66.94,65.35,66.03,545059.722435
2026-03-05,65.59,66.45,64.59,65.45,896274.067694
2026-03-06,64.67,65.61,63.97,65.19,382779.634122
2026-03-09,64.86,65.11,61.8,62.55,1884500.67101
2026-03-10,63.21,63.22,59.24,59.33,1627243.423392
2026-03-11,59.15,59.81,58.4,58.72,1859917.136946
2026-03-12,58.87,60.5,56.79,56.81,1333367.094249
2026-03-13,56.98,57.405,54.64,54.95,1463144.793357
2026-03-16,54.935,55.5,52.37,52.6,1569245.209609
2026-03-17,53.0,54.3,52.95,54.18,1563057.573967
2026-03-18,53.37,53.775,51.07,51.11,1461913.501316
2026-03-19,50.5,51.24,49.71,50.16,1890192.65439
2026-03-20,49.97,50.895,49.38,50.04,2144127.827909
2026-03-23,50.52,53.295,50.5,51.43,2020538.625377
2026-03-24,50.23,51.265,49.89,50.43,1927759.388182
2026-03-25,50.84,54.08,50.16,53.84,1421894.912993
2026-03-26,53.55,54.5465,52.645,53.62,1132413.729948
2026-03-27,53.0,53.72,52.39,52.51,993013.282418
2026-03-30,53.0,53.29,51.92,52.21,1013711.410872
2026-03-31,52.7,54.489,52.065,54.17,1590769.075256
2026-04-01,54.63,56.03,54.15,55.09,1070756.272099
2026-04-02,54.39,57.38,54.39,56.32,1019154.753841
2026-04-06,56.31,56.905,55.98,56.38,981211.086665
2026-04-07,56.03,56.47,55.47,56.25,723585.565473
2026-04-08,58.06,59.0,57.76,58.0,917574.949581
2026-04-09,57.65,57.65,56.23,57.13,891326.828728
2026-04-10,56.56,57.63,55.7,56.01,920175.649407
2026-04-13,54.8,57.11,54.6,56.13,909585.225962
2026-04-14,56.37,57.42,55.92,56.0,645624.125322
2026-04-15,55.92,57.09,55.82,56.57,827341.604064
2026-04-16,56.88,57.58,55.57,56.02,933628.260043
2026-04-17,56.3,57.3499,54.9,55.75,1419355.541616
2026-04-20,55.85,56.24,54.49,54.92,1069769.016351
2026-04-21,55.01,55.79,54.08,54.37,866993.053846
2026-04-22,54.96,55.11,53.14,53.67,1006010.069333
2026-04-23,53.55,54.21,50.9109,51.83,1494034.464893
2026-04-24,51.71,53.51,51.4,53.45,1250136.006461
2026-04-27,53.44,54.33,51.45,51.5,1182902.60501
2026-04-28,51.69,52.31,50.65,51.84,2142056.223184
2026-04-29,52.8,54.43,49.4,50.3,2618943.210405
2026-04-30,50.46,50.99,49.84,50.41,2004448.031026
2026-05-01,51.17,51.53,49.71,50.87,1676157.027987
2026-05-04,50.77,52.25,49.81,50.02,1295706.242029
2026-05-05,50.55,50.82,49.2773,49.8,992460.491983
2026-05-06,50.3,51.86,49.53,51.68,1380750.307387
2026-05-07,52.0,52.595,51.03,51.22,1532891.216778
2026-05-08,51.25,51.76,48.8,49.18,1134366.053864
2026-05-11,49.14,49.78,48.23,48.74,1117647.946311
2026-05-12,50.2,52.95,50.06,52.7,1536860.283604
2026-05-13,52.76,52.76,48.7601,50.34,1439297.379221
2026-05-14,51.1,51.47,50.44,51.15,1321999.666547
2026-05-15,51.54,51.54,50.0,50.38,987743.235661
2026-05-18,50.0,51.57,49.36,51.48,1714076.301383
2026-05-19,51.6,52.425,50.705,50.95,1309210.883838
2026-05-20,50.24,51.955,49.645,51.65,742822.051797
2026-05-21,50.82,52.06,49.9,51.81,556272.218023
2026-05-22,52.23,53.82,51.6,53.71,966327.734444
2026-05-26,53.03,56.87,52.6877,56.34,1560813.858557
2026-05-27,56.18,57.41,55.51,56.84,1549531.543369
2026-05-28,56.52,60.715,56.19,58.83,2204978.019622
2026-05-29,58.52,59.73,57.5687,59.1,2094192.786816
2026-06-01,59.17,61.9,59.17,60.66,1731094.248412
2026-06-02,59.73,60.9616,59.03,60.84,1355759.238567
2026-06-03,60.0,60.3,58.8285,59.95,1113876.542297
2026-06-04,60.99,62.105,60.33,60.64,1264104.888659
2026-06-05,61.06,61.92,58.49,58.72,784000.840248
2026-06-08,58.5,59.78,57.83,57.83,674252.284428
2026-06-09,58.35,59.04,56.6838,58.51,803527.023272
2026-06-10,58.01,58.6699,56.42,56.47,804875.874699
