date,open,high,low,close,volume
2026-02-02,52.5,53.44,52.322,52.33,27452896.0
2026-02-03,42.885,43.7,41.43,41.7,141690567.0
2026-02-04,41.6,41.84,39.96,41.03,58018030.0
2026-02-05,40.6,41.01,38.88,39.9,42842781.0
2026-02-06,40.25,40.61,39.38,40.42,34921699.0
2026-02-09,40.21,41.27,39.81,41.15,26034261.0
2026-02-10,40.75,42.3499,40.75,41.49,22787720.0
2026-02-11,41.5,41.62,40.01,40.46,21538879.0
2026-02-12,40.285,40.285,38.46,39.08,28004849.0
2026-02-13,39.24,40.37,39.0885,40.29,25092438.0
2026-02-17,40.5,41.6,40.37,40.81,20342516.0
2026-02-18,40.77,41.76,40.59,41.45,17925482.0
2026-02-19,41.105,41.79,40.85,41.73,24646916.0
2026-02-20,41.575,42.81,41.5125,41.65,23174044.0
2026-02-23,41.045,45.69,40.525,44.05,75619461.326009
2026-02-24,43.495,48.0,43.03,47.02,58557165.399668
2026-02-25,47.38,48.5,46.445,47.32,42794074.000531
2026-02-26,47.5,47.73,44.495,45.53,48091825.404821
2026-02-27,45.81,46.42,45.42,46.21,23641210.334627
2026-03-02,44.82,45.955,44.64,45.63,17355253.633002
2026-03-03,44.73,46.96,44.66,46.38,22406432.275343
2026-03-04,46.05,47.33,45.93,46.75,14612788.117809
2026-03-05,46.485,47.915,46.485,47.64,18317736.64896
2026-03-06,47.17,47.73,46.355,46.97,15900073.230475
2026-03-09,46.05,46.5256,44.96,46.16,18908295.142506
2026-03-10,45.61,45.82,44.81,45.02,17575930.416549
2026-03-11,45.45,46.14,44.8,45.57,13794077.434657
2026-03-12,45.3,46.074,44.34,44.36,15293054.387355
2026-03-13,44.205,45.25,44.1715,44.9,13962455.690823
2026-03-16,45.25,45.8999,45.19,45.42,14460168.629626
2026-03-17,45.84,46.98,45.7438,46.13,21819794.263597
2026-03-18,45.615,46.0769,44.55,44.59,19662658.552919
2026-03-19,44.195,44.84,43.5316,44.19,22744637.502627
2026-03-20,44.33,44.55,43.33,44.01,31695541.598588
2026-03-23,44.72,45.74,44.01,45.49,21262497.630831
2026-03-24,44.945,45.265,43.99,44.21,19616501.514178
2026-03-25,45.08,45.96,44.2,44.85,14861209.754278
2026-03-26,44.48,45.972,44.47,45.2,14613031.046796
2026-03-27,44.72,44.79,43.55,43.59,17434236.595094
2026-03-30,44.0,45.015,43.92,44.67,17778154.640125
2026-03-31,44.74,45.47,44.28,45.23,12694993.595414
2026-04-01,45.29,45.5,44.0,44.63,15319913.893365
2026-04-02,44.02,45.42,43.675,45.34,12747749.368645
2026-04-06,45.724,46.44,45.33,45.48,11006786.922505
2026-04-07,45.09,45.46,44.56,44.87,10416285.937295
2026-04-08,45.99,46.35,45.555,45.85,15618999.521563
2026-04-09,45.81,46.08,44.905,45.98,12716632.374028
2026-04-10,45.915,46.18,44.98,45.24,13130501.632169
2026-04-13,45.102,47.875,45.06,47.51,15179311.709247
2026-04-14,47.94,48.3341,47.7,47.97,11045261.651342
2026-04-15,48.515,49.755,47.9,49.57,13073997.085669
2026-04-16,48.39,49.95,48.35,49.81,13420604.730762
2026-04-17,50.345,51.2,49.773,50.81,18758571.800848
2026-04-20,50.68,51.51,50.44,51.46,13091804.302569
2026-04-21,52.01,52.3,50.755,50.88,13548058.207279
2026-04-22,51.0,51.46,50.77,51.22,8569659.655909
2026-04-23,50.745,50.88,49.17,49.75,11581351.922378
2026-04-24,49.8,50.59,49.56,50.48,8259250.187317
2026-04-27,50.3776,50.56,49.397,49.77,7992837.247524
2026-04-28,49.77,50.48,49.455,49.64,9761417.780746
2026-04-29,49.41,51.87,49.22,50.94,18531697.032671
2026-04-30,49.802,50.455,49.42,50.14,12519869.171737
2026-05-01,50.57,50.91,50.285,50.44,8765772.473409
2026-05-04,50.5,51.06,50.22,50.39,13649469.129842
2026-05-05,45.37,46.715,44.51,46.49,39099393.950888
2026-05-06,46.685,47.46,45.755,46.27,19820098.086886
2026-05-07,46.43,47.145,46.15,46.22,14081555.763538
2026-05-08,45.62,46.37,45.33,45.37,14073749.115636
2026-05-11,45.215,45.52,45.03,45.07,18994508.032628
2026-05-12,44.94,45.7,44.35,45.44,25492966.253075
2026-05-13,44.96,45.74,44.585,45.23,15923777.087626
2026-05-14,45.34,45.79,44.62,45.04,9719518.666202
2026-05-15,44.79,45.23,44.38,44.41,16481218.583486
2026-05-18,44.27,45.235,44.2201,44.385,9478875.950626
2026-05-19,44.38,45.02,43.81,43.83,13711820.519997
2026-05-20,43.595,44.41,42.93,44.375,10991382.85188
2026-05-21,44.19,44.69,43.83,44.3,10925179.195281
2026-05-22,44.3,44.71,43.99,44.23,10691686.452343
2026-05-26,44.2,44.44,43.865,44.16,13161008.606801
2026-05-27,44.568,44.73,43.63,43.76,14170320.283638
2026-05-28,43.71,44.58,43.32,44.46,17132713.96131
2026-05-29,44.54,45.2,44.425,44.75,18842732.039274
2026-06-01,44.53,45.985,44.2,45.19,16230969.164929
2026-06-02,44.615,45.14,44.39,44.53,11441424.238328
2026-06-03,44.34,44.5,42.315,42.61,19227302.949686
2026-06-04,43.42,43.73,42.75,42.75,11255714.912445
2026-06-05,41.89,42.401,41.07,41.29,23894940.399997
2026-06-08,41.26,41.42,40.655,41.26,16778101.91759
2026-06-09,41.165,42.26,41.07,41.46,17585016.323198
2026-06-10,41.0,41.465,40.51,40.7,14669097.110162
2026-06-11,40.51,41.26,40.2,41.24,14757069.536419
2026-06-12,41.295,41.59,40.87,41.53,12317069.639309
