date,open,high,low,close,volume
2026-02-02,35.23,35.24,33.295,33.89,1538198.0
2026-02-03,33.89,34.23,33.33,33.95,1076132.0
2026-02-04,34.325,34.7,33.575,34.31,1005913.0
2026-02-05,34.58,34.96,33.8,34.23,1210990.0
2026-02-06,34.51,35.28,34.245,34.68,1334176.0
2026-02-09,34.43,34.89,33.7904,34.84,651726.0
2026-02-10,35.04,35.22,34.3,34.82,790496.0
2026-02-11,34.57,34.6,33.79,34.01,683496.0
2026-02-12,34.0,34.35,31.69,32.02,2045501.0
2026-02-13,31.88,32.565,31.62,31.79,1302039.0
2026-02-17,31.75,31.94,30.2,31.33,1738264.0
2026-02-18,31.6,33.68,31.265,32.83,1622612.0
2026-02-19,32.88,32.88,32.18,32.58,625618.0
2026-02-20,31.98,32.62,31.445,31.59,1097502.0
2026-02-23,31.84,33.305,31.5622,32.76,1647371.646738
2026-02-24,32.55,34.73,32.48,34.54,1657414.827162
2026-02-25,34.86,34.8899,33.2,33.83,1294343.554597
2026-02-26,32.565,33.45,30.85,30.91,3125274.065506
2026-02-27,31.06,31.38,30.16,31.35,2936784.492992
2026-03-02,30.48,32.36,30.18,31.94,2011731.06311
2026-03-03,31.52,32.7999,30.845,31.99,1020259.61165
2026-03-04,32.16,32.29,30.76,30.81,1012709.352377
2026-03-05,30.71,31.35,30.6,31.01,721497.840733
2026-03-06,30.52,31.01,30.257,30.7,600201.419052
2026-03-09,30.7,32.81,29.5501,32.71,2029894.909248
2026-03-10,32.27,33.04,31.79,32.54,1674394.071374
2026-03-11,32.69,39.9499,31.92,38.86,7768999.724872
2026-03-12,38.0,38.38,35.86,36.12,3894184.879935
2026-03-13,36.12,36.89,34.635,36.79,2060482.58642
2026-03-16,36.44,36.71,35.52,35.7,1538576.902581
2026-03-17,35.71,36.85,35.44,35.54,1256269.268161
2026-03-18,35.0,35.28,34.285,34.33,984670.623461
2026-03-19,34.05,34.36,33.08,33.7,1473393.022751
2026-03-20,33.64,34.6799,33.5,34.41,1268904.682843
2026-03-23,34.24,34.8155,33.775,34.03,1078741.280906
2026-03-24,34.03,35.455,33.9,34.58,1029065.113179
2026-03-25,34.51,34.8,33.035,33.12,797681.378963
2026-03-26,33.2,33.775,32.54,32.64,681818.504141
2026-03-27,32.5,32.85,31.6,31.76,963606.376868
2026-03-30,31.98,32.62,31.05,32.39,940205.491849
2026-03-31,32.34,33.18,31.85,32.41,759785.938668
2026-04-01,32.59,32.925,32.11,32.81,676363.974273
2026-04-02,32.75,35.49,32.18,34.99,1221525.79982
2026-04-06,34.68,36.1,34.05,35.23,879587.552832
2026-04-07,35.44,35.76,34.6101,34.9,617289.52766
2026-04-08,35.13,35.57,34.63,35.37,773770.966416
2026-04-09,35.38,35.75,34.7,35.53,526772.77771
2026-04-10,35.9,36.4,35.5,35.63,480887.970666
2026-04-13,35.57,35.775,34.3178,35.01,721273.33808
2026-04-14,35.2,35.88,34.47,34.99,483484.381714
2026-04-15,35.18,37.45,34.76,36.94,1889566.413506
2026-04-16,36.69,37.24,36.5411,36.9,658124.943004
2026-04-17,37.15,38.17,37.03,37.46,1110243.264462
2026-04-20,37.4,38.34,36.44,37.91,925578.772066
2026-04-21,38.12,38.57,37.39,37.57,727957.669749
2026-04-22,37.83,38.107,37.39,37.97,398244.618819
2026-04-23,38.0,38.13,36.63,36.93,447477.134324
2026-04-24,36.87,37.265,36.6,37.01,511023.336326
2026-04-27,37.02,37.43,35.86,37.33,850972.654615
2026-04-28,37.43,37.78,36.395,36.56,586966.531967
2026-04-29,36.09,36.56,34.81,35.03,617240.792631
2026-04-30,35.25,36.54,35.025,36.19,707111.380083
2026-05-01,36.19,36.81,35.24,35.5,557424.894716
2026-05-04,35.51,35.915,34.42,34.54,965736.027454
2026-05-05,34.46,35.27,34.41,34.81,828058.727051
2026-05-06,34.88,35.45,33.495,33.78,1943619.380411
2026-05-07,32.25,34.6,31.75,32.85,1930365.606283
2026-05-08,32.7,32.88,30.92,31.14,1491297.447389
2026-05-11,31.16,33.77,30.59,33.38,2509373.475285
2026-05-12,33.49,34.62,32.4,34.07,1422982.027068
2026-05-13,34.02,34.23,32.51,32.7,1041971.554687
2026-05-14,32.94,34.2,32.51,32.72,1941915.899841
2026-05-15,36.09,36.1,33.84,34.73,3075200.715753
2026-05-18,34.08,34.08,32.095,32.99,1581886.189764
2026-05-19,32.92,33.77,32.68,33.35,879711.635448
2026-05-20,33.18,33.435,32.26,32.34,850262.772281
2026-05-21,32.4,32.98,31.695,32.75,908186.179308
2026-05-22,32.93,33.49,32.58,33.4,612957.387577
2026-05-26,33.3,33.3,32.4,32.7,917690.220794
2026-05-27,32.63,33.91,32.63,33.24,1741792.594131
2026-05-28,33.2,35.1,32.96,34.65,1786146.496222
2026-05-29,34.77,34.84,32.92,34.21,1874624.151487
2026-06-01,34.43,34.5,33.295,34.08,799882.411414
2026-06-02,33.58,33.6,31.75,31.78,1032817.397573
2026-06-03,31.885,32.18,30.7,31.86,1300281.343817
2026-06-04,32.34,33.5,32.01,32.28,707903.494237
2026-06-05,32.44,33.025,31.54,31.92,711029.811733
2026-06-08,31.6,32.05,31.26,31.65,839199.078887
2026-06-09,31.525,32.45,31.39,31.91,736713.55739
2026-06-10,31.9,33.1,31.59,31.73,1351639.120742
2026-06-11,31.58,32.395,31.01,32.34,1099709.757241
