date,open,high,low,close,volume
2026-02-06,17.9,20.98,17.84,20.72,38840200.0
2026-02-09,20.42,21.34,20.02,21.21,23651783.0
2026-02-10,20.78,21.5186,20.42,20.44,18640921.0
2026-02-11,20.7558,20.7558,18.73,19.64,27294878.0
2026-02-12,19.59,19.74,18.452,18.82,23670476.0
2026-02-13,19.065,20.07,18.4659,19.67,23824069.0
2026-02-17,19.1,19.3,17.81,18.44,25351468.0
2026-02-18,18.59,19.62,18.035,19.07,21493795.0
2026-02-19,18.62,19.49,18.37,19.38,19676373.0
2026-02-20,18.92,19.36,17.825,18.06,26616365.0
2026-02-23,17.57,18.36,17.41,18.05,18540172.99027
2026-02-24,17.83,18.875,17.68,18.66,19842710.692659
2026-02-25,18.98,19.81,18.65,19.65,25594866.08734
2026-02-26,20.67,21.7,19.72,20.14,43719214.887464
2026-02-27,19.415,19.5,17.6515,18.78,27470122.041354
2026-03-02,17.94,18.965,17.83,18.94,18583445.813502
2026-03-03,18.26,18.71,17.46,18.24,20868180.371086
2026-03-04,18.47,19.07,18.18,18.91,19013072.142898
2026-03-05,18.59,18.855,17.26,18.83,33151070.849163
2026-03-06,18.23,19.61,18.23,18.59,27228646.271507
2026-03-09,18.13,19.1,17.48,19.04,26090486.716063
2026-03-10,19.27,19.52,18.662,18.76,21613943.097944
2026-03-11,18.79,19.47,18.45,18.91,18330028.584787
2026-03-12,18.54,18.79,17.6695,17.83,23983189.438089
2026-03-13,18.12,18.69,17.43,17.55,20995874.591964
2026-03-16,17.98,18.42,17.12,17.46,25472581.411452
2026-03-17,17.49,17.745,17.11,17.47,17508586.543936
2026-03-18,17.25,17.32,16.455,16.49,21200931.979528
2026-03-19,15.94,16.38,15.36,16.1,21587112.053175
2026-03-20,15.84,16.055,15.22,15.73,26408272.070572
2026-03-23,15.71,16.465,15.55,16.31,20797470.059403
2026-03-24,16.06,16.281,15.425,15.93,18049955.671287
2026-03-25,16.26,16.7274,15.9,16.19,15989099.253536
2026-03-26,15.78,15.8323,14.57,14.65,20256315.243181
2026-03-27,14.51,14.63,13.705,13.9,18329282.586486
2026-03-30,13.81,13.895,12.75,12.98,23230099.713512
2026-03-31,13.28,14.49,13.13,14.43,25031385.116278
2026-04-01,14.845,14.99,13.65,13.7,21754573.975644
2026-04-02,13.1,14.375,13.01,14.32,17185531.936292
2026-04-06,14.2,14.67,13.78,14.14,14269860.865147
2026-04-07,13.92,13.95,13.3814,13.74,16030892.896957
2026-04-08,15.25,15.35,14.1,14.57,21807932.799041
2026-04-09,14.4,14.61,13.71,13.87,17762370.764086
2026-04-10,14.04,14.775,14.035,14.25,13796028.99901
2026-04-13,14.08,14.785,13.81,14.65,16392493.519675
2026-04-14,15.29,17.085,15.23,16.97,43679512.851325
2026-04-15,18.525,21.04,17.77,20.81,98957458.937743
2026-04-16,22.0,22.47,20.15,21.52,90113731.817638
2026-04-17,21.805,22.49,21.39,21.69,46076247.689082
2026-04-20,21.025,21.9303,20.57,21.66,39241827.65005
2026-04-21,21.825,21.85,20.28,20.36,37186715.045205
2026-04-22,20.91,21.8,20.69,21.24,33929197.398567
2026-04-23,20.65,21.155,18.98,19.31,29505613.060364
2026-04-24,19.67,19.68,17.9,18.49,23877537.768857
2026-04-27,18.14,18.9897,17.91,18.8,19625328.131258
2026-04-28,18.15,18.45,17.66,18.11,15993361.138077
2026-04-29,18.26,18.41,17.11,18.27,18970991.099259
2026-04-30,18.31,20.36,18.22,20.28,29793492.365882
2026-05-01,20.1,20.6663,19.57,20.49,20364109.299352
2026-05-04,20.445,21.72,20.14,20.92,24790257.666361
2026-05-05,21.43,21.7,20.36,21.54,19394760.28545
2026-05-06,21.92,24.04,21.7,23.83,39634292.817427
2026-05-07,23.05,23.68,21.81,21.99,25872971.045811
2026-05-08,22.2,22.67,21.42,22.57,20168995.153047
2026-05-11,22.2,24.78,21.77,24.03,36127090.589071
2026-05-12,22.42,23.91,20.88,22.35,46895218.837972
2026-05-13,22.38,22.39,20.7,21.44,25576512.742736
2026-05-14,20.86,22.53,20.39,22.13,28148902.777187
2026-05-15,21.14,21.25,20.2,20.35,23761786.81842
2026-05-18,20.11,20.2024,18.33,19.06,24639828.288987
2026-05-19,18.77,19.1348,17.735,18.19,21512861.589534
2026-05-20,18.53,19.45,18.32,19.3,21855432.914567
2026-05-21,21.76,25.83,21.61,25.74,119132464.296177
2026-05-22,26.34,31.55,26.11,29.4,141703186.556104
