date,open,high,low,close,volume
2026-02-02,13.47,14.11,12.78,13.63,9085501.0
2026-02-03,14.17,14.52,13.64,14.25,12444590.0
2026-02-04,14.49,14.49,11.68,12.63,12555463.0
2026-02-05,11.91,12.04,10.84,11.31,11085848.0
2026-02-06,12.17,12.815,11.22,12.63,10041820.0
2026-02-09,12.5,14.255,12.42,13.71,10382544.0
2026-02-10,13.35,13.6,12.33,12.62,6691077.0
2026-02-11,13.18,13.18,11.47,12.005,8966464.0
2026-02-12,12.03,12.03,11.225,11.25,6106650.0
2026-02-13,11.465,11.77,11.05,11.37,6005730.0
2026-02-17,11.16,11.74,10.8,11.4,5864130.0
2026-02-18,11.73,12.74,11.48,12.08,8216777.0
2026-02-19,12.06,13.49,11.92,12.83,12804003.0
2026-02-20,13.04,13.83,12.14,12.47,14692435.0
2026-02-23,11.98,13.011,11.76,12.785,7850089.208366
2026-02-24,12.56,13.2,12.2039,12.88,7909221.993752
2026-02-25,12.965,13.25,12.39,12.42,8588475.227687
2026-02-26,12.15,13.01,11.9,12.99,9057909.241115
2026-02-27,12.46,12.57,11.235,11.65,9542400.24594
2026-03-02,12.69,15.35,12.595,13.67,38391703.129656
2026-03-03,14.61,16.09,13.94,14.7,37049159.183371
2026-03-04,15.1,15.8,13.4601,14.73,21030630.148595
2026-03-05,14.71,15.66,13.91,15.08,20516784.800181
2026-03-06,14.61,18.78,14.61,15.36,57241839.75735
2026-03-09,16.2,16.2,13.7,14.095,32807039.889063
2026-03-10,14.0,15.67,13.49,14.67,22741731.75293
2026-03-11,14.625,16.37,14.3487,16.16,22270682.765364
2026-03-12,16.44,17.03,15.66,16.16,22623798.467948
2026-03-13,16.54,17.16,15.47,15.86,17682338.797885
2026-03-16,16.0,16.47,15.25,15.54,11392937.868636
2026-03-17,15.34,16.98,15.25,16.97,14653416.999946
2026-03-18,17.005,18.49,16.43,17.0,31965651.16795
2026-03-19,16.185,16.39,13.9599,15.135,26988401.126755
2026-03-20,15.08,15.13,12.98,13.25,18092163.917067
2026-03-23,13.415,15.6799,13.09,15.15,19365431.659414
2026-03-24,14.97,16.88,14.81,16.08,22502235.383136
2026-03-25,16.22,16.91,15.12,15.87,18917333.560698
2026-03-26,15.58,15.5892,13.8825,14.0,13313768.481189
2026-03-27,14.0,14.05,12.585,12.68,11518443.093124
2026-03-30,13.23,13.25,11.18,11.59,15412607.765406
2026-03-31,11.92,13.28,11.76,13.09,14357709.185544
2026-04-01,13.18,13.425,12.01,12.15,13650336.451112
2026-04-02,11.72,13.13,11.65,12.94,15096325.018558
2026-04-06,12.94,13.875,12.76,13.06,12185029.650192
2026-04-07,12.88,13.33,11.96,12.08,13130747.448093
2026-04-08,13.23,13.64,12.58,13.04,13958078.67168
2026-04-09,12.94,13.135,11.755,11.93,11276993.638211
2026-04-10,12.07,12.48,11.945,12.37,7945103.552312
2026-04-13,12.22,13.1,12.06,12.9,8355508.833723
2026-04-14,13.45,13.5299,12.4299,12.64,8388282.579238
2026-04-15,12.73,13.06,12.35,13.03,7857324.407086
2026-04-16,13.26,13.83,12.825,13.71,10017193.422423
2026-04-17,13.96,14.18,12.335,12.72,13614634.252058
2026-04-20,12.83,13.0699,12.43,12.595,8920002.188497
2026-04-21,12.72,13.675,12.48,12.57,17686403.205376
2026-04-22,12.85,14.12,12.85,13.55,16007446.310544
2026-04-23,13.29,13.3986,12.2,12.54,12212529.05662
2026-04-24,12.57,12.65,11.78,11.8,12525059.065062
2026-04-27,11.73,11.89,11.31,11.69,7808436.729106
2026-04-28,11.45,11.67,11.13,11.34,6593519.309482
2026-04-29,11.35,11.35,10.58,11.07,6261282.983794
2026-04-30,11.37,11.75,11.23,11.72,6088463.903116
2026-05-01,11.62,11.63,11.16,11.23,7537727.55114
2026-05-04,11.08,11.28,10.86,11.0,6404646.559518
2026-05-05,11.02,11.03,10.08,10.43,11752341.151509
2026-05-06,10.34,10.81,10.14,10.62,8579616.429849
2026-05-07,10.47,10.5199,10.15,10.36,8759290.396128
2026-05-08,10.57,10.6,9.855,10.37,8728409.947029
2026-05-11,10.23,11.67,9.97,11.25,10199988.607307
2026-05-12,11.15,11.49,10.6501,11.03,9191009.992374
2026-05-13,9.44,9.67,9.11,9.4,33561761.025779
2026-05-14,9.575,9.92,9.26,9.74,17459172.345381
2026-05-15,9.41,9.69,9.2201,9.49,8923077.155356
2026-05-18,9.43,9.64,8.76,8.93,11044869.520032
2026-05-19,8.67,8.77,8.355,8.55,9750631.96495
2026-05-20,8.97,9.04,8.53,8.94,7514717.232007
2026-05-21,8.8,9.12,8.65,9.03,6346783.02546
2026-05-22,9.1,9.585,9.1,9.41,9432907.270624
2026-05-26,9.61,10.025,9.53,9.77,11244501.10489
2026-05-27,10.25,10.825,9.85,10.67,16970396.729293
2026-05-28,12.405,15.06,11.955,14.15,78108247.266344
2026-05-29,13.56,14.7,12.35,14.5,36846399.787132
2026-06-01,14.32,15.79,14.185,14.84,27516357.02814
2026-06-02,14.97,15.66,14.82,14.95,21478994.227137
2026-06-03,14.37,14.71,13.5,13.79,16499262.550812
2026-06-04,13.7,15.225,13.29,14.74,23041262.494825
2026-06-05,14.165,14.48,12.2625,12.68,17465583.843615
2026-06-08,13.2,13.33,12.26,12.46,10118263.558847
2026-06-09,12.29,12.6016,10.81,11.495,12658090.514023
2026-06-10,11.44,11.89,10.89,10.895,7984522.856306
2026-06-11,10.92,12.06,10.88,12.01,12425325.852397
