date,open,high,low,close,volume
2026-02-23,148.42,150.94,140.34,142.46,4529936.274844
2026-02-24,142.93,147.4999,141.09,142.08,4012700.005896
2026-02-25,143.395,150.51,141.05,149.67,4499385.191082
2026-02-26,148.38,156.39,146.48,151.25,4908816.208626
2026-02-27,149.51,150.45,143.05,145.81,4747671.385083
2026-03-02,142.25,147.5,141.534,147.11,3473107.900463
2026-03-03,141.88,146.51,137.5001,145.69,4480492.837532
2026-03-04,146.59,149.85,144.35,147.29,5053306.183799
2026-03-05,146.97,153.78,142.3,144.34,6249860.679342
2026-03-06,142.0,142.33,137.9,139.39,5084037.310955
2026-03-09,136.75,139.39,132.41,138.86,7991145.015143
2026-03-10,141.875,142.46,133.8,134.13,6156821.094522
2026-03-11,135.05,137.9699,133.28,137.12,5087266.690076
2026-03-12,135.59,139.7934,131.5,132.25,3330337.218313
2026-03-13,133.67,136.98,131.31,132.36,3049052.43558
2026-03-16,133.97,140.08,133.18,140.0,4488671.486657
2026-03-17,140.02,147.45,140.0,144.33,6424794.075222
2026-03-18,144.01,146.75,142.04,142.79,4155921.255958
2026-03-19,138.75,142.27,135.33,138.12,4878269.247239
2026-03-20,139.0,143.85,135.68,139.85,6532902.752714
2026-03-23,140.0,144.19,138.7,140.96,3514653.826351
2026-03-24,139.7,141.24,134.585,136.12,3481309.012238
2026-03-25,139.0,143.22,138.43,139.63,3192842.296275
2026-03-26,135.49,137.52,124.0,127.26,8196909.5178
2026-03-27,125.04,125.51,120.5,121.84,5776499.696888
2026-03-30,122.5,126.38,119.27,124.13,4487532.735003
2026-03-31,126.06,135.9,125.12,134.65,5443807.339761
2026-04-01,136.375,139.34,133.25,136.18,3931961.073249
2026-04-02,129.67,137.12,128.63,136.0,3077714.387
2026-04-06,138.46,140.555,136.2234,138.34,3208678.485311
2026-04-07,137.5,141.27,136.35,141.14,2340455.729638
2026-04-08,151.59,154.77,143.86,145.0,3995814.258792
2026-04-09,144.54,145.17,135.0,138.38,5076466.142535
2026-04-10,141.05,142.2996,135.99,139.73,3259543.492761
2026-04-13,138.97,149.45,138.81,149.35,3638886.711375
2026-04-14,152.61,156.5,151.78,154.54,4453050.973301
2026-04-15,156.78,160.3799,155.33,158.48,4173876.556352
2026-04-16,163.11,164.0,157.01,162.45,4032329.386219
2026-04-17,165.505,168.7,161.364,163.8,4068576.254364
2026-04-20,162.15,166.79,161.01,166.28,3055068.335753
2026-04-21,166.5,167.92,156.085,156.82,4777225.310431
2026-04-22,161.38,164.41,158.95,164.31,2890108.585218
2026-04-23,162.3,162.3,151.22,152.96,3707926.541174
2026-04-24,154.3,154.93,150.55,154.89,3242219.840195
2026-04-27,154.375,163.15,154.05,160.21,3311661.997341
2026-04-28,153.02,153.73,146.55,147.93,5156330.513113
2026-04-29,146.0,148.78,143.09,147.75,3373206.590997
2026-04-30,146.85,150.2,143.39,147.23,9383433.265113
2026-05-01,165.51,173.0,156.49,166.48,14252200.125847
2026-05-04,170.08,175.29,164.65,169.07,6091958.608707
2026-05-05,171.0,177.13,167.62,171.63,7080642.210975
2026-05-06,172.025,172.65,162.55,166.56,7179755.07507
2026-05-07,168.5,169.1,159.6,163.95,5444650.112832
2026-05-08,162.62,162.9,155.2101,155.8,5778954.659297
2026-05-11,153.5,162.45,153.5,159.51,5077727.259214
2026-05-12,159.3,161.04,150.32,152.35,4698065.741969
2026-05-13,152.0,154.7,148.5,154.12,4151093.395295
2026-05-14,155.775,157.23,149.0301,156.31,3265989.663218
2026-05-15,153.55,159.16,153.14,158.17,3340033.297278
2026-05-18,157.0,160.98,153.5701,159.11,3457184.478157
2026-05-19,158.23,161.49,154.15,154.88,4080695.698177
2026-05-20,154.02,154.7599,143.91,146.72,10395714.398921
2026-05-21,144.31,153.45,144.1,150.04,3494463.957626
2026-05-22,145.23,145.795,140.67,141.67,7849884.410338
2026-05-26,143.495,145.89,139.55,144.64,5398443.592576
2026-05-27,144.5,158.5514,144.24,154.19,5704894.442321
2026-05-28,155.01,167.72,151.66,167.69,5726049.077897
2026-05-29,168.705,176.69,166.49,176.0,9360119.308246
2026-06-01,179.9,182.645,174.85,177.85,5794886.755715
2026-06-02,174.52,175.75,166.66,169.13,4316517.051624
2026-06-03,167.0,170.49,159.11,169.49,3399142.268453
2026-06-04,170.3999,187.34,169.81,183.91,7380981.990537
2026-06-05,182.18,186.4499,167.04,173.45,5965647.773961
2026-06-08,171.51,173.45,166.16,171.13,3031435.159657
2026-06-09,178.55,183.12,166.9,178.11,5237658.066895
2026-06-10,174.45,179.8,170.8,172.21,3235173.79342
2026-06-11,168.7,174.0,163.77,173.26,3207924.9774
2026-06-12,172.49,173.0,158.36,162.1,5767960.498591
2026-06-15,168.81,182.0,167.905,181.88,4843966.472824
2026-06-16,181.95,182.41,174.721,175.39,3562101.868671
2026-06-17,174.41,175.4094,165.95,165.95,4405012.427543
2026-06-18,169.0,176.22,165.88,174.96,5337416.630418
