date,open,high,low,close,volume
2026-02-02,11.71,11.73,10.83,10.88,28840689.0
2026-02-03,11.445,11.45,10.6,11.26,29904798.0
2026-02-04,11.2,11.203,9.57,10.03,29368617.0
2026-02-05,9.605,10.05,8.6501,8.8,28095210.0
2026-02-06,9.21,10.145,8.815,10.04,26432249.0
2026-02-09,9.86,10.4,9.81,10.09,22784824.0
2026-02-10,9.94,10.03,9.37,9.38,17245676.0
2026-02-11,9.48,9.48,8.59,9.01,20920857.0
2026-02-12,8.875,8.89,7.81,7.89,23187004.0
2026-02-13,8.13,8.495,7.65,8.02,16668375.0
2026-02-17,7.77,8.14,7.525,8.0,14217383.0
2026-02-18,8.14,8.68,8.03,8.4,15398517.0
2026-02-19,8.16,8.63,7.97,8.6,12455020.0
2026-02-20,8.49,8.85,7.97,7.99,13508716.0
2026-02-23,7.77,8.15,7.67,8.12,10316213.865451
2026-02-24,8.04,8.45,7.79,8.42,9855398.200888
2026-02-25,8.36,8.68,8.16,8.62,15219093.707299
2026-02-26,8.6,9.8,8.51,9.55,30025597.328994
2026-02-27,9.27,9.5355,8.53,9.07,16101208.652494
2026-03-02,9.04,10.4,9.04,9.52,24243969.799983
2026-03-03,9.16,9.37,8.56,8.95,16467343.29275
2026-03-04,9.05,9.365,8.825,9.28,13699105.412197
2026-03-05,9.2,9.519,8.67,9.07,13822191.711087
2026-03-06,8.79,9.45,8.48,8.55,17902401.519074
2026-03-09,8.71,9.68,8.64,9.65,20812788.107013
2026-03-10,9.5,9.7,9.16,9.23,12206683.409788
2026-03-11,9.35,9.825,9.15,9.46,14496726.896161
2026-03-12,9.32,9.7099,9.04,9.48,15612382.816518
2026-03-13,9.6,10.01,9.3401,9.59,14567060.721651
2026-03-16,9.97,10.18,9.21,9.54,14194107.458394
2026-03-17,9.58,10.3099,9.54,10.13,18435754.951326
2026-03-18,9.88,10.07,9.545,9.55,12233049.781041
2026-03-19,9.36,9.895,9.02,9.63,13069222.233817
2026-03-20,9.67,10.05,8.935,9.2,21993769.776603
2026-03-23,9.05,9.65,8.715,9.38,18930895.543831
2026-03-24,9.35,9.79,9.0,9.05,20970390.655312
2026-03-25,9.35,10.02,9.0,9.16,36576534.676317
2026-03-26,8.9,9.315,8.74,8.87,17919639.050215
2026-03-27,8.74,8.84,8.11,8.16,17435905.872184
2026-03-30,8.19,8.2499,7.43,7.71,17349038.4867
2026-03-31,7.855,8.63,7.825,8.5,15963672.634052
2026-04-01,8.75,9.48,8.71,9.08,18512471.101054
2026-04-02,8.68,9.94,8.61,9.73,28420961.09237
2026-04-06,9.64,10.06,9.6,9.91,17241794.71101
2026-04-07,9.79,9.96,9.01,9.65,17314274.232177
2026-04-08,10.38,10.57,9.29,9.61,22496949.357821
2026-04-09,9.53,9.76,9.1,9.22,12846563.568001
2026-04-10,9.45,9.71,9.06,9.29,14313381.120382
2026-04-13,9.18,10.15,9.06,9.99,15944979.702101
2026-04-14,10.5,10.54,9.46,9.81,22540733.443152
2026-04-15,9.84,9.94,9.45,9.91,16841125.421742
2026-04-16,10.22,11.3,9.93,11.22,34253368.632665
2026-04-17,11.15,11.38,10.3,10.34,24983687.112373
2026-04-20,10.34,10.65,9.98,10.21,22030463.000652
2026-04-21,10.36,10.99,10.0807,10.31,30129983.756572
2026-04-22,10.73,12.3,10.73,11.93,48398330.131078
2026-04-23,11.07,11.18,9.68,10.04,54697457.5809
2026-04-24,10.28,10.29,9.53,9.68,26340454.526709
2026-04-27,9.66,9.69,9.02,9.33,24251900.762248
2026-04-28,9.11,9.24,8.83,9.04,16862793.381636
2026-04-29,8.98,8.99,8.47,8.6,14758009.392646
2026-04-30,8.805,9.39,8.69,9.19,14381562.820503
2026-05-01,9.29,9.56,8.85,9.34,14867495.598761
2026-05-04,9.14,9.24,8.6,8.64,22718069.863239
2026-05-05,8.88,9.04,8.3,8.69,22599123.791985
2026-05-06,8.815,9.76,8.65,9.64,31128063.5546
2026-05-07,9.35,10.08,8.85,9.2,32006983.964634
2026-05-08,9.41,11.11,9.36,11.07,56024004.17213
2026-05-11,11.015,12.87,10.765,12.16,47387400.002754
2026-05-12,11.8,12.37,11.03,11.56,27630667.362836
2026-05-13,11.79,11.79,10.91,11.46,29642058.817111
2026-05-14,11.955,14.6,11.88,13.99,67858362.699275
2026-05-15,13.73,14.57,13.46,14.06,53551973.958321
2026-05-18,15.39,15.82,12.97,13.96,82616116.277759
2026-05-19,13.745,14.46,12.86,13.91,53682761.10954
2026-05-20,14.015,15.12,13.332,14.77,52724502.390795
2026-05-21,14.5,15.385,13.5433,15.35,44693405.410703
2026-05-22,15.72,17.89,15.7,17.49,55447729.479073
2026-05-26,19.645,23.1,19.2,22.04,108331416.086624
2026-05-27,24.31,24.9199,22.13,24.0,121289224.357597
2026-05-28,22.94,26.64,22.81,25.9,86741495.795575
2026-05-29,23.89,24.79,21.665,24.57,64625335.372411
2026-06-01,22.6,22.77,20.3,20.68,57167517.867899
2026-06-02,20.98,22.1499,20.3,20.58,36395225.546036
2026-06-03,19.5,20.01,18.27,18.62,41623438.420266
2026-06-04,19.3,22.75,18.7901,21.43,74962974.616131
2026-06-05,20.8,21.19,17.62,18.45,54050034.245024
2026-06-08,19.36,19.57,18.1,18.57,33480478.492592
2026-06-09,17.0,18.03,14.76,15.75,69151608.847681
2026-06-10,15.89,16.01,14.81,14.87,31312805.433368
2026-06-11,15.02,17.275,14.7,17.09,71259553.459015
2026-06-12,16.28,16.44,14.715,15.12,64219242.013451
