date,open,high,low,close,volume
2026-02-02,1.095,1.1,1.05,1.05,2415435.0
2026-02-03,1.08,1.09,1.0,1.04,2986058.0
2026-02-04,1.065,1.065,0.9458,0.9703,6117577.0
2026-02-05,0.95,0.9624,0.8927,0.8956,3115058.0
2026-02-06,0.95,0.9755,0.9078,0.94,3010833.0
2026-02-09,0.954,0.956,0.91,0.9324,2198782.0
2026-02-10,0.94,1.01,0.93,0.9446,2262802.0
2026-02-11,0.9687,0.9701,0.85,0.8649,4219733.0
2026-02-12,0.88,0.8801,0.7921,0.8197,2426531.0
2026-02-13,0.82,0.8415,0.8037,0.8112,2180892.0
2026-02-17,0.8159,0.8179,0.7448,0.76,3808452.0
2026-02-18,0.76,0.7903,0.7201,0.7591,3624560.0
2026-02-19,0.78,0.7869,0.76,0.7838,1977851.0
2026-02-20,0.8049,0.8653,0.79,0.8227,2724419.0
2026-02-23,0.87,0.877,0.7622,0.7706,2182001.317555
2026-02-24,0.7637,0.8148,0.7505,0.7877,1714416.903947
2026-02-25,0.82,0.9233,0.8112,0.8955,2242964.703925
2026-02-26,0.9296,0.9376,0.86,0.8853,2219784.037926
2026-02-27,0.88,0.9039,0.835,0.8573,1579040.616811
2026-03-02,0.8257,0.9076,0.804,0.8676,1541392.261848
2026-03-03,0.8326,0.8621,0.8061,0.8493,1632682.857812
2026-03-04,0.86,0.9097,0.86,0.89,1708000.030993
2026-03-05,0.89,0.9238,0.8455,0.8647,1418862.685879
2026-03-06,0.864,0.8997,0.86,0.8856,974331.438508
2026-03-09,0.8853,0.9558,0.8554,0.9493,1954458.453954
2026-03-10,0.9814,1.03,0.951,0.991,2480224.509856
2026-03-11,1.01,1.08,0.9764,0.9906,2127802.515342
2026-03-12,0.9955,1.06,0.9873,1.04,2020201.454406
2026-03-13,1.06,1.07,0.9751,1.01,3600818.680494
2026-03-16,1.01,1.04,0.94,0.9817,4078500.102086
2026-03-17,0.9841,0.9985,0.9002,0.9156,2555760.472245
2026-03-18,0.93,0.9488,0.89,0.9018,1573096.57832
2026-03-19,0.8783,0.8853,0.85,0.8738,1697957.702724
2026-03-20,0.885,0.8999,0.854,0.8795,2042839.338834
2026-03-23,0.88,0.9387,0.86,0.9218,1771133.263714
2026-03-24,0.9103,0.9167,0.8449,0.8502,1770811.433599
2026-03-25,0.86,0.9099,0.86,0.8802,1617733.861081
2026-03-26,0.8656,0.9066,0.805,0.8119,2032023.438765
2026-03-27,0.8178,0.82,0.76,0.7678,2911874.882718
2026-03-30,0.8119,0.8119,0.753,0.7605,2402623.928655
2026-03-31,0.7708,0.8399,0.77,0.82,3226703.706093
2026-04-01,0.75,0.79,0.72,0.75,3259069.79363
2026-04-02,0.75,0.7783,0.7362,0.7574,1805859.631738
