date,open,high,low,close,volume
2026-04-23,19.57,19.57,19.39,19.4039,1164133.0
2026-04-24,19.41,19.4315,19.41,19.4315,455.32
2026-04-27,19.39,19.39,19.2823,19.2823,240.362
2026-04-28,19.14,19.14,19.124,19.124,137.0
2026-04-29,18.8403,18.8403,18.8403,18.8403,46.0
2026-04-30,19.1333,19.1333,19.1333,19.1333,13.0
2026-05-01,19.08,19.104,19.08,19.104,301.0
2026-05-04,19.09,19.09,18.87,18.87,4087.0
2026-05-05,19.14,19.14,19.14,19.14,20.0
2026-05-06,19.65,19.655,19.64,19.6471,1711.0
2026-05-07,19.49,19.54,19.4,19.4,904.051
2026-05-08,19.56,19.56,19.5,19.506,1344.154
2026-05-11,19.44,19.44,19.264,19.264,5131.0
2026-05-12,19.0,19.0558,19.0,19.0558,120.0
2026-05-13,18.985,19.13,18.9333,18.9333,2623.0
2026-05-14,18.978,18.978,18.978,18.978,16.0
2026-05-15,18.56,18.56,18.548,18.548,223.0
2026-05-18,18.6654,18.6654,18.6654,18.6654,4.0
2026-05-19,18.47,18.47,18.4503,18.4503,1132.0
2026-05-20,18.7929,18.7929,18.7929,18.7929,18.0
2026-05-21,18.59,18.7646,18.59,18.7646,150.0
2026-05-22,18.63,18.65,18.6258,18.6258,921.0
2026-05-26,18.81,18.868,18.81,18.868,6417.0
2026-05-27,18.8118,18.8118,18.8118,18.8118,3.0
2026-05-28,18.85,18.85,18.85,18.85,80.0
2026-05-29,18.7291,18.7291,18.7291,18.7291,14.0
2026-06-01,18.44,18.554,18.44,18.554,2447.0
2026-06-02,18.67,18.75,18.62,18.75,11367.0
2026-06-03,18.2884,18.2884,18.2884,18.2884,87.0
2026-06-04,18.42,18.49,18.4,18.4032,2636.0
2026-06-05,18.17,18.17,17.8258,17.8258,38981.0
2026-06-08,17.819,17.819,17.819,17.819,6.0
2026-06-09,17.937,17.937,17.937,17.937,2.0
2026-06-10,17.88,17.88,17.7651,17.7651,1042.0
2026-06-11,17.8,18.2889,17.8,18.2889,2052.0
2026-06-12,18.4643,18.4643,18.4643,18.4643,221.0
