date,open,high,low,close,volume
2026-02-02,79.16,80.7,73.879,74.15,18337002.0
2026-02-03,78.6,81.32,75.77,81.27,19000581.0
2026-02-04,81.35,81.35,68.5628,73.11,26237423.0
2026-02-05,69.98,72.99,65.2,66.32,22675406.0
2026-02-06,69.0,72.66,67.0,72.32,20049555.0
2026-02-09,72.025,76.8,70.75,75.84,16394444.0
2026-02-10,74.595,75.86,71.55,72.03,13195609.0
2026-02-11,73.13,73.4,67.02,69.62,17563088.0
2026-02-12,67.53,68.4495,63.87,66.01,18313696.0
2026-02-13,66.695,69.6,65.5,67.44,14737916.0
2026-02-17,66.084,70.99,65.0,69.89,12059196.0
2026-02-18,71.0,75.765,69.989,74.42,19118368.0
2026-02-19,72.9,77.11,72.35,76.58,14693382.0
2026-02-20,75.482,78.2,69.4,70.86,18253465.0
2026-02-23,68.755,71.25,68.5,70.21,13795748.110386
2026-02-24,68.88,70.055,66.6,69.97,12858256.145973
2026-02-25,71.095,71.85,68.88,70.2,11793707.356691
2026-02-26,70.045,72.74,68.81,72.65,18411598.062951
2026-02-27,67.59,69.59,64.1,69.1,25729770.676666
2026-03-02,66.68,72.1,66.45,70.97,18845548.401318
2026-03-03,68.855,73.25,66.19,70.13,17405204.444192
2026-03-04,70.81,74.1,69.47,71.91,17073014.730848
2026-03-05,70.92,72.31,67.34,70.0,14528811.225658
2026-03-06,68.135,75.11,68.135,70.11,22272765.385987
2026-03-09,69.39,72.125,67.82,71.48,18434204.280429
2026-03-10,70.34,72.935,68.6214,68.93,18248846.113745
2026-03-11,68.8,73.3,68.33,71.96,18140615.171732
2026-03-12,71.95,72.6,68.28,68.37,17683034.376092
2026-03-13,69.15,71.31,67.44,68.41,16039836.883739
2026-03-16,69.325,72.38,68.67,71.31,16946721.046701
2026-03-17,71.475,78.67,71.27,78.59,29734943.393697
2026-03-18,76.04,76.88,69.4,69.48,33919265.385347
2026-03-19,68.82,72.73,68.0,71.93,28549946.665378
2026-03-20,72.0,73.98,66.39,67.23,35247172.073644
2026-03-23,68.085,69.45,66.05,68.0,23852276.931375
2026-03-24,67.0,68.6,64.46,66.07,21358030.756873
2026-03-25,68.94,75.0599,68.94,72.88,34508770.003715
2026-03-26,71.2,72.0899,65.59,65.94,22988838.776252
2026-03-27,66.01,66.095,60.35,60.93,20311772.515687
2026-03-30,61.45,61.64,56.132,57.38,21933537.678668
2026-03-31,61.71,64.58,59.0301,64.22,26607368.691427
2026-04-01,65.5,68.67,65.3,65.52,27157225.002626
2026-04-02,62.225,69.39,61.86,67.73,32670583.241336
2026-04-06,67.73,70.32,66.6,67.67,22351812.996454
2026-04-07,67.115,68.2999,63.96,66.32,25396302.053884
2026-04-08,72.0,73.6675,67.8107,69.08,26863788.605926
2026-04-09,69.06,69.79,66.545,66.74,17250859.757662
2026-04-10,67.7,70.06,66.34,68.05,18621040.138567
2026-04-13,67.05,71.55,66.59,70.62,17994712.007227
2026-04-14,73.555,74.75,70.48,72.22,22642963.866883
2026-04-15,73.585,74.59,69.6001,73.6,23568742.952357
2026-04-16,76.97,83.49,76.9,82.93,41014174.808213
2026-04-17,84.08,86.99,83.6,84.8,26066330.361906
2026-04-20,84.85,90.35,84.6,89.46,28827370.164658
2026-04-21,90.33,91.95,85.75,86.64,27450439.406416
2026-04-22,90.465,93.1,87.76,90.04,21474443.906813
2026-04-23,89.85,90.3,81.5652,84.6,22664071.582765
2026-04-24,86.34,86.4099,79.08,79.68,22130433.380085
2026-04-27,79.69,82.48,77.0535,82.29,19386340.93622
2026-04-28,80.075,81.78,77.6,78.59,14379661.13826
2026-04-29,77.86,78.01,73.99,77.02,17751382.230392
2026-04-30,77.55,83.59,77.47,82.51,17604179.765792
2026-05-01,83.53,83.79,78.43,78.81,16378755.248793
2026-05-04,78.36,81.833,76.25,80.31,16241287.93256
2026-05-05,82.6,83.0,76.56,78.76,17126006.21887
2026-05-06,79.62,84.68,78.86,84.65,19779207.555559
2026-05-07,84.71,84.79,77.93,78.58,22942886.796072
2026-05-08,86.035,105.62,85.87,105.47,79927310.073256
2026-05-11,105.27,123.94,104.0,117.35,54779694.829865
2026-05-12,112.76,121.49,112.41,117.56,34195208.300697
2026-05-13,123.895,127.24,116.89,124.15,26587438.024957
2026-05-14,123.1,133.1799,121.31,132.55,25324053.591794
2026-05-15,128.1,130.37,121.8,124.77,22469092.422253
2026-05-18,132.755,138.38,125.671,131.16,32319469.956652
2026-05-19,125.97,129.57,115.23,127.31,30076859.485963
2026-05-20,127.48,135.35,124.22,134.28,24347709.408432
2026-05-21,126.14,130.87,123.8,125.45,30826434.143583
2026-05-22,131.41,139.76,131.31,135.76,32970699.963783
2026-05-26,141.965,146.0,138.56,143.2,32920000.133712
2026-05-27,149.72,150.9999,137.91,150.23,29193281.077262
2026-05-28,147.17,150.83,142.37,148.03,20458569.425851
2026-05-29,139.94,144.0,134.05,143.48,34878622.879703
2026-06-01,132.38,135.63,121.0,122.39,37294596.531516
2026-06-02,125.34,128.4,122.56,123.32,19498016.909909
2026-06-03,119.58,122.5049,113.66,114.7,21579823.622504
2026-06-04,113.085,122.63,110.39,119.95,24826280.483827
2026-06-05,114.27,117.98,106.73,110.08,21477392.515333
2026-06-08,114.67,116.2499,111.0,113.65,13433176.788976
2026-06-09,118.4,119.79,101.2,108.23,23730202.507325
2026-06-10,107.7,111.96,104.41,105.05,13000840.104158
2026-06-11,106.59,115.045,105.4,114.78,26119265.907107
