date,open,high,low,close,volume
2026-02-02,17.725,19.27,17.66,18.77,42818857.0
2026-02-03,20.23,21.195,19.96,20.35,58312763.0
2026-02-04,20.32,20.73,19.265,20.0,30054598.0
2026-02-05,19.6,19.73,18.87,19.2,31475383.0
2026-02-06,19.7,19.8,18.79,18.88,28325122.0
2026-02-09,18.9,19.655,18.9,19.61,23188739.0
2026-02-10,19.69,20.2997,19.62,20.25,16570658.0
2026-02-11,19.75,19.8125,18.25,18.59,41757413.0
2026-02-12,18.715,19.14,17.25,17.75,43240672.0
2026-02-13,18.05,18.88,17.95,18.68,24448933.0
2026-02-17,18.575,18.89,17.96,18.37,24483153.0
2026-02-18,18.28,18.7,18.14,18.45,19756128.0
2026-02-19,18.27,18.36,17.965,18.35,16529468.0
2026-02-20,18.08,18.27,17.75,17.98,18060321.0
2026-02-23,17.96,18.0365,16.885,17.09,18958731.662287
2026-02-24,16.9,17.75,16.58,17.71,23899447.248982
2026-02-25,17.85,17.85,16.97,17.33,33905418.414003
2026-02-26,17.3,17.87,17.225,17.77,22269226.163232
2026-02-27,18.1,18.49,17.45,18.19,54272226.177389
2026-03-02,17.57,17.65,16.64,16.79,37117701.035506
2026-03-03,16.07,16.7471,15.585,16.43,39072324.347689
2026-03-04,16.34,16.69,16.16,16.63,29472289.106856
2026-03-05,16.29,16.72,15.57,15.66,37316385.44643
2026-03-06,15.3,15.45,14.7,14.95,49782701.916823
2026-03-09,14.65,15.61,14.25,15.59,31476203.600471
2026-03-10,15.58,15.9561,15.435,15.5,27058663.632199
2026-03-11,15.2,15.41,14.825,15.15,19725209.549286
2026-03-12,15.0,15.33,14.48,14.58,29756480.750455
2026-03-13,14.75,14.8,14.08,14.14,21921962.539813
2026-03-16,14.99,15.155,14.65,14.76,25645661.024181
2026-03-17,14.9,15.19,14.805,14.84,17612300.723315
2026-03-18,14.46,14.785,14.21,14.23,15456097.117292
2026-03-19,13.82,14.74,13.65,14.65,23576498.457456
2026-03-20,14.38,14.46,13.44,13.65,36659682.787587
2026-03-23,14.34,14.525,13.895,14.26,25328174.45567
2026-03-24,14.115,14.295,13.67,14.17,21322386.32707
2026-03-25,14.42,14.5699,13.97,14.29,21504968.144767
2026-03-26,13.8,14.11,13.72,13.95,22642569.315863
2026-03-27,13.78,14.13,13.58,13.67,17188872.555037
2026-03-30,13.89,14.12,13.43,13.49,24860510.343734
2026-03-31,13.69,14.455,13.68,14.25,37206910.984945
2026-04-01,14.45,14.64,14.22,14.43,19572392.972147
2026-04-02,13.94,15.0,13.72,14.96,30606580.573491
2026-04-06,15.09,15.21,14.81,15.03,21517672.304073
2026-04-07,14.85,15.02,14.21,14.51,21629214.055549
2026-04-08,15.65,15.84,14.915,15.2,35003409.476679
2026-04-09,14.73,15.24,14.275,15.02,33969396.349789
2026-04-10,15.01,15.075,14.57,14.85,21475564.10405
2026-04-13,14.78,15.3599,14.67,15.32,23181758.549192
2026-04-14,15.3,15.59,15.165,15.4,20538643.777062
2026-04-15,15.4,15.69,15.14,15.5,31387166.405897
2026-04-16,15.59,15.97,15.32,15.76,39608182.066418
2026-04-17,16.52,16.985,16.375,16.63,37318855.573166
2026-04-20,16.61,17.18,16.32,17.12,23657403.860823
2026-04-21,17.15,17.36,15.89,15.91,28210627.217489
2026-04-22,16.15,16.3,15.14,15.31,27375406.989458
2026-04-23,15.26,15.475,14.985,15.28,19903747.999661
2026-04-24,15.41,15.94,15.36,15.6,15400321.476326
2026-04-27,15.36,15.765,15.3,15.45,12795305.495845
2026-04-28,15.4,15.76,15.22,15.31,12097105.988309
2026-04-29,15.11,15.1311,14.3,14.4,22957501.898699
2026-04-30,14.53,14.9499,14.37,14.62,14577308.379343
2026-05-01,14.75,14.93,14.555,14.64,14755016.08038
2026-05-04,14.6,14.785,13.97,14.01,18900078.64232
2026-05-05,14.17,14.27,13.9,14.09,17828214.955246
2026-05-06,14.5,14.985,14.5,14.65,26299566.273072
2026-05-07,14.67,14.77,14.05,14.15,28963513.762194
2026-05-08,14.61,15.86,14.61,15.69,37253393.192062
2026-05-11,15.51,15.55,14.615,14.83,30505638.316096
2026-05-12,14.64,14.93,14.235,14.8,25403386.378733
2026-05-13,14.52,14.56,13.8,13.84,28478168.239638
2026-05-14,13.94,14.88,13.94,14.28,21920356.269563
2026-05-15,13.955,13.99,13.27,13.35,23023435.63199
2026-05-18,13.34,13.61,12.955,13.04,22995105.328306
2026-05-19,12.9,12.9,12.38,12.67,37410123.771894
2026-05-20,12.7,13.65,12.55,13.63,22973262.351023
2026-05-21,13.33,13.915,13.16,13.87,24248869.120078
2026-05-22,14.05,14.05,13.4,13.79,17012208.743946
2026-05-26,14.12,14.43,13.965,14.04,19686425.931319
2026-05-27,14.14,14.5427,14.065,14.27,17310489.72898
2026-05-28,14.06,14.41,13.83,14.4,18113636.395263
2026-05-29,14.34,14.795,14.25,14.51,31600017.218302
2026-06-01,14.17,14.48,14.02,14.18,19103385.06357
2026-06-02,14.07,14.245,13.88,14.03,19498697.489935
2026-06-03,13.76,13.83,12.865,12.94,36789725.73615
2026-06-04,13.13,13.44,13.01,13.23,29014460.186512
2026-06-05,13.02,13.0937,12.485,12.65,24945938.786517
2026-06-08,12.8,12.84,12.17,12.35,21336456.042204
2026-06-09,12.49,13.25,12.49,13.18,20457223.223053
2026-06-10,13.02,13.06,12.46,12.54,14133708.586487
2026-06-11,12.74,13.555,12.36,13.43,28782675.757514
2026-06-12,13.53,13.6,12.9607,13.07,20440689.697929
