date,open,high,low,close,volume
2026-02-02,352.8,357.13,350.36,356.54,481401.0
2026-02-03,357.82,358.08,348.24,354.04,796869.0
2026-02-04,355.93,358.46,343.69,354.7,1193625.0
2026-02-05,325.475,341.51,320.0,338.66,2250060.0
2026-02-06,341.9,347.225,337.09,342.89,925488.0
2026-02-09,342.91,350.69,336.88,348.15,717663.0
2026-02-10,349.54,362.64,347.01,356.18,952666.0
2026-02-11,360.42,365.145,357.5,359.51,793651.0
2026-02-12,363.29,368.7499,357.63,363.06,891850.0
2026-02-13,362.86,372.5,358.655,369.18,539622.0
2026-02-17,374.05,375.495,364.5,370.5,681041.0
2026-02-18,368.02,380.86,368.02,378.08,511004.0
2026-02-19,377.0,379.57,370.45,376.84,376771.0
2026-02-20,375.73,389.15,374.795,385.03,509641.0
2026-02-23,379.94,384.5599,358.0,365.04,977353.386464
2026-02-24,365.97,375.42,364.93,374.13,493626.935046
2026-02-25,375.35,378.6365,370.85,377.07,491855.560077
2026-02-26,378.39,384.765,377.63,378.85,415269.844081
2026-02-27,374.22,375.565,360.12,362.6,807404.358695
2026-03-02,354.25,358.455,347.0,354.13,642323.614533
2026-03-03,342.225,362.7,340.72,360.88,1159799.783226
2026-03-04,362.85,368.0,356.94,359.81,447006.317027
2026-03-05,356.9,360.11,350.26,353.42,603347.582194
2026-03-06,352.575,352.575,337.1,338.36,690970.773089
2026-03-09,331.165,345.26,325.02,344.12,788967.597129
2026-03-10,344.03,354.07,342.33,346.17,343066.639381
2026-03-11,345.4,348.355,338.32,338.95,542932.435663
2026-03-12,333.31,339.0,330.0,335.09,454474.386117
2026-03-13,337.3,337.58,329.18,330.73,557777.402606
2026-03-16,334.11,342.65,333.735,339.24,431958.758645
2026-03-17,343.99,351.88,341.3775,349.21,769300.076185
2026-03-18,346.675,349.91,341.46,341.62,582285.21942
2026-03-19,338.86,344.34,335.05,340.21,696466.6759
2026-03-20,338.0,341.55,327.0,329.87,913127.325045
2026-03-23,336.14,347.68,335.71,339.11,658331.306824
2026-03-24,340.15,346.155,337.74,343.5,748914.18382
2026-03-25,349.89,354.02,340.9,345.93,444386.359779
2026-03-26,343.54,347.385,333.35,333.64,530809.89942
2026-03-27,329.16,334.68,324.3401,327.82,656039.626798
2026-03-30,330.27,332.92,325.9,326.6,823597.817069
2026-03-31,331.83,346.495,331.83,343.99,874501.770973
2026-04-01,347.23,357.5,344.27,353.01,677939.820962
2026-04-02,345.95,355.98,340.23,348.02,672550.150495
2026-04-06,352.36,359.04,349.45,358.59,557656.168526
2026-04-07,355.0,355.0,347.39,349.53,484005.926958
2026-04-08,368.0,376.88,366.94,375.4,687176.741659
2026-04-09,373.83,387.26,372.34,385.14,489912.946504
2026-04-10,383.1,385.035,373.28,379.87,429179.858355
2026-04-13,372.31,378.07,367.83,376.98,752059.317275
2026-04-14,378.77,384.96,372.1201,373.0,552298.141244
2026-04-15,369.79,375.535,366.35,369.36,473299.198248
2026-04-16,372.67,375.5,366.31,369.7,507116.583067
2026-04-17,377.42,388.915,377.42,386.88,690239.950176
2026-04-20,385.865,391.12,382.5,389.52,500154.913214
2026-04-21,389.37,393.41,380.9231,386.77,672502.12772
2026-04-22,389.09,389.53,371.59,375.29,427558.462354
2026-04-23,379.0,382.55,369.99,371.14,504868.097904
2026-04-24,372.23,375.06,369.34,371.24,359646.772626
2026-04-27,370.85,371.96,362.87,370.38,394427.90552
2026-04-28,371.11,373.36,364.52,366.87,370301.055597
2026-04-29,363.88,366.4875,359.0,359.45,381706.930769
2026-04-30,362.94,364.21,358.01,358.64,585075.483192
2026-05-01,360.98,364.57,357.57,362.21,398803.881795
2026-05-04,360.58,363.34,350.47,354.29,435412.375182
2026-05-05,357.42,361.205,352.49,360.02,357995.354948
2026-05-06,367.46,374.94,360.805,372.15,430591.539221
2026-05-07,372.69,373.6,352.18,353.55,842245.866622
2026-05-08,357.92,363.56,353.32,358.45,578563.194122
2026-05-11,356.12,356.67,340.01,343.1,616558.839243
2026-05-12,339.23,341.78,330.63,337.14,966944.271019
2026-05-13,335.81,338.27,327.78,331.62,796990.012779
2026-05-14,333.54,335.25,330.0,334.05,566932.693707
2026-05-15,332.01,332.01,325.59,326.81,550253.409419
2026-05-18,326.57,333.245,324.53,325.87,877994.674022
2026-05-19,328.75,329.755,320.21,320.69,1020774.142029
2026-05-20,321.0,335.86,317.23,329.24,1426683.814777
2026-05-21,363.0,381.89,356.85,374.9,2116936.201212
2026-05-22,377.18,381.31,371.57,377.78,885907.816126
2026-05-26,385.0,392.1,381.04,381.78,949131.453264
2026-05-27,387.37,389.06,375.78,376.23,715156.861197
2026-05-28,372.01,378.76,370.15,370.77,550058.977528
2026-05-29,369.39,369.75,362.5,363.9,918715.731886
2026-06-01,361.76,371.12,360.61,366.31,674913.971104
2026-06-02,364.23,367.27,358.1328,363.51,644156.598337
2026-06-03,362.54,363.73,357.75,359.43,486540.512735
2026-06-04,360.275,366.88,355.0,366.72,682837.936829
2026-06-05,365.05,369.41,360.65,366.55,593109.624027
2026-06-08,365.02,375.81,364.06,372.85,700714.864525
2026-06-09,378.29,393.42,374.26,391.16,806102.977585
2026-06-10,388.47,391.02,375.62,376.43,899395.696658
2026-06-11,379.41,395.155,379.01,393.3,454022.063615
