date,open,high,low,close,volume
2026-02-02,25.88,26.55,25.58,26.43,2090451.0
2026-02-03,26.04,26.195,24.14,24.82,2239519.0
2026-02-04,24.54,26.49,24.54,26.43,2832830.0
2026-02-05,25.61,26.535,24.82,25.43,2466679.0
2026-02-06,25.7,27.08,25.585,27.03,1611204.0
2026-02-09,26.63,27.81,26.32,27.37,1542666.0
2026-02-10,28.8,29.64,28.33,28.92,4775080.0
2026-02-11,28.77,29.3,26.92,28.11,15343535.0
2026-02-12,27.89,28.88,27.11,28.4,3872867.0
2026-02-13,28.64,30.78,28.35,30.19,3925422.0
2026-02-17,30.27,30.79,28.6,29.0,3508521.0
2026-02-18,29.03,29.785,28.61,29.56,2331409.0
2026-02-19,29.1,29.73,28.69,29.39,3831128.0
2026-02-20,34.36,40.64,34.36,39.5,14567855.0
2026-02-23,39.26,39.47,33.91,34.58,5398842.435271
2026-02-24,34.62,36.79,34.6,35.19,3150423.131494
2026-02-25,35.29,35.59,34.06,34.48,3632084.371188
2026-02-26,34.8,37.94,34.75,37.14,3231970.194372
2026-02-27,36.02,36.57,34.81,36.45,3329001.610228
2026-03-02,36.01,36.98,35.6,36.14,2342633.946811
2026-03-03,34.93,36.91,34.6791,36.82,2718865.933729
2026-03-04,37.0,39.39,36.9,39.17,2781772.869407
2026-03-05,39.02,40.93,38.94,39.67,2461680.279234
2026-03-06,39.42,42.42,39.152,42.02,2994317.705517
2026-03-09,41.43,42.01,40.46,41.84,2509819.549379
2026-03-10,41.73,41.73,39.79,40.69,1899108.814853
2026-03-11,41.0,41.61,38.42,38.87,2012605.383217
2026-03-12,38.5,40.45,38.04,38.06,2357406.808432
2026-03-13,39.12,39.39,37.11,37.78,2010221.709114
2026-03-16,37.93,38.59,37.34,37.38,1634347.880414
2026-03-17,37.71,38.65,37.64,37.95,1547463.001789
2026-03-18,37.23,38.31,36.97,37.07,1427625.490967
2026-03-19,36.64,38.27,36.64,37.45,1273587.104821
2026-03-20,37.17,38.0,36.06,37.63,2561902.493289
2026-03-23,38.01,39.18,37.7403,38.64,1701887.235019
2026-03-24,38.0,38.065,36.64,36.71,1792954.379212
2026-03-25,37.05,37.67,34.54,35.69,1752241.382357
2026-03-26,35.35,38.06,35.11,37.52,1399263.233907
2026-03-27,36.435,36.68,34.775,35.36,1542351.785131
2026-03-30,35.68,36.78,35.68,36.22,1324259.483481
2026-03-31,36.76,37.64,36.13,37.19,1488170.530667
2026-04-01,37.5,39.0,36.47,38.13,1429577.097165
2026-04-02,37.81,39.085,37.41,37.78,1152847.004274
2026-04-06,37.67,38.48,37.56,38.08,1323315.202332
2026-04-07,37.82,39.0,37.29,37.97,1067169.539909
2026-04-08,39.08,39.5111,37.26,37.48,2129540.871116
2026-04-09,37.09,37.285,35.83,36.92,1217565.638675
2026-04-10,36.89,37.36,33.05,33.49,2076775.604578
2026-04-13,33.53,37.06,33.53,36.88,1721379.613397
2026-04-14,37.4,38.21,36.96,37.17,1399786.380702
2026-04-15,37.68,38.91,37.505,38.71,1013775.480395
2026-04-16,39.54,40.49,39.09,40.33,1428370.226781
2026-04-17,41.27,41.745,40.01,40.39,1417322.937639
2026-04-20,40.04,41.08,39.01,40.21,1921413.173784
2026-04-21,40.26,43.83,39.915,41.34,1927141.616217
2026-04-22,41.65,42.58,41.0,41.5,1358810.598085
2026-04-23,40.2,40.455,37.78,38.63,1505767.358687
2026-04-24,39.21,41.08,38.5201,40.9,1246579.488674
2026-04-27,40.67,41.0,39.58,40.44,1095266.612644
2026-04-28,40.7,41.56,39.5028,39.57,1208696.290986
2026-04-29,39.24,40.29,38.7,40.19,934114.864547
2026-04-30,39.64,40.39,38.57,40.22,1315071.648935
2026-05-01,43.12,46.11,42.9801,45.08,2837564.802513
2026-05-04,45.33,48.0,44.78,47.25,1919677.055694
2026-05-05,47.4,48.57,46.88,47.75,1758116.008797
2026-05-06,47.04,47.65,45.63,45.72,2242916.788781
2026-05-07,46.88,47.94,45.03,45.39,3902296.985451
2026-05-08,44.64,46.6,38.7068,45.63,4778060.613362
2026-05-11,45.0,47.9336,43.75,44.62,2555594.895643
2026-05-12,44.23,44.385,41.638,41.87,2200433.035837
2026-05-13,41.53,41.8,38.04,38.73,2898366.065805
2026-05-14,39.01,40.4079,38.425,39.35,1647461.996294
2026-05-15,39.68,41.51,39.68,41.05,1811841.578098
2026-05-18,40.5,41.8694,40.0,40.68,1969375.725954
2026-05-19,42.0,43.1099,40.13,42.59,1997780.228789
2026-05-20,41.95,43.65,40.5,43.51,1479496.475438
2026-05-21,42.2,42.59,41.02,42.22,1760460.295989
2026-05-22,42.59,44.38,42.59,43.54,1050520.807675
2026-05-26,42.66,43.46,42.09,42.55,988602.943663
2026-05-27,41.85,43.235,41.41,41.6,1047140.341551
2026-05-28,41.92,42.58,40.77,41.86,1191155.676112
2026-05-29,42.33,43.76,41.25,43.31,2244236.294154
2026-06-01,44.5,49.85,43.245,49.1,2388115.155978
2026-06-02,47.27,47.3,45.2,46.37,2172459.790909
2026-06-03,45.58,45.58,43.665,43.97,1482505.430068
2026-06-04,44.53,45.54,43.49,44.03,1252838.34119
2026-06-05,43.95,44.78,41.05,42.29,1204394.142196
2026-06-08,41.7,42.23,40.62,40.87,1177137.055613
2026-06-09,40.26,40.81,37.86,39.21,1567105.687421
2026-06-10,38.37,39.45,37.98,38.73,1191505.212366
2026-06-11,38.08,38.55,36.665,37.67,1118980.73909
2026-06-12,37.85,38.91,36.77,38.64,1272165.952634
