date,open,high,low,close,volume
2026-02-02,28.5286,28.5286,28.4962,28.4962,350.0
2026-02-03,28.79,28.79,28.66,28.7117,904.0
2026-02-04,29.18,29.18,29.1403,29.1403,423.0
2026-02-05,29.0,29.03,29.0,29.0196,674.0
2026-02-06,29.28,29.6628,29.28,29.6628,1875.0
2026-02-09,29.6,29.6,29.52,29.5702,4731.0
2026-02-10,29.64,29.64,29.5369,29.5369,979.0
2026-02-11,29.75,29.83,29.61,29.6367,6152.0
2026-02-12,29.72,29.72,29.2306,29.2306,3099.0
2026-02-13,29.47,29.47,29.3264,29.3264,696.0
2026-02-17,29.21,29.41,29.21,29.284,2187.0
2026-02-18,29.39,29.4323,29.36,29.4323,1243.0
2026-02-19,29.3668,29.3668,29.3668,29.3668,357.0
2026-02-20,29.37,29.41,29.23,29.3975,1226.0
2026-02-23,29.23,29.23,29.1195,29.1195,428.0
2026-02-24,29.055,29.16,29.055,29.1323,3402.0
2026-02-25,29.15,29.2447,29.135,29.2447,2485.0
2026-02-26,29.35,29.4,29.3463,29.3463,1016.0
2026-02-27,29.28,29.33,29.28,29.3209,1357.399
2026-03-02,29.2432,29.3834,29.2432,29.3834,1071.0
2026-03-03,29.0497,29.1946,29.02,29.1946,756.0
2026-03-04,29.24,29.33,29.24,29.2765,823.0
2026-03-05,28.97,28.97,28.7401,28.7919,456.0
2026-03-06,28.4,28.5592,28.4,28.5592,1386.0
2026-03-09,28.18,28.4942,28.17,28.4942,844.0
2026-03-10,28.63,28.63,28.3949,28.3949,608.0
2026-03-11,28.23,28.2927,28.23,28.2927,865.0
2026-03-12,28.1,28.14,28.0572,28.0572,1413.0
2026-03-13,28.18,28.2,28.0976,28.0976,889.0
2026-03-16,28.27,28.29,28.2181,28.2181,1860.0
2026-03-17,28.51,28.51,28.2323,28.2323,2880.0
2026-03-18,28.04,28.04,27.8352,27.8352,789.0
2026-03-19,27.76,27.92,27.75,27.8252,1065.0
2026-03-20,27.6687,27.6687,27.6687,27.6687,217.0
2026-03-23,27.97,28.11,27.8325,27.8325,452.5
2026-03-24,28.08,28.08,27.9632,27.9632,471.0
2026-03-25,28.08,28.12,28.045,28.0553,616.0
2026-03-26,28.09,28.09,27.9851,27.9851,1174.0
2026-03-27,27.84,27.84,27.7719,27.7719,9402.0
2026-03-30,27.92,28.01,27.7961,27.7961,1903.0
2026-03-31,28.01,28.28,28.01,28.1925,1077.0
2026-04-01,28.11,28.2,28.11,28.1244,5388.0
2026-04-02,28.09,28.14,28.0899,28.1382,43737.0
2026-04-06,28.19,28.2493,28.18,28.2493,78555.0
2026-04-07,28.18,28.22,28.14,28.2008,13956.0
2026-04-08,28.53,28.6573,28.51,28.6573,609.0
2026-04-09,28.695,28.83,28.63,28.8278,26403.0
2026-04-10,28.98,28.98,28.53,28.59,57704.0
2026-04-13,28.5,28.6339,28.4999,28.6339,2028.0
2026-04-14,28.61,28.61,28.55,28.5977,3139.0
2026-04-15,28.485,28.5757,28.485,28.5757,316.0
2026-04-16,28.63,28.73,28.63,28.7215,554.0
2026-04-17,29.03,29.03,29.0,29.0082,1195.0
2026-04-20,29.08,29.1,28.9967,28.9967,12828.0
2026-04-21,29.11,29.11,28.8947,28.8947,788.0
2026-04-22,29.035,29.035,28.83,28.8539,1011.043
2026-04-23,29.18,29.18,29.1047,29.1047,1253.0
2026-04-24,28.6405,28.6405,28.6405,28.6405,99.069
2026-04-27,28.6233,28.6233,28.6233,28.6233,37.0
2026-04-28,28.73,28.76,28.7018,28.7018,653.034
2026-04-29,28.76,28.7759,28.71,28.7759,446.0
2026-04-30,29.105,29.2005,29.105,29.2005,701.753
2026-05-01,28.991,28.991,28.991,28.991,125.0
2026-05-04,28.69,28.74,28.6215,28.6215,914.689
2026-05-05,28.73,28.82,28.7145,28.7145,1655.006
2026-05-06,28.9,28.9593,28.9,28.9593,944.0
2026-05-07,28.67,28.67,28.6531,28.6531,519.0
2026-05-08,28.63,28.63,28.581,28.581,557.046
2026-05-11,28.645,28.645,28.6261,28.6261,458.0
2026-05-12,28.8,28.8927,28.8,28.8927,485.0
2026-05-13,28.82,28.82,28.8141,28.8141,180.0
2026-05-14,29.07,29.07,29.043,29.043,314.0
2026-05-15,28.99,29.01,28.89,28.9701,1494.0
2026-05-18,29.16,29.1793,29.13,29.1793,868.0
2026-05-19,29.14,29.33,29.14,29.2084,1266.0
2026-05-20,29.2,29.26,29.19,29.1956,12248.0
2026-05-21,28.96,29.3378,28.96,29.3378,455.034061
2026-05-22,29.48,29.56,29.48,29.4969,2086.96572
2026-05-26,29.314,29.314,29.314,29.314,154.0
2026-05-27,29.385,29.385,29.3346,29.3346,720.0
2026-05-28,29.35,29.35,29.32,29.3302,1297.034001
2026-05-29,29.2767,29.2767,29.2767,29.2767,46.0
2026-06-01,29.11,29.11,29.04,29.0614,3540.0
2026-06-02,28.95,29.2405,28.95,29.2405,543.0
2026-06-03,29.33,29.33,29.2045,29.2045,380.0
2026-06-04,29.49,29.55,29.49,29.5234,1025.0
2026-06-05,29.585,29.585,29.4967,29.4967,553.0
