date,open,high,low,close,volume
2026-02-02,197.69,199.33,197.15,199.1,14618556.0
2026-02-03,198.73,200.08,196.98,198.57,28998511.0
2026-02-04,199.22,200.95,199.12,200.3,31319228.0
2026-02-05,199.64,200.0385,198.115,198.56,36587449.0
2026-02-06,200.065,202.49,199.9,202.26,26921597.0
2026-02-09,201.61,202.82,200.985,202.38,14600888.0
2026-02-10,202.545,203.86,202.47,203.1,16784291.0
2026-02-11,203.89,204.17,202.53,203.46,18897228.0
2026-02-12,204.27,205.24,200.39,200.79,38641113.0
2026-02-13,201.2,203.8199,200.43,202.87,29358482.0
2026-02-17,203.075,203.98,200.845,202.52,29787319.0
2026-02-18,202.83,204.22,202.25,203.57,20934090.0
2026-02-19,203.085,203.61,201.93,203.14,15448173.0
2026-02-20,202.5,204.78,202.34,204.09,27280232.0
2026-02-23,203.38,204.08,201.045,201.85,16437657.437576
2026-02-24,201.88,203.705,201.79,203.46,19725013.929049
2026-02-25,204.095,204.14,202.25,203.58,16772402.33807
2026-02-26,204.12,205.03,203.175,204.73,23866158.915208
2026-02-27,203.37,205.08,202.91,204.97,16234485.197704
2026-03-02,203.34,205.24,202.84,204.59,22037025.114976
2026-03-03,201.045,203.03,198.545,202.08,37315668.55841
2026-03-04,202.7,203.345,201.415,202.89,16696748.697121
2026-03-05,201.79,202.71,199.46,200.54,23149586.391585
2026-03-06,198.44,198.77,196.52,198.15,23634421.687182
2026-03-09,196.28,199.25,193.97,198.71,26828158.5686
2026-03-10,198.44,199.575,196.85,197.22,19304344.195931
2026-03-11,197.01,197.375,195.675,196.57,16891160.474033
2026-03-12,194.865,196.01,193.505,193.53,24793803.631164
2026-03-13,195.02,195.68,193.29,193.52,13023239.435517
2026-03-16,195.25,196.19,194.59,194.96,12128792.458181
2026-03-17,196.305,197.25,195.91,196.05,10977465.822211
2026-03-18,195.15,195.64,193.39,193.47,12514628.571183
2026-03-19,192.26,194.47,191.9,193.32,17371146.94097
2026-03-20,193.03,193.42,189.5,190.48,15312129.147518
2026-03-23,192.5,194.05,191.44,191.69,15965461.948287
2026-03-24,190.52,192.97,190.08,191.92,15258474.76128
2026-03-25,193.46,194.15,191.34,192.85,14017270.489339
2026-03-26,191.71,193.5,190.84,191.08,17145726.893084
2026-03-27,190.43,190.69,188.03,188.46,13998820.212378
2026-03-30,190.16,190.36,187.364,188.07,10947437.22777
2026-03-31,190.02,192.64,188.73,191.92,19696546.011212
2026-04-01,192.54,193.47,192.18,192.54,17589177.856491
2026-04-02,190.55,194.3,190.21,193.09,10796617.425739
2026-04-06,192.95,194.02,192.55,193.92,4600363.469819
2026-04-07,193.34,194.015,192.4,193.49,8382710.72176
2026-04-08,197.3,198.3,196.92,197.96,11173861.754246
2026-04-09,197.24,198.73,196.8,198.08,7321052.618212
2026-04-10,198.25,198.43,196.33,196.65,6702326.778476
2026-04-13,196.23,198.93,195.95,198.83,5789333.805015
2026-04-14,199.09,200.03,198.53,199.66,10283907.543838
2026-04-15,199.73,200.2,198.93,199.73,8666833.116064
2026-04-16,200.095,201.08,199.9108,200.64,9802718.265072
2026-04-17,201.69,204.0779,201.625,203.16,10807229.631971
2026-04-20,202.69,203.9299,202.67,203.8,6061835.845693
2026-04-21,204.27,205.1798,202.21,202.55,8702434.223686
2026-04-22,203.78,204.19,201.94,202.46,7198107.729715
2026-04-23,202.435,202.935,200.38,202.45,10703904.355297
2026-04-24,202.58,202.9395,201.65,202.03,8816787.395316
2026-04-27,201.97,202.94,201.68,201.79,6866750.51997
2026-04-28,201.79,202.275,200.155,200.76,6560192.828627
2026-04-29,200.79,201.27,199.7,200.41,8269239.50605
2026-04-30,200.54,203.55,200.2,203.44,9591167.398862
2026-05-01,204.01,204.31,202.785,202.82,13811317.902278
2026-05-04,202.37,203.575,201.23,201.64,9495156.497528
2026-05-05,202.28,203.78,201.62,203.24,6565952.244223
2026-05-06,204.58,205.51,204.06,204.85,10908246.836568
2026-05-07,204.96,205.53,202.945,203.54,10151386.512361
2026-05-08,204.445,204.58,203.185,204.1,8492457.020423
2026-05-11,204.46,204.815,203.635,203.99,7428684.757109
2026-05-12,203.73,204.09,202.17,203.81,9576182.856817
2026-05-13,203.68,203.68,202.335,202.92,7388858.801197
2026-05-14,203.46,204.51,203.035,203.66,9841805.678235
2026-05-15,202.6,202.92,201.4499,201.56,8957437.28006
2026-05-18,201.88,203.28,201.455,202.8,13792400.57231
2026-05-19,201.98,202.6377,200.91,201.62,10548898.863791
2026-05-20,201.98,203.99,200.7,203.83,18985494.718185
2026-05-21,202.94,204.9,201.81,204.71,11504237.223473
2026-05-22,205.73,206.97,205.52,206.58,11151485.980902
2026-05-26,207.83,208.18,206.93,207.64,10318471.774855
2026-05-27,208.05,208.73,207.34,207.49,9746458.969863
2026-05-28,207.38,208.89,206.64,208.25,6645549.292254
2026-05-29,208.745,209.32,208.21,208.83,8578074.703701
2026-06-01,208.05,209.77,207.79,209.21,8484916.293945
2026-06-02,209.105,210.115,208.78,210.04,8103008.845341
2026-06-03,209.43,209.805,208.84,209.25,9765237.763069
2026-06-04,210.015,210.945,209.74,210.83,10142782.418071
2026-06-05,209.87,210.36,207.29,207.83,10969781.954488
2026-06-08,208.635,209.0801,207.45,207.61,7771400.737243
2026-06-09,208.64,210.36,205.74,209.19,17170259.947647
2026-06-10,208.53,209.93,206.45,206.53,11015832.790793
2026-06-11,207.34,210.46,206.87,209.75,16751765.122113
