date,open,high,low,close,volume
2026-02-06,200.42,203.51,199.73,203.34,3050531.0
2026-02-09,206.8,210.67,204.765,210.41,3576331.0
2026-02-10,210.53,212.98,210.45,212.21,3611476.0
2026-02-11,206.43,207.83,199.78,202.65,3619203.0
2026-02-12,203.26,204.44,200.37,203.74,3730728.0
2026-02-13,205.92,206.92,203.47,204.53,2590570.0
2026-02-17,202.11,203.54,199.13,201.47,1654089.0
2026-02-18,201.815,205.8,201.18,205.2,1753120.0
2026-02-19,202.61,203.2,199.87,200.26,1856781.0
2026-02-20,201.13,205.33,200.37,202.59,1657351.0
2026-02-23,199.12,199.22,196.06,196.71,2118203.972059
2026-02-24,194.9,198.67,193.23,196.46,2947265.504121
2026-02-25,197.45,198.83,195.055,198.25,2799510.54035
2026-02-26,202.36,206.0,201.42,204.68,2266063.038612
2026-02-27,200.545,202.85,198.71,201.53,2624816.705697
2026-03-02,195.85,198.11,194.55,196.01,3509379.854359
2026-03-03,187.935,196.91,187.935,196.33,6817490.608299
2026-03-04,193.48,197.1,193.07,195.58,3527626.80589
2026-03-05,194.73,200.42,194.73,199.48,3389398.758087
2026-03-06,198.16,202.25,197.34,202.25,2428016.021414
2026-03-09,199.98,201.49,197.4601,200.1,3059448.514574
2026-03-10,199.9,200.055,193.63,195.83,2648733.231786
2026-03-11,194.48,195.785,188.75,191.22,3220062.448004
2026-03-12,192.39,194.74,190.33,190.5,2345105.100339
2026-03-13,191.87,193.25,189.14,189.94,1731683.848875
2026-03-16,190.59,191.89,189.67,191.63,1812795.337227
2026-03-17,190.43,192.94,189.23,190.12,1793858.24593
2026-03-18,189.67,190.98,183.69,183.74,2312051.939325
2026-03-19,184.43,186.81,183.19,185.01,3329566.12423
2026-03-20,177.04,178.03,174.5,175.8,5687007.246526
2026-03-23,180.81,181.47,177.09,178.16,2420255.359495
2026-03-24,172.22,172.65,169.26,171.0,3590367.691419
2026-03-25,172.96,173.86,168.14,168.95,2449856.573644
2026-03-26,167.72,170.945,166.3,167.08,3719991.152129
2026-03-27,167.21,167.4,163.77,164.02,2239230.121324
2026-03-30,166.8,170.4,166.08,168.29,2673216.417722
2026-03-31,169.41,172.91,167.93,171.21,2324509.843396
2026-04-01,172.98,173.22,169.24,171.36,2311973.748386
2026-04-02,168.27,172.51,166.92,171.77,2852195.156784
2026-04-06,171.9,172.53,169.54,171.12,1424245.907406
2026-04-07,170.22,170.43,166.62,169.48,2195892.576726
2026-04-08,177.73,177.9,169.0,169.18,3642813.203296
2026-04-09,166.265,166.39,160.66,164.5,5261244.334741
2026-04-10,166.275,166.28,161.91,163.1,5280271.408215
2026-04-13,162.91,169.81,162.67,169.57,3311257.080042
2026-04-14,170.01,171.745,166.94,167.81,3101013.489649
2026-04-15,170.97,173.81,170.15,172.9,2687927.274927
2026-04-16,179.54,179.945,176.75,177.41,5150009.780803
2026-04-17,187.2,188.5,180.06,181.22,6647902.527402
2026-04-20,178.09,180.32,177.06,178.94,3200855.459626
2026-04-21,177.95,180.67,176.22,176.44,3128428.298205
2026-04-22,173.78,176.9,173.43,174.02,3424027.841054
2026-04-23,165.96,168.29,162.0,163.25,7314581.218522
2026-04-24,175.1,175.83,171.56,175.26,6846804.05487
2026-04-27,175.65,177.08,173.25,173.44,3327869.167178
2026-04-28,174.03,175.55,173.15,173.49,2760641.879704
2026-04-29,171.495,171.57,169.08,170.1,3350842.316225
2026-04-30,170.57,171.79,168.65,169.49,3158199.27843
2026-05-01,172.64,173.815,169.5,170.76,2920377.649649
2026-05-04,172.12,173.99,171.26,171.42,3016086.08839
2026-05-05,171.02,173.11,168.9,172.39,2943133.726756
2026-05-06,178.59,178.59,172.48,173.13,6245891.334481
2026-05-07,176.11,180.025,174.62,174.71,4428844.088599
2026-05-08,174.31,174.34,170.89,173.7,3705617.168355
2026-05-11,173.24,173.83,168.8,170.1,2791696.789341
2026-05-12,170.44,170.44,165.6,167.27,2897285.67229
2026-05-13,162.31,162.69,158.58,160.82,5044677.216279
2026-05-14,160.97,165.23,160.08,164.18,3454284.374249
2026-05-15,168.43,169.77,166.57,169.48,3618618.751048
2026-05-18,167.78,175.33,167.37,174.62,3140336.482473
2026-05-19,184.23,185.355,178.52,178.8,5876684.066235
2026-05-20,176.26,180.16,174.345,179.89,3132062.227397
2026-05-21,176.12,177.025,172.73,176.28,2467123.955841
2026-05-22,177.05,179.71,175.3801,175.95,2001076.161593
