date,open,high,low,close,volume
2026-02-02,111.06,121.305,111.06,116.55,7143589.0
2026-02-03,119.98,122.99,112.9,114.82,5763891.0
2026-02-04,114.61,114.77,107.12,110.69,6444077.0
2026-02-05,109.11,112.42,106.6,107.02,4175578.0
2026-02-06,110.23,112.31,108.71,111.61,3802758.0
2026-02-09,113.5,115.52,111.02,115.19,3301827.0
2026-02-10,114.765,117.86,114.0,115.67,4105181.0
2026-02-11,116.2,116.32,108.11,110.06,5507917.0
2026-02-12,110.22,111.56,107.25,110.51,3707681.0
2026-02-13,109.87,116.61,108.11,113.15,4233537.0
2026-02-17,112.0,115.025,110.25,113.0,1851262.0
2026-02-18,112.73,116.48,112.51,114.46,2727202.0
2026-02-19,113.14,117.2299,112.67,114.84,2179305.0
2026-02-20,114.51,114.84,109.79,110.36,2367773.0
2026-02-23,109.0,110.23,107.05,107.42,2336812.395731
2026-02-24,107.05,107.62,104.77,106.78,3214253.324914
2026-02-25,108.61,109.18,104.63,107.01,3635409.341935
2026-02-26,107.38,108.94,105.785,108.37,3121422.278923
2026-02-27,107.21,119.5,105.315,115.53,7897687.362759
2026-03-02,117.16,121.64,114.15,118.68,6957418.405525
2026-03-03,115.24,119.48,113.52,116.9,4015520.292121
2026-03-04,118.36,118.5,110.5001,114.03,4023033.239692
2026-03-05,114.07,116.83,109.65,110.85,4090427.940079
2026-03-06,107.3,111.15,105.28,106.24,4137757.544174
2026-03-09,108.18,110.64,104.9,109.92,6330890.48348
2026-03-10,110.62,112.4,106.75,108.5,5992222.258566
2026-03-11,107.58,114.0,107.4,112.18,5587563.848801
2026-03-12,110.41,111.18,107.43,107.71,6223282.077868
2026-03-13,108.825,109.5,105.57,108.34,3149990.879467
2026-03-16,110.18,114.81,110.0,114.33,4890199.775963
2026-03-17,114.095,116.4418,112.11,112.27,3633079.290238
2026-03-18,111.59,113.03,107.49,107.75,4119126.662599
2026-03-19,106.99,109.97,106.0,109.11,5148244.480428
2026-03-20,109.93,111.4999,104.13,109.84,49306794.607545
2026-03-23,111.0,112.885,105.35,109.49,6798407.044253
2026-03-24,109.58,114.2099,108.97,110.84,4624916.794454
2026-03-25,116.82,124.61,116.14,119.07,13331067.328901
2026-03-26,117.28,117.81,109.6953,111.4,9235585.50058
2026-03-27,111.54,116.6,111.01,115.21,5713276.228367
2026-03-30,116.1,118.31,110.03,112.23,4796271.546316
2026-03-31,115.09,120.76,113.515,117.07,14711230.171389
2026-04-01,118.49,124.0,117.71,120.6,7062471.091828
2026-04-02,118.096,130.0,118.04,128.68,10713742.868321
2026-04-06,129.17,129.5,125.6779,126.95,4859228.694464
2026-04-07,125.22,126.4722,122.14,124.77,3837528.431375
2026-04-08,129.13,129.515,121.37,122.82,6221420.808305
2026-04-09,122.71,124.83,117.5,120.09,5166325.859768
2026-04-10,120.09,132.43,117.76,128.59,9102727.562764
2026-04-13,128.5,129.2525,125.0,125.55,2872869.685479
2026-04-14,127.91,131.73,126.135,130.47,4818342.210508
2026-04-15,132.13,135.88,130.31,131.39,5661673.533177
2026-04-16,131.37,133.21,129.5001,132.5,3133502.339827
2026-04-17,135.27,135.68,132.09,133.21,5818052.765481
2026-04-20,134.29,137.44,133.02,135.11,3709213.781276
2026-04-21,137.09,137.39,122.79,123.86,7630609.062543
2026-04-22,126.765,127.3808,119.68,122.36,8327414.802005
2026-04-23,121.57,123.35,119.79,121.52,3414457.09211
2026-04-24,122.08,122.08,116.32,117.5,7029259.367467
2026-04-27,118.0,122.03,116.72,121.63,5174152.3756
2026-04-28,120.46,124.44,119.2,123.7,3313145.515257
2026-04-29,123.34,124.0,119.49,119.78,9060898.714029
2026-04-30,120.66,124.96,120.5,123.14,2837782.926403
2026-05-01,123.32,124.34,121.5601,123.18,2393484.339972
2026-05-04,122.58,122.9,119.1701,120.34,3011183.916685
2026-05-05,120.65,120.98,116.54,117.34,3819127.804097
2026-05-06,118.73,126.78,117.47,125.75,5979171.70511
2026-05-07,127.02,127.02,121.6,122.62,3522271.258598
2026-05-08,123.75,127.255,122.63,127.15,3052428.218145
2026-05-11,127.88,132.1,126.0601,129.14,4684380.144903
2026-05-12,127.0,129.6,122.55,129.38,5989027.051378
2026-05-13,132.27,137.47,129.63,133.23,8129102.88826
2026-05-14,133.675,139.54,132.6,135.11,4798548.650134
2026-05-15,133.94,139.0,132.5,137.23,5463745.210096
2026-05-18,146.75,147.252,135.11,136.45,8968917.980371
2026-05-19,134.5,137.98,132.0,136.52,3893479.381969
2026-05-20,137.92,142.73,132.9,141.8,5523661.451076
2026-05-21,139.69,141.58,128.1,128.44,9039114.36506
2026-05-22,130.31,130.4635,122.73,124.2,11039540.846129
2026-05-26,129.46,131.49,120.9,123.12,11228182.542292
2026-05-27,123.1,128.0,121.3001,122.46,7115985.195923
2026-05-28,121.81,131.77,119.55,131.07,8239097.699421
2026-05-29,126.26,129.38,121.26,129.19,8617040.086635
2026-06-01,128.38,129.88,123.57,127.42,5758852.612784
2026-06-02,126.9,128.85,122.5,123.55,4555395.346405
2026-06-03,122.35,125.03,120.17,120.92,5579458.741682
2026-06-04,119.5,126.57,117.75,124.64,6277554.508183
2026-06-05,121.0,121.8487,113.5,116.28,9733545.74802
2026-06-08,118.29,118.66,109.7,116.62,11735863.056493
2026-06-09,118.28,121.4698,113.29,116.77,7377277.285376
2026-06-10,118.0,118.1773,113.45,115.24,8339703.423966
2026-06-11,117.73,128.455,115.52,128.13,16440624.61514
