date,open,high,low,close,volume
2026-02-02,103.73,105.19,103.09,105.17,9897222.0
2026-02-03,105.22,105.72,102.435,103.73,13372725.0
2026-02-04,103.755,105.04,102.96,103.88,10779784.0
2026-02-05,103.93,103.93,101.571,102.0,9683409.0
2026-02-06,103.25,105.28,103.0,105.08,7527617.0
2026-02-09,104.84,107.27,104.78,107.21,10178066.0
2026-02-10,107.0,107.5,97.01,99.25,40420215.0
2026-02-11,100.91,101.15,95.09,95.45,25148857.0
2026-02-12,96.0,96.4676,92.8,95.08,24881847.0
2026-02-13,94.06,94.52,93.01,93.72,12653698.0
2026-02-17,94.23,94.47,92.3,93.08,11250945.0
2026-02-18,93.91,95.86,93.5,95.38,16285165.0
2026-02-19,94.86,94.885,93.06,93.87,13403161.0
2026-02-20,93.37,94.2331,92.73,94.03,8491813.0
2026-02-23,93.51,93.92,91.28,92.75,11226893.81287
2026-02-24,92.19,94.55,91.86,93.12,13635300.59411
2026-02-25,93.87,95.8,93.515,95.35,8788892.552919
2026-02-26,95.48,97.61,95.48,97.52,9896081.93812
2026-02-27,96.49,96.99,93.62,95.2,13146063.460111
2026-03-02,94.23,96.6,93.932,95.49,11412285.126514
2026-03-03,94.0,95.99,93.5005,95.24,8257847.27434
2026-03-04,96.22,96.8,95.375,96.04,8268138.189756
2026-03-05,95.47,96.84,94.16,95.41,12034937.428836
2026-03-06,93.88,95.27,92.55,95.23,9745277.626787
2026-03-09,94.1,94.86,92.2715,94.38,8517400.802028
2026-03-10,94.4,94.62,92.59,93.17,7017485.106134
2026-03-11,92.95,93.49,91.21,92.67,6462329.000989
2026-03-12,91.82,92.04,90.505,91.24,9215097.948552
2026-03-13,92.0,93.8,91.93,93.06,11043554.830821
2026-03-16,94.13,95.24,93.26,93.63,8835700.332381
2026-03-17,94.27,95.39,93.77,93.93,5972074.223826
2026-03-18,93.8,94.22,92.87,93.28,8175430.096121
2026-03-19,93.37,94.15,92.79,93.99,8001366.455259
2026-03-20,94.11,94.87,93.5,94.66,13145384.723892
2026-03-23,95.59,96.4496,93.99,95.3,8933360.917633
2026-03-24,95.58,96.74,95.2,95.68,6456172.013137
2026-03-25,95.95,96.65,94.39,94.99,6454692.274106
2026-03-26,94.68,95.16,93.84,94.47,6984154.189095
2026-03-27,93.87,93.96,91.97,92.36,7252391.932017
2026-03-30,92.99,93.73,92.37,93.06,6406649.244902
2026-03-31,94.0,94.13,92.17,93.98,9731183.100617
2026-04-01,95.01,95.435,90.0,92.36,15988655.864849
2026-04-02,91.1,94.02,90.89,93.77,7970545.326125
2026-04-06,93.9,94.75,92.04,92.99,10968053.922695
2026-04-07,92.21,93.73,91.3,93.34,11971822.608184
2026-04-08,94.89,96.78,94.5,96.7,10783075.224224
2026-04-09,96.28,97.975,95.83,97.27,5794463.258753
2026-04-10,97.185,97.245,94.15,94.8,9347157.416537
2026-04-13,94.72,96.85,94.2,96.79,7449681.020553
2026-04-14,97.28,99.06,96.89,98.38,12167570.787056
2026-04-15,99.4,100.759,99.09,100.27,10983430.399019
2026-04-16,95.76,98.75,91.92,92.62,27859520.652173
2026-04-17,93.35,93.93,90.565,92.28,20191285.791394
2026-04-20,91.98,93.59,91.65,93.15,11271633.802267
2026-04-21,93.26,94.155,91.83,91.97,12842755.828252
2026-04-22,92.19,93.0,91.15,91.71,10798334.108321
2026-04-23,91.14,91.6,87.84,88.92,17899611.898701
2026-04-24,88.92,89.86,88.29,88.5,11670547.44472
2026-04-27,88.26,91.12,88.15,90.76,8399216.215709
2026-04-28,91.3,91.9,90.175,90.83,9259149.073119
2026-04-29,90.33,91.49,89.4425,91.16,8328332.768168
2026-04-30,90.35,92.53,89.875,91.64,12560277.881598
2026-05-01,92.03,92.8586,91.265,91.54,8532643.602262
2026-05-04,91.37,92.72,90.95,91.48,7005948.75272
2026-05-05,91.76,92.89,91.5,92.4,5784332.733044
2026-05-06,92.36,92.75,91.585,92.15,6883560.969932
2026-05-07,91.81,92.43,88.6601,89.5,14791981.790162
2026-05-08,89.29,89.7,88.31,88.61,9953964.64658
2026-05-11,88.62,88.865,87.61,87.83,9542668.740436
2026-05-12,88.02,90.39,87.64,90.18,9490161.173849
2026-05-13,89.45,91.78,89.26,91.17,9299812.086083
2026-05-14,91.65,92.1703,89.13,89.44,14178789.575568
2026-05-15,90.48,92.87,89.76,90.88,14261986.261067
2026-05-18,91.0,93.43,90.775,92.39,8266512.263374
2026-05-19,92.2,92.93,91.46,91.81,8681790.974785
2026-05-20,92.32,92.56,89.73,90.11,12827816.836841
2026-05-21,90.18,90.7,89.28,90.41,8077912.510928
2026-05-22,90.36,91.39,90.11,90.15,7067503.043863
2026-05-26,89.7,90.42,89.365,89.4,8361078.384855
2026-05-27,89.0,89.26,84.72,85.61,21854900.148761
2026-05-28,85.12,85.62,83.96,85.35,16768483.90702
2026-05-29,86.0,87.48,85.93,87.35,20461629.839016
2026-06-01,86.81,89.195,86.0174,88.74,13961593.917286
2026-06-02,87.94,88.62,86.22,87.61,11612043.079482
2026-06-03,87.0,87.555,85.58,86.59,11339420.788618
2026-06-04,87.51,88.5,86.7,88.0,11790233.393787
2026-06-05,88.46,88.94,87.675,88.84,9213892.474419
2026-06-08,88.28,88.92,87.77,88.08,7473601.399315
2026-06-09,88.25,88.915,87.18,88.77,10830638.241851
2026-06-10,88.45,90.25,87.86,89.27,11177391.399611
2026-06-11,89.26,89.94,88.54,88.7,11380710.451613
2026-06-12,89.53,92.21,89.25,91.1,11399437.321882
