date,open,high,low,close,volume
2026-02-02,1.93,2.014,1.41,1.52,2130933.0
2026-02-03,1.57,1.6,1.38,1.39,790906.0
2026-02-04,1.41,1.7494,1.31,1.32,1897107.0
2026-02-05,1.26,1.37,1.1301,1.16,1059826.0
2026-02-06,1.33,1.33,1.15,1.21,638797.0
2026-02-09,1.23,1.235,1.08,1.11,1103922.0
2026-02-10,1.08,1.419,1.0,1.3,6341719.0
2026-02-11,1.24,1.24,1.1,1.2,1146021.0
2026-02-12,1.17,1.2167,1.06,1.1,699587.0
2026-02-13,1.1,1.34,1.1,1.2,3253940.0
2026-02-17,1.25,1.56,1.17,1.48,4386327.0
2026-02-18,1.4,1.41,1.22,1.23,1179186.0
2026-02-19,1.185,1.2,1.1202,1.18,773674.0
2026-02-20,1.16,1.22,1.1301,1.19,841047.0
2026-02-23,1.18,1.18,1.1,1.12,665988.013124
2026-02-24,1.11,1.27,1.11,1.17,1163965.224319
2026-02-25,1.2,1.2,1.1,1.11,671258.353761
2026-02-26,1.1,1.1,0.99,1.03,967028.746957
2026-02-27,1.02,1.05,0.9759,1.015,1066716.879
2026-03-02,1.0,1.02,0.9048,1.01,519992.311319
2026-03-03,0.96,1.0,0.9101,0.915,378209.601161
2026-03-04,0.93,1.04,0.8541,0.93,639722.682034
2026-03-05,0.929,0.94,0.8629,0.919,277676.782386
2026-03-06,0.91,0.9521,0.8718,0.9008,333568.034405
2026-03-09,0.86,1.04,0.86,0.9927,756160.196376
2026-03-10,1.0,1.03,0.9601,1.03,189519.394422
2026-03-11,1.01,1.12,1.01,1.09,541163.489444
2026-03-12,1.04,1.09,1.0,1.02,496855.5023
2026-03-13,1.03,1.04,0.964,1.02,255352.303203
2026-03-16,1.01,1.12,1.01,1.06,404351.698306
2026-03-17,1.06,1.1,1.01,1.02,290949.976962
2026-03-18,0.9894,0.9894,0.9106,0.9585,283241.733675
2026-03-19,0.9297,0.9297,0.88,0.88,654482.07619
2026-03-20,0.85,0.8696,0.78,0.7997,497671.365
2026-03-23,0.7999,0.8224,0.78,0.8119,297405.050017
2026-03-24,0.7847,0.8,0.6266,0.66,689551.696767
2026-03-25,0.6775,0.75,0.6409,0.6489,553070.930082
2026-03-26,0.64,0.7649,0.5933,0.594,414407.564872
2026-03-27,0.594,0.6583,0.574,0.63,459099.662988
2026-03-30,0.65,0.6558,0.6,0.615,299224.968247
2026-03-31,0.62,0.64,0.5875,0.63,400147.653879
2026-04-01,0.65,0.695,0.6002,0.625,594627.670971
2026-04-02,0.6,0.6171,0.551,0.561,746755.784554
2026-04-06,0.5681,0.66,0.5601,0.592,686730.312049
2026-04-07,0.6032,0.6125,0.5383,0.558,490603.679784
2026-04-08,0.6,0.6,0.5499,0.558,288679.511
2026-04-09,0.5591,0.5685,0.5005,0.507,350164.895456
2026-04-10,0.51,0.5192,0.5001,0.5186,436585.078679
2026-04-13,0.5564,0.5825,0.529,0.5499,545647.955977
2026-04-14,0.65,0.805,0.5,0.5662,17440988.365673
2026-04-15,0.5665,0.5799,0.5312,0.541,1455067.155774
2026-04-16,0.539,0.5863,0.5372,0.579,873957.561549
2026-04-17,0.6,0.6288,0.5746,0.628,1066139.624816
2026-04-20,0.6,0.68,0.6,0.672,814133.882328
2026-04-21,0.6893,0.72,0.6411,0.6604,731078.999096
2026-04-22,0.695,0.7078,0.65,0.69,501361.252006
2026-04-23,0.69,0.691,0.62,0.6717,406112.703606
2026-04-24,0.6717,0.69,0.55,0.655,3973589.196246
2026-04-27,0.658,1.04,0.6333,0.9335,14045694.114916
2026-04-28,1.06,1.56,0.96,1.46,50541439.626806
2026-04-29,1.35,1.6299,1.12,1.18,9723702.220209
2026-04-30,1.21,1.29,1.05,1.27,4348209.965841
2026-05-01,1.27,1.39,1.19,1.22,3670243.375169
2026-05-04,1.2,1.28,1.15,1.26,2071044.16807
2026-05-05,1.23,1.26,1.01,1.01,2868849.517753
2026-05-06,0.99,1.42,0.96,1.37,7459768.415641
2026-05-07,1.42,1.59,1.335,1.39,4417044.060035
2026-05-08,1.37,1.4601,1.29,1.43,1715369.27458
2026-05-11,1.43,1.6,1.285,1.43,2533509.641914
2026-05-12,1.38,1.43,1.3,1.37,1315272.377449
2026-05-13,1.34,1.35,1.22,1.32,1067084.427042
2026-05-14,1.32,1.54,1.23,1.51,2025098.443038
2026-05-15,1.42,2.08,1.38,1.87,5188730.966653
2026-05-18,1.89,2.5799,1.88,2.4,6477441.004452
2026-05-19,2.4,2.57,2.1101,2.16,3185498.09522
2026-05-20,2.0,2.185,1.76,2.08,2014121.979275
2026-05-21,2.08,2.2399,1.94,2.02,1129216.706616
2026-05-22,2.0,2.08,1.83,1.91,1288484.613553
2026-05-26,1.85,1.87,1.35,1.4,2618304.910689
2026-05-27,1.67,1.69,1.46,1.57,1347434.993255
2026-05-28,1.5,1.67,1.49,1.64,926051.153991
2026-05-29,1.66,1.78,1.47,1.69,951230.994105
2026-06-01,1.81,1.96,1.62,1.7,1847054.564554
2026-06-02,1.71,1.78,1.62,1.74,553077.140798
2026-06-03,1.79,1.9208,1.6,1.81,2028915.394354
2026-06-04,1.83,2.05,1.76,1.76,1429646.952988
2026-06-05,1.76,1.84,1.51,1.65,2042127.7424
