date,open,high,low,close,volume
2026-02-02,5.04,5.06,5.02,5.04,20908.0
2026-02-03,5.05,5.06,5.02,5.03,17000.0
2026-02-04,5.07,5.07,5.0201,5.05,11432.0
2026-02-05,5.03,5.05,5.01,5.03,17436.0
2026-02-06,5.0292,5.08,5.02,5.07,33370.0
2026-02-09,5.03,5.12,5.02,5.1,47102.0
2026-02-10,5.097,5.11,5.09,5.11,13564.0
2026-02-11,5.13,5.13,5.075,5.09,11267.0
2026-02-12,5.095,5.1,5.015,5.02,27868.0
2026-02-13,5.0666,5.0666,4.99,4.99,31946.0
2026-02-17,5.05,5.05,4.97,4.98,81618.0
2026-02-18,5.0,5.01,4.97,4.97,33871.0
2026-02-19,4.95,5.0,4.95,4.97,35117.0
2026-02-20,4.99,4.99,4.95,4.97,25834.0
2026-02-23,4.99,5.03,4.95,5.03,34188.730478
2026-02-24,5.05,5.05,5.01,5.02,10187.803562
2026-02-25,5.01,5.03,5.01,5.03,17833.649288
2026-02-26,5.05,5.05,4.9801,5.02,21875.437587
2026-02-27,4.99,5.11,4.99,5.1,32888.5394
2026-03-02,5.06,5.25,5.06,5.14,61392.217706
2026-03-03,5.09,5.2399,5.09,5.21,24799.8453
2026-03-04,5.2,5.22,5.1101,5.15,12326.8663
2026-03-05,5.15,5.184,5.05,5.13,18973.434529
2026-03-06,5.08,5.19,5.065,5.14,20292.170318
2026-03-09,5.11,5.18,5.1,5.16,40567.124056
2026-03-10,5.14,5.21,5.14,5.17,31531.708121
2026-03-11,5.2,5.2,5.0479,5.06,27395.795027
2026-03-12,5.1,5.132,5.0609,5.1,13019.8888
2026-03-13,5.07,5.19,5.06,5.09,32245.569644
2026-03-16,5.08,5.08,5.06,5.06,17901.648685
2026-03-17,5.06,5.08,5.06,5.07,19075.152572
2026-03-18,5.07,5.08,5.05,5.08,17133.616642
2026-03-19,5.06,5.08,5.06,5.08,15242.7537
2026-03-20,5.06,5.08,5.06,5.08,56583.2808
2026-03-23,5.07,5.08,5.02,5.08,27390.8713
2026-03-24,5.08,5.125,5.05,5.1,40561.130698
2026-03-25,5.12,5.19,5.09,5.16,16750.8783
2026-03-26,5.16,5.1999,5.08,5.12,6315.873533
2026-03-27,5.07,5.13,4.975,5.04,45220.500502
2026-03-30,5.09,5.0999,5.0201,5.03,15775.5623
2026-03-31,5.11,5.15,5.02,5.11,29765.574026
2026-04-01,5.15,5.1586,5.04,5.14,24909.036928
2026-04-02,5.09,5.18,5.09,5.16,24060.9903
2026-04-06,5.15,5.31,5.1,5.3,45310.574245
2026-04-07,5.26,5.28,5.16,5.16,41694.704071
2026-04-08,5.2,5.32,5.2,5.3,50248.225134
2026-04-09,5.24,5.28,5.14,5.21,53309.295288
2026-04-10,5.21,5.31,5.1701,5.27,27273.777812
2026-04-13,5.28,5.36,5.21,5.36,20082.8171
2026-04-14,5.32,5.41,5.28,5.41,42040.5397
2026-04-15,5.37,5.37,5.2706,5.36,9352.0147
2026-04-16,5.35,5.44,5.32,5.36,46027.266721
2026-04-17,5.36,5.375,5.2564,5.31,33250.068106
2026-04-20,5.31,5.3999,5.2601,5.31,15130.482017
2026-04-21,5.31,5.31,5.252,5.28,29447.1579
2026-04-22,5.31,5.3433,5.28,5.315,8554.346221
2026-04-23,5.3,5.33,5.28,5.33,18341.251189
2026-04-24,5.31,5.35,5.25,5.35,15998.2145
2026-04-27,5.35,5.36,5.2501,5.3,147861.666157
2026-04-28,5.35,5.36,5.3,5.36,7642.255463
2026-04-29,5.3006,5.54,5.3,5.53,62474.6318
2026-04-30,5.53,5.6,5.45,5.6,33193.827082
2026-05-01,5.57,5.63,5.48,5.56,26226.145086
2026-05-04,5.57,5.6,5.52,5.52,12445.4259
2026-05-05,5.52,5.56,5.4801,5.56,14185.0463
2026-05-06,5.54,5.588,5.4501,5.5,10618.5289
2026-05-07,5.51,5.51,5.39,5.41,14002.60969
2026-05-08,5.37,5.4,5.28,5.29,17500.9849
2026-05-11,5.3,5.3514,5.25,5.33,22374.776617
2026-05-12,5.35,5.36,5.305,5.31,3369.24768
2026-05-13,5.3399,5.3399,5.31,5.32,5312.3399
2026-05-14,5.34,5.35,5.3201,5.325,11632.0269
2026-05-15,5.32,5.34,5.262,5.28,12788.901746
2026-05-18,5.3,5.3399,5.26,5.3,10017.075954
2026-05-19,5.32,5.32,5.25,5.3,15188.023692
2026-05-20,5.29,5.29,5.19,5.2,22030.6504
2026-05-21,5.11,5.3,5.05,5.21,36652.238475
2026-05-22,5.18,5.25,5.16,5.25,4735.548828
2026-05-26,5.18,5.2222,5.1501,5.19,13258.116814
2026-05-27,5.21,5.21,5.15,5.18,7740.790885
2026-05-28,5.2,5.2,5.085,5.1,34060.691792
2026-05-29,5.1,5.16,5.0825,5.16,22139.561571
2026-06-01,5.12,5.1599,5.12,5.15,10658.965922
2026-06-02,5.12,5.16,5.12,5.14,6012.9365
2026-06-03,5.1,5.15,5.1,5.13,8674.371989
2026-06-04,5.09,5.14,5.09,5.09,12885.344138
2026-06-05,5.11,5.1292,5.07,5.07,9295.906973
2026-06-08,5.07,5.13,5.01,5.01,47770.908603
2026-06-09,5.07,5.13,5.06,5.09,20208.48557
2026-06-10,5.14,5.16,5.1,5.13,5976.891303
2026-06-11,5.13,5.1599,5.1058,5.15,9301.859
2026-06-12,5.16,5.2729,5.16,5.17,9474.974763
