date,open,high,low,close,volume
2026-02-02,116.28,116.34,111.93,113.59,7639285.0
2026-02-03,113.03,113.25,105.2,108.2,10319591.0
2026-02-04,107.63,107.9,102.285,106.26,10093609.0
2026-02-05,106.55,109.497,106.0,108.57,7897704.0
2026-02-06,110.06,112.145,107.05,108.54,7723509.0
2026-02-09,108.0,110.22,106.81,108.86,6581655.0
2026-02-10,109.89,114.9,108.51,113.33,6155543.0
2026-02-11,116.5,118.09,113.35,114.52,5579414.0
2026-02-12,114.26,114.93,106.5,109.06,6932833.0
2026-02-13,108.79,110.085,105.6,106.74,5137892.0
2026-02-17,107.0,110.77,106.75,108.51,3754477.0
2026-02-18,109.0,113.18,108.48,112.78,4276797.0
2026-02-19,113.34,117.46,113.106,114.6,3227450.0
2026-02-20,113.8,116.53,112.78,115.0,3065817.0
2026-02-23,113.92,115.85,110.99,111.24,3951089.77872
2026-02-24,109.7,109.87,104.51,107.11,7030915.822305
2026-02-25,106.0,106.7,102.54,104.47,6300272.774651
2026-02-26,104.54,111.08,103.54,110.9,6276740.480397
2026-02-27,108.87,110.51,107.7442,108.45,5515022.285607
2026-03-02,105.03,105.728,102.81,105.21,8486479.638408
2026-03-03,80.4,89.63,77.05,87.82,34838423.020589
2026-03-04,88.0,89.2899,86.25,88.26,12027364.980241
2026-03-05,89.43,96.0,89.0809,95.52,11437076.617121
2026-03-06,94.48,95.75,91.0,91.98,7466315.01765
2026-03-09,90.14,90.8,87.58,90.1,6762788.525654
2026-03-10,91.58,91.9787,89.0,89.17,4408195.753527
2026-03-11,88.41,89.95,85.95,87.82,4097618.785186
2026-03-12,86.39,89.0,84.67,85.16,4609835.134247
2026-03-13,85.34,87.5,84.91,86.0,2983665.14163
2026-03-16,87.0,88.96,86.4707,87.57,3732882.56728
2026-03-17,87.22,89.192,86.26,87.59,3682260.320876
2026-03-18,86.47,86.57,84.295,84.47,3270958.554732
2026-03-19,82.2,82.2,79.89,80.98,5359134.284996
2026-03-20,80.76,81.7,78.3212,78.85,6022039.384007
2026-03-23,79.75,81.42,77.762,79.79,4818289.632892
2026-03-24,78.45,79.41,77.27,78.31,3986117.029668
2026-03-25,80.18,82.8,79.94,82.47,3013939.106573
2026-03-26,81.91,83.1,79.73,79.86,2557210.427506
2026-03-27,79.27,79.99,77.8915,78.16,2503454.974321
2026-03-30,78.76,79.62,77.6,78.31,3394607.825194
2026-03-31,80.38,83.31,80.02,82.81,4062028.764419
2026-04-01,84.13,84.855,81.37,82.16,3924201.370834
2026-04-02,79.52,82.56,79.0,82.28,2318178.8064
2026-04-06,82.51,84.42,81.96,82.29,2062643.863503
2026-04-07,82.22,82.53,80.3,81.36,1905804.165408
2026-04-08,89.0,92.77,85.03,85.31,5444299.304291
2026-04-09,85.0,85.55,82.3556,85.46,2639580.746718
2026-04-10,86.76,86.85,84.62,85.92,3378305.686964
2026-04-13,84.55,87.35,83.69,86.41,3162627.317545
2026-04-14,87.0,90.1999,85.35,85.6,4716130.050188
2026-04-15,86.5,91.075,85.89,90.33,4770862.210398
2026-04-16,92.86,93.32,89.81,90.4,3169532.263598
2026-04-17,92.13,93.44,89.47,91.33,3792274.603931
2026-04-20,90.65,90.875,88.605,89.34,4192458.166901
2026-04-21,89.5,89.89,86.61,86.83,3344842.912235
2026-04-22,86.75,87.74,84.25,86.29,7161941.911507
2026-04-23,84.78,84.78,82.04,83.35,3385411.010011
2026-04-24,83.5,85.84,83.0,85.44,3283068.262094
2026-04-27,85.475,86.49,84.47,85.49,2917364.988067
2026-04-28,84.41,86.78,84.41,85.84,3526192.962414
2026-04-29,85.89,86.6,81.88,83.21,3904011.159908
2026-04-30,82.87,85.52,82.322,84.88,2890437.501017
2026-05-01,86.03,86.605,85.32,86.2,2655137.335158
2026-05-04,86.2,87.47,84.37,85.41,2143004.932896
2026-05-05,86.08,86.11,83.51,84.48,2695200.652513
2026-05-06,86.25,90.04,86.2,90.02,3806279.338928
2026-05-07,90.425,91.97,88.545,88.64,4340886.283804
2026-05-08,85.8,87.79,84.68,86.73,4006739.669513
2026-05-11,84.82,85.33,81.84,84.87,11019026.971302
2026-05-12,94.71,98.0965,90.25,96.02,14999652.106271
2026-05-13,98.57,99.973,92.8935,93.52,10087121.453671
2026-05-14,93.1,93.1,87.4,88.33,4864564.207054
2026-05-15,88.2,90.27,87.72,88.23,4228877.266036
2026-05-18,87.18,89.974,86.35,88.29,3588579.74839
2026-05-19,87.35,88.875,86.002,87.28,3233428.056383
2026-05-20,87.0,87.67,84.69,86.55,4488658.060846
2026-05-21,85.35,88.98,84.63,88.96,3119763.669
2026-05-22,89.34,91.79,86.0237,87.27,2715666.165538
2026-05-26,88.45,90.59,87.6,89.02,3368532.687828
2026-05-27,89.1,94.36,88.5,93.46,3589118.515242
2026-05-28,92.0,93.19,90.88,91.94,3551240.08785
2026-05-29,91.0,92.12,88.88,90.53,5717572.023562
2026-06-01,91.99,97.8,91.98,95.25,3915340.314123
2026-06-02,95.25,96.5,92.62,93.14,2779793.993534
2026-06-03,92.65,93.505,88.07,89.46,5241620.492963
2026-06-04,91.0,93.55,90.0,92.09,2521844.864263
2026-06-05,91.2,91.62,85.8,86.56,4358182.914321
2026-06-08,85.1,85.9825,83.56,84.49,2936851.353173
2026-06-09,84.75,85.76,82.23,84.87,3009275.948521
2026-06-10,83.91,84.2,81.32,82.44,4079194.810292
2026-06-11,82.13,85.71,80.8,85.69,2731453.574317
