date,open,high,low,close,volume
2026-02-06,133.43,134.7033,133.43,134.7033,5366.0
2026-02-09,134.12,135.69,134.12,135.4357,5685.0
2026-02-10,135.72,135.83,134.8745,134.8745,3079.0
2026-02-11,135.39,135.5938,135.1361,135.5938,2726.0
2026-02-12,136.6201,136.6201,133.9717,133.9717,6116.0
2026-02-13,134.64,135.36,134.29,134.5999,3772.0
2026-02-17,134.11,134.58,133.27,134.0457,3481.0
2026-02-18,135.37,135.37,134.819,134.9,3627.0
2026-02-19,134.53,134.53,134.4473,134.4473,1697.0
2026-02-20,134.54,134.8509,134.54,134.8509,3208.0
2026-02-23,133.43,133.43,132.67,132.95,2692.76359
2026-02-24,133.25,134.5,133.25,134.4301,3299.677861
2026-02-25,134.9,135.3,134.9,135.2817,3261.205153
2026-02-26,135.12,135.12,134.31,134.97,2343.170858
2026-02-27,133.93,134.4467,133.83,134.4467,2485.438135
2026-03-02,133.75,134.6405,133.7,134.3558,1981.949051
2026-03-03,131.31,133.21,130.67,132.6699,2385.490071
2026-03-04,133.28,134.115,132.85,133.9436,77291.736348
2026-03-05,133.7523,133.7523,132.0854,133.13,3474.912785
2026-03-06,131.33,131.73,131.038,131.038,5208.369521
2026-03-09,129.61,131.82,129.17,131.82,4225.967495
2026-03-10,131.85,132.9386,131.5258,131.5258,2649.340562
2026-03-11,131.84,132.02,131.46,131.6466,2010.654125
2026-03-12,130.52,130.52,129.5678,129.5678,2255.232869
2026-03-13,130.755,130.755,129.3301,129.4185,4263.938171
2026-03-16,130.85,131.46,130.7548,130.8208,3682.280132
2026-03-17,131.57,131.76,131.2488,131.2488,2515.053375
2026-03-18,130.66,130.66,129.6,129.6,1405.84619
2026-03-19,128.14,129.94,128.14,129.7323,3723.981792
2026-03-20,129.51,129.51,127.54,127.8797,2458.463975
2026-03-23,129.74,129.866,128.85,128.85,2851.744693
2026-03-24,128.23,128.896,128.23,128.6542,1708.762031
2026-03-25,129.69,129.72,129.3392,129.3392,2751.187793
2026-03-26,128.32,129.0,127.2754,127.2754,1637.890638
2026-03-27,126.73,126.73,125.57,125.5707,1503.009887
2026-03-30,126.82,126.82,124.4,124.8533,4555.053485
2026-03-31,126.1,127.8093,126.025,127.8093,3919.523334
2026-04-01,128.89,129.5,128.89,128.9701,2203.702876
2026-04-02,127.26,129.363,127.26,129.363,2987.417012
2026-04-06,129.69,130.0191,129.69,130.0191,16333.746033
2026-04-07,129.33,129.8,129.33,129.7862,1689.71731
2026-04-08,133.0,133.16,132.71,133.1401,1789.147249
2026-04-09,132.88,133.6765,132.88,133.6765,1952.397687
2026-04-10,133.1601,133.1601,132.97,132.97,1578.55949
2026-04-13,132.75,134.87,132.75,134.87,1510.000574
2026-04-14,135.18,136.196,135.18,136.196,3254.791297
2026-04-15,136.51,136.81,135.93,136.67,8236.241208
2026-04-16,137.0,138.0,137.0,137.9393,2845.219995
2026-04-17,139.65,139.65,139.272,139.272,1514.868839
2026-04-20,139.48,139.48,139.01,139.18,6671.602858
2026-04-21,139.965,139.965,138.78,138.78,3019.75529
2026-04-22,139.88,140.1121,139.7,140.1121,1485.284467
2026-04-23,139.09,139.5381,139.09,139.5381,1097.145515
2026-04-24,141.49,141.562,141.49,141.562,1573.218111
2026-04-27,141.73,141.73,141.59,141.6195,1978.380094
2026-04-28,140.6,140.6899,140.1899,140.53,3358.25175
2026-04-29,140.98,141.5777,140.975,141.5777,1787.431041
2026-04-30,141.77,143.09,141.66,143.01,6567.664843
2026-05-01,143.3,143.9,143.3,143.7745,3479.564597
2026-05-04,143.78,144.26,143.0672,143.0672,10749.271965
2026-05-05,144.51,145.69,144.51,145.3962,1977.087369
2026-05-06,147.89,149.2902,147.72,149.2902,3211.312595
2026-05-07,149.52,149.52,147.64,147.9574,2109.299792
2026-05-08,149.115,150.7773,149.115,150.7773,1554.004383
2026-05-11,151.58,152.71,151.58,152.2456,3421.09915
2026-05-12,150.72,151.565,149.44,151.3266,4648.493382
2026-05-13,151.195,151.88,151.195,151.4103,2089.338644
2026-05-14,151.2,152.2301,151.2,151.7762,1160.814535
2026-05-15,149.355,149.45,148.7969,148.7969,1434.475696
2026-05-18,148.94,148.94,148.3941,148.3941,1561.288482
2026-05-19,147.9,149.26,147.9,148.09,3700.001624
2026-05-20,148.85,150.68,148.85,150.5136,2300.360724
2026-05-21,149.78,150.88,149.72,150.87,2810.90278
2026-05-22,151.931,152.19,151.8741,151.8741,2143.318081
