date,open,high,low,close,volume
2026-02-02,132.0,136.618,130.48,132.2,12260546.0
2026-02-03,131.295,131.665,117.5,119.29,25738369.0
2026-02-04,116.01,116.4,109.89,114.02,20766164.0
2026-02-05,112.75,115.72,108.7867,111.24,17889728.0
2026-02-06,112.05,115.04,109.78,112.05,14028384.0
2026-02-09,112.665,120.08,110.88,118.4,14092814.0
2026-02-10,122.69,128.8237,122.69,127.24,26855356.0
2026-02-11,138.9,139.1,109.6,118.71,53300384.0
2026-02-12,120.69,121.0,104.92,110.66,36841697.0
2026-02-13,110.21,113.39,107.43,112.7,18849882.0
2026-02-17,112.5,116.63,110.91,113.54,14655621.0
2026-02-18,113.01,124.73,112.49,121.64,18689967.0
2026-02-19,120.13,124.65,119.62,123.8,12465172.0
2026-02-20,122.26,131.01,120.736,126.2,14668878.0
2026-02-23,123.935,124.4,115.88,117.28,12764143.203069
2026-02-24,117.0,120.28,115.7,116.93,11262523.357646
2026-02-25,117.955,123.77,117.6401,120.31,10218223.03019
2026-02-26,121.49,126.0,120.75,125.94,12059646.692885
2026-02-27,123.475,123.925,118.56,120.73,10032830.565267
2026-03-02,115.8,120.24,114.37,119.38,8336953.987092
2026-03-03,114.945,122.03,112.4478,121.87,12717603.271337
2026-03-04,122.245,130.25,121.502,129.65,11458220.927163
2026-03-05,128.425,135.96,128.425,134.79,13184369.839131
2026-03-06,130.71,135.02,128.01,130.2,15748259.446104
2026-03-09,127.87,134.79,127.66,133.5,9328890.441227
2026-03-10,133.175,134.35,128.27,129.36,6998902.529722
2026-03-11,130.55,134.46,126.58,129.52,6186441.233573
2026-03-12,127.8,131.68,125.6712,126.17,5824832.657829
2026-03-13,125.82,128.93,121.23,122.96,7840362.438851
2026-03-16,125.24,127.615,124.54,126.58,4878720.977062
2026-03-17,127.36,132.94,126.9376,127.8,4998387.690492
2026-03-18,126.94,128.66,123.6,123.75,6728805.583068
2026-03-19,122.51,124.59,120.51,122.37,7204371.605608
2026-03-20,121.655,121.86,115.5104,116.78,11955545.641987
2026-03-23,118.59,122.8,118.34,121.1,8785239.723835
2026-03-24,118.25,119.05,114.46,116.15,13321751.268197
2026-03-25,120.02,121.275,115.59,118.42,8161588.053328
2026-03-26,116.25,120.68,115.0,115.43,7715306.098969
2026-03-27,113.51,115.0,110.175,111.85,7732471.014046
2026-03-30,112.35,114.57,110.61,111.77,7551833.69043
2026-03-31,113.505,119.22,111.2,118.62,9999774.447535
2026-04-01,120.71,120.8702,116.18,118.52,6353536.200898
2026-04-02,114.34,119.7,112.025,118.25,7089680.353105
2026-04-06,117.79,121.14,117.1,118.8,4679003.84986
2026-04-07,117.555,117.85,113.59,117.06,5941732.12426
2026-04-08,124.83,126.5,119.57,120.1,7897717.63241
2026-04-09,120.31,120.61,112.0,112.38,10547590.425064
2026-04-10,113.01,113.8999,108.9475,110.79,8974880.882205
2026-04-13,109.45,115.68,109.32,114.97,10507246.508052
2026-04-14,116.97,119.115,115.56,117.64,9094959.112982
2026-04-15,119.1,127.7,118.23,127.41,9309022.324469
2026-04-16,130.15,130.69,125.84,126.94,6792788.015381
2026-04-17,130.14,133.32,129.825,131.15,8838090.074671
2026-04-20,130.05,135.33,129.56,135.14,5696134.760813
2026-04-21,135.215,137.3,130.86,131.13,6996661.070823
2026-04-22,133.39,133.77,131.25,131.96,5804499.185307
2026-04-23,130.0,130.3,121.7301,124.23,7912957.053219
2026-04-24,124.5,126.46,121.66,125.83,8408992.917773
2026-04-27,124.405,126.2282,123.09,124.23,4027805.636785
2026-04-28,123.69,127.31,121.98,122.05,4926942.276269
2026-04-29,121.14,122.0325,119.42,121.26,5145779.18282
2026-04-30,120.79,122.58,118.35,121.13,6792670.29913
2026-05-01,123.62,127.92,123.3907,127.67,7936349.85957
2026-05-04,126.65,129.39,125.1,127.55,11194368.420765
2026-05-05,116.05,118.98,105.6,107.63,39762988.412598
2026-05-06,108.61,109.63,104.27,105.44,24641082.672045
2026-05-07,106.74,111.91,106.7,111.74,22724846.532418
2026-05-08,110.44,110.84,107.35,110.41,14507574.04691
2026-05-11,107.35,108.42,102.38,102.54,18802616.638044
2026-05-12,102.39,103.19,98.565,99.84,14215698.095316
2026-05-13,98.715,98.83,94.56,95.4,20772083.504067
2026-05-14,95.4,97.96,94.0,97.42,16595404.331735
2026-05-15,97.5,101.4499,96.0,100.28,15858556.057974
2026-05-18,99.2,103.33,98.7,102.39,9972948.55509
2026-05-19,102.97,104.9,100.72,101.01,11719184.902581
2026-05-20,100.19,105.12,99.231,105.01,8178770.993498
2026-05-21,103.24,106.42,101.655,104.86,6949142.901754
2026-05-22,105.81,107.85,102.98,103.0,10563550.453658
2026-05-26,103.23,105.1,102.32,104.9,7990494.185158
2026-05-27,103.98,109.1,103.825,106.6,8343826.224834
2026-05-28,107.185,115.25,106.96,115.03,14633285.791421
2026-05-29,116.382,119.84,113.45,118.71,12091770.758351
2026-06-01,120.25,124.625,119.055,124.12,10720423.95405
2026-06-02,120.455,121.53,115.535,117.01,9304059.671122
2026-06-03,114.61,115.26,112.5,112.94,7572583.698028
2026-06-04,115.875,117.77,114.3346,116.04,7143433.4452
2026-06-05,114.5,115.9,108.29,109.54,8104559.157704
