date,open,high,low,close,volume
2026-02-02,31.62,32.71,30.755,31.52,15098219.0
2026-02-03,34.0,34.0,32.44,33.73,15390859.0
2026-02-04,34.88,34.885,31.905,33.47,15156625.0
2026-02-05,31.23,32.615,30.51,30.56,15275919.0
2026-02-06,31.51,32.77,31.44,32.77,10012469.0
2026-02-09,33.36,34.84,33.21,34.71,10060176.0
2026-02-10,34.45,34.9163,34.19,34.38,8596194.0
2026-02-11,35.63,35.81,33.845,35.19,9680951.0
2026-02-12,34.93,34.95,31.943,32.02,15589293.0
2026-02-13,32.715,34.0368,32.485,33.79,11282494.0
2026-02-17,32.31,32.59,30.99,32.23,9098748.0
2026-02-18,33.2,33.935,32.82,33.43,7203899.0
2026-02-19,33.19,34.65,33.03,34.58,8121120.0
2026-02-20,34.62,36.225,34.1,36.14,10333904.0
2026-02-23,36.65,37.45,36.33,36.75,10802822.842755
2026-02-24,35.83,37.96,35.6,37.64,8857733.776218
2026-02-25,38.5,38.75,37.88,37.98,7225991.075358
2026-02-26,37.29,39.45,36.96,39.42,7352337.890515
2026-02-27,39.89,40.3,39.14,40.3,8012485.925557
2026-03-02,40.0,40.09,38.3,39.95,9176651.155925
2026-03-03,36.55,36.56,34.6155,36.07,11389210.336042
2026-03-04,37.13,37.17,35.8403,36.51,4518784.319072
2026-03-05,35.58,35.66,33.61,34.42,9324529.405531
2026-03-06,33.53,34.6481,33.02,34.02,5777576.407117
2026-03-09,32.92,34.51,31.88,34.44,5836090.287138
2026-03-10,35.14,36.32,35.03,35.41,5533401.422996
2026-03-11,34.805,34.805,33.445,34.35,5572013.48525
2026-03-12,34.19,34.42,32.87,33.37,4158677.604735
2026-03-13,33.0,33.185,31.265,31.45,8691794.949874
2026-03-16,31.5,32.33,30.78,31.76,7560967.601775
2026-03-17,31.85,32.49,31.22,31.53,4759330.066834
2026-03-18,30.17,30.34,29.16,29.26,8377621.347552
2026-03-19,26.95,27.68,26.08,27.41,21282358.105751
2026-03-20,27.46,27.5,25.805,26.31,10755902.825755
2026-03-23,26.59,28.115,26.48,27.48,9387762.915235
2026-03-24,27.04,28.08,26.76,27.91,5688428.905976
2026-03-25,29.48,29.49,28.31,28.57,6089124.79823
2026-03-26,27.14,28.12,26.65,26.69,6795968.611474
2026-03-27,26.66,28.33,26.53,27.85,6896522.663963
2026-03-30,28.58,28.63,26.85,27.31,5820937.632961
2026-03-31,28.0,29.745,27.87,29.72,8302499.929749
2026-04-01,30.68,31.63,30.12,30.81,6608863.175653
2026-04-02,28.79,30.95,28.73,30.61,5210626.149629
2026-04-06,30.5,30.825,30.08,30.43,2739020.837732
2026-04-07,30.21,30.64,29.41,30.6,3200627.915115
2026-04-08,32.985,33.1,30.87,31.37,4793791.134296
2026-04-09,31.33,32.08,30.64,31.4,2188982.155386
2026-04-10,31.68,32.1051,31.22,31.41,2770413.899942
2026-04-13,30.94,31.7997,30.77,31.64,2535376.596104
2026-04-14,32.42,32.88,32.19,32.67,3792883.89093
2026-04-15,32.31,32.75,31.735,31.89,4709178.623289
2026-04-16,32.12,32.48,31.76,31.87,2082498.827705
2026-04-17,33.02,34.0801,32.94,33.0,4949679.698007
2026-04-20,32.48,32.8087,32.112,32.69,2591362.260503
2026-04-21,32.29,32.48,30.53,30.55,5801303.052717
2026-04-22,31.5,31.8799,31.03,31.52,2044648.53613
2026-04-23,30.985,31.38,29.72,30.66,3547148.175924
2026-04-24,30.81,31.11,30.35,30.9,3233214.465998
2026-04-27,30.67,30.78,30.24,30.63,2605069.305392
2026-04-28,29.75,30.0,29.0101,29.19,4201483.542258
2026-04-29,28.8,28.84,28.23,28.35,3743082.543047
2026-04-30,29.4,29.75,28.86,29.32,2985859.730604
2026-05-01,29.16,29.99,29.02,29.44,3901055.079821
2026-05-04,28.93,29.46,28.67,28.76,3615848.092159
2026-05-05,29.32,29.415,28.48,28.5,3219166.259074
2026-05-06,30.31,31.31,30.31,31.04,7573802.69541
2026-05-07,32.18,33.09,30.86,30.88,9209200.501034
2026-05-08,31.75,32.32,31.135,31.75,4229015.348129
2026-05-11,32.6,33.855,32.56,33.78,8183694.532076
2026-05-12,33.0,34.3299,32.09,34.18,6713884.128237
2026-05-13,34.07,34.73,33.18,34.27,6181834.703279
2026-05-14,34.02,34.05,32.74,32.91,5310106.758156
2026-05-15,31.11,31.135,29.855,30.19,7117356.928068
2026-05-18,30.57,30.7,29.3,29.58,5442333.190917
2026-05-19,28.98,28.98,27.93,28.17,5723251.208096
2026-05-20,28.64,29.45,28.18,29.35,4950712.730679
2026-05-21,28.68,29.84,28.53,29.2,3675005.315421
2026-05-22,29.3,29.3,28.485,28.83,4075478.66889
2026-05-26,29.48,30.075,29.44,30.03,4321582.431901
2026-05-27,29.3,29.74,29.16,29.27,3102617.689129
2026-05-28,29.05,30.62,28.61,30.28,5136395.731351
2026-05-29,30.375,31.32,29.97,30.91,3962140.157399
2026-06-01,30.21,30.935,29.39,30.5,3953567.787315
2026-06-02,30.875,31.24,30.33,31.13,3641027.460454
2026-06-03,30.56,30.63,29.43,29.5,3438720.056558
2026-06-04,29.97,30.29,29.43,29.62,3437423.011003
2026-06-05,28.73,28.9684,26.24,26.36,9277767.202725
2026-06-08,26.8,26.96,26.1701,26.34,4137639.05063
2026-06-09,26.76,26.91,24.7,25.68,7073229.149283
2026-06-10,24.86,25.53,24.49,24.52,6026773.868524
2026-06-11,24.74,26.34,24.54,26.33,6066341.735099
