date,open,high,low,close,volume
2026-02-02,27.29,27.91,27.15,27.91,2134827.0
2026-02-03,28.595,29.2,28.46,28.67,2403884.0
2026-02-04,29.6,30.094,29.17,29.65,1922859.0
2026-02-05,29.06,30.29,28.6,30.11,2562107.0
2026-02-06,27.4,28.51,27.28,28.42,3132069.0
2026-02-09,28.4,28.79,28.12,28.6,1431066.0
2026-02-10,28.44,29.1,28.27,28.99,1749938.0
2026-02-11,29.18,29.64,29.12,29.6,1464065.0
2026-02-12,30.35,30.91,29.8,30.78,3215473.0
2026-02-13,32.09,33.45,31.62,32.56,3515658.0
2026-02-17,33.64,33.705,32.4,33.43,2549871.0
2026-02-18,33.56,33.63,31.81,31.85,2678699.0
2026-02-19,31.48,32.225,31.48,31.79,1332922.0
2026-02-20,31.59,31.595,30.82,31.17,1432469.0
2026-02-23,31.23,31.2474,30.335,30.48,1637427.530228
2026-02-24,30.99,31.47,30.85,31.43,1519005.725456
2026-02-25,31.62,31.78,31.395,31.53,1084774.326363
2026-02-26,31.6,31.86,30.77,30.95,1161400.466488
2026-02-27,30.5,30.795,29.79,30.34,2011442.552344
2026-03-02,30.54,30.6445,29.8,30.2,1310293.761166
2026-03-03,28.86,29.3898,28.21,29.28,2046356.455009
2026-03-04,29.39,31.65,29.16,31.5,5788683.502229
2026-03-05,29.6,30.45,29.05,29.45,3603847.823831
2026-03-06,28.78,29.02,28.11,28.71,2498985.116252
2026-03-09,28.57,29.79,28.105,29.69,1382867.463169
2026-03-10,29.59,30.19,29.29,29.84,1483359.819048
2026-03-11,29.86,29.87,28.985,29.06,1004760.891042
2026-03-12,28.69,28.69,27.91,28.23,1081801.888241
2026-03-13,28.68,28.68,27.99,28.07,706045.737181
2026-03-16,28.7,29.46,28.555,29.14,872398.214703
2026-03-17,29.87,30.17,29.57,29.77,1169013.792151
2026-03-18,29.66,29.84,29.26,29.3,1039065.549832
2026-03-19,28.9,29.2,28.55,29.13,996360.742641
2026-03-20,28.99,29.15,28.29,28.44,856807.48442
2026-03-23,28.65,28.99,28.4,28.88,790607.480909
2026-03-24,29.09,31.385,29.08,30.85,2454160.481998
2026-03-25,30.35,30.87,30.0,30.38,1608607.618796
2026-03-26,29.7,29.92,29.17,29.2,1068472.82061
2026-03-27,29.64,30.325,29.51,29.92,1493941.188745
2026-03-30,29.22,29.45,28.49,28.61,1212929.033163
2026-03-31,28.35,29.31,28.21,29.29,1215202.658209
2026-04-01,29.3,29.673,29.25,29.39,1001542.794056
2026-04-02,28.7,29.66,28.5,29.58,1084449.542505
2026-04-06,30.06,30.38,29.69,30.22,690871.524658
2026-04-07,30.65,32.34,30.61,32.14,2438775.492833
2026-04-08,34.01,35.2421,33.805,34.4,2863430.805735
2026-04-09,35.29,36.165,34.82,35.61,2028959.660763
2026-04-10,36.05,36.77,35.21,36.41,1918691.895581
2026-04-13,34.96,36.28,34.92,36.1,2135983.534089
2026-04-14,36.42,36.8,35.64,36.61,1541132.59553
2026-04-15,37.22,37.57,36.26,36.35,1928281.171297
2026-04-16,36.35,37.57,36.1201,37.28,1894407.058158
2026-04-17,37.26,38.18,36.91,37.84,1594855.168081
2026-04-20,36.99,40.155,36.96,38.11,3582927.837182
2026-04-21,38.9,40.49,38.43,38.62,2459930.694001
2026-04-22,38.26,39.32,38.182,38.82,2143851.849193
2026-04-23,37.8,38.7,37.31,37.96,2628095.604892
2026-04-24,37.75,38.2994,36.5867,38.04,2481911.230169
2026-04-27,37.53,38.0772,37.0,37.28,2619368.157446
2026-04-28,36.79,36.97,36.135,36.77,1661289.316467
2026-04-29,36.36,36.54,35.86,36.37,1591980.63402
2026-04-30,36.3,37.63,35.84,37.41,2171074.733839
2026-05-01,37.97,38.15,36.89,37.0,1219601.779345
2026-05-04,36.93,37.41,36.39,36.48,1545018.745217
2026-05-05,36.74,37.94,36.685,37.8,1354985.666609
2026-05-06,37.4,37.505,36.37,36.88,1664398.693642
2026-05-07,36.84,37.66,35.9,36.3,1985608.088323
2026-05-08,36.26,38.0,35.87,37.87,2549926.08314
2026-05-11,38.39,39.34,38.09,39.1,3209155.714875
2026-05-12,38.71,39.97,37.942,39.07,2970227.858439
2026-05-13,39.5,39.963,39.07,39.63,1812889.774913
2026-05-14,39.0,39.59,38.15,38.68,2849270.140416
2026-05-15,37.3,39.26,36.87,38.26,2625331.895441
2026-05-18,38.09,38.35,36.36,37.01,1996536.046226
2026-05-19,36.0,37.75,35.62,37.14,2505573.787698
2026-05-20,37.12,38.52,36.6451,37.96,2231670.551589
2026-05-21,37.92,39.53,37.78,39.08,1718368.279383
2026-05-22,38.3,38.51,37.65,37.76,1780863.302662
2026-05-26,38.175,38.96,38.055,38.64,3970615.757551
2026-05-27,37.54,37.8326,36.17,36.7,3856074.165294
2026-05-28,36.5,37.55,35.67,36.8,2760795.237274
2026-05-29,37.54,38.08,36.96,37.34,2263127.115715
2026-06-01,40.6,44.7896,39.49,44.43,7801471.216303
2026-06-02,44.71,47.1794,44.44,46.0,3827295.366358
2026-06-03,45.53,45.83,44.79,45.04,2316608.343146
2026-06-04,40.245,41.5,39.24,41.01,5582375.70422
2026-06-05,38.62,38.99,37.21,37.44,3439236.529413
