date,open,high,low,close,volume
2026-02-02,25.69,25.7,25.65,25.65,493685.0
2026-02-03,25.64,25.7,25.64,25.67,601243.0
2026-02-04,25.65,25.68,25.63,25.64,757274.0
2026-02-05,25.68,25.7399,25.6738,25.73,457396.0
2026-02-06,25.72,25.75,25.72,25.7467,448515.0
2026-02-09,25.73,25.77,25.7213,25.75,576350.0
2026-02-10,25.82,25.85,25.81,25.83,709514.0
2026-02-11,25.79,25.82,25.77,25.78,622911.0
2026-02-12,25.81,25.915,25.81,25.9,640046.0
2026-02-13,25.95,25.99,25.95,25.98,348804.0
2026-02-17,25.96,25.977,25.93,25.93,559661.0
2026-02-18,25.92,25.94,25.905,25.92,511966.0
2026-02-19,25.9,25.94,25.89,25.94,548691.0
2026-02-20,25.92,25.96,25.905,25.955,600962.0
2026-02-23,25.96,26.0266,25.9535,26.01,801227.4762
2026-02-24,26.0,26.03,25.98,26.0,463864.4112
2026-02-25,25.98,26.01,25.97,25.97,646755.6942
2026-02-26,25.99,26.0599,25.985,26.03,600569.186819
2026-02-27,26.08,26.12,26.075,26.09,651164.6132
2026-03-02,25.91,25.91,25.86,25.875,601747.7885
2026-03-03,25.78,25.87,25.78,25.845,508654.9417
2026-03-04,25.85,25.85,25.81,25.81,441595.667579
2026-03-05,25.76,25.78,25.7394,25.78,376014.3259
2026-03-06,25.71,25.8,25.685,25.73,929901.256604
2026-03-09,25.71,25.83,25.71,25.82,1060049.3446
2026-03-10,25.82,25.84,25.765,25.78,571504.911372
2026-03-11,25.73,25.74,25.67,25.67,552872.5479
2026-03-12,25.62,25.66,25.55,25.58,487143.0479
2026-03-13,25.6,25.625,25.5401,25.56,487415.2969
2026-03-16,25.67,25.6877,25.635,25.68,578290.097605
2026-03-17,25.7,25.735,25.7,25.705,367999.0149
2026-03-18,25.68,25.6801,25.585,25.59,529462.7611
2026-03-19,25.53,25.6485,25.53,25.59,1236237.8117
2026-03-20,25.52,25.53,25.37,25.38,723425.4227
2026-03-23,25.45,25.54,25.41,25.47,1101105.787275
2026-03-24,25.38,25.46,25.35,25.4,698049.758
2026-03-25,25.49,25.54,25.465,25.54,726664.2066
2026-03-26,25.42,25.47,25.3217,25.325,987020.4745
2026-03-27,25.29,25.39,25.29,25.36,648617.8838
2026-03-30,25.49,25.56,25.48,25.5,970259.549651
2026-03-31,25.56,25.61,25.5398,25.55,739489.584957
2026-04-01,25.46,25.53,25.46,25.475,544317.697662
2026-04-02,25.44,25.55,25.44,25.53,473415.2485
2026-04-06,25.48,25.525,25.47,25.47,718900.451754
2026-04-07,25.49,25.535,25.4199,25.51,824510.394988
2026-04-08,25.63,25.64,25.58,25.59,660056.1638
2026-04-09,25.57,25.66,25.525,25.61,475616.2037
2026-04-10,25.6,25.61,25.555,25.58,651484.9997
2026-04-13,25.58,25.65,25.55,25.64,701234.281213
2026-04-14,25.62,25.71,25.6,25.71,731013.1047
2026-04-15,25.65,25.68,25.62,25.67,846133.1843
2026-04-16,25.7,25.71,25.6301,25.67,541940.7553
2026-04-17,25.74,25.77,25.71,25.71,597538.2944
2026-04-20,25.72,25.72,25.665,25.7,635562.837439
2026-04-21,25.67,25.67,25.595,25.6,701223.3851
2026-04-22,25.68,25.68,25.63,25.63,394945.570921
2026-04-23,25.63,25.66,25.57,25.6,544375.0147
2026-04-24,25.58,25.6499,25.565,25.62,443853.5797
2026-04-27,25.62,25.655,25.61,25.63,578630.97254
2026-04-28,25.62,25.635,25.595,25.625,552597.6467
2026-04-29,25.54,25.54,25.465,25.4846,536152.2339
2026-04-30,25.53,25.55,25.5,25.53,637628.0119
2026-05-01,25.42,25.49,25.405,25.44,1521373.074043
2026-05-04,25.42,25.435,25.3101,25.34,785380.273061
2026-05-05,25.38,25.4101,25.365,25.38,1030978.167454
2026-05-06,25.46,25.5189,25.46,25.5,2298585.8784
2026-05-07,25.54,25.55,25.44,25.46,789096.571229
2026-05-08,25.54,25.5565,25.51,25.55,817061.625078
2026-05-11,25.51,25.5114,25.47,25.477,1139338.771071
2026-05-12,25.36,25.6,25.3,25.345,9666876.2262
2026-05-13,25.32,25.38,25.3,25.363,789909.1772
2026-05-14,25.46,25.47,25.34,25.35,944492.574
2026-05-15,25.22,25.2201,25.15,25.17,873714.728096
2026-05-18,25.19,25.1955,25.0838,25.135,469114.88296
2026-05-19,25.03,25.085,25.0,25.04,1331866.2597
2026-05-20,25.04,25.225,25.04,25.22,447805.960922
2026-05-21,25.12,25.255,25.0901,25.24,349833.9129
2026-05-22,25.28,25.29,25.19,25.27,412012.223
2026-05-26,25.35,25.3801,25.325,25.37,772586.667823
2026-05-27,25.43,25.43,25.365,25.375,955355.734987
2026-05-28,25.36,25.455,25.35,25.445,838489.731357
2026-05-29,25.5,25.51,25.445,25.48,807391.2621
2026-06-01,25.27,25.345,25.24,25.345,619963.960788
2026-06-02,25.34,25.38,25.32,25.375,516525.7466
2026-06-03,25.31,25.335,25.285,25.315,325053.7018
2026-06-04,25.32,25.36,25.315,25.32,375903.1533
2026-06-05,25.26,25.26,25.1801,25.2,518299.3125
2026-06-08,25.24,25.27,25.19,25.2,614364.456043
2026-06-09,25.27,25.2951,25.235,25.28,513813.9791
2026-06-10,25.26,25.29,25.2312,25.26,422981.971173
2026-06-11,25.25,25.4,25.25,25.4,862874.1994
2026-06-12,25.38,25.39,25.325,25.365,656077.8308
