date,open,high,low,close,volume
2026-02-02,398.86,412.04,398.43,407.97,5946327.0
2026-02-03,411.03,412.58,390.52,397.68,12188626.0
2026-02-04,394.67,396.7106,374.24,382.02,16908468.0
2026-02-05,379.14,388.08,375.5609,381.07,12007770.0
2026-02-06,389.2,403.08,387.19,401.65,13460264.0
2026-02-09,398.91,409.69,397.0,406.65,5915243.0
2026-02-10,408.18,408.8,401.83,404.76,5645261.0
2026-02-11,413.835,418.08,406.36,414.78,6211177.0
2026-02-12,418.33,420.0392,405.28,406.11,7379088.0
2026-02-13,408.15,412.07,402.49,407.72,6481565.0
2026-02-17,402.705,410.87,397.77,407.51,7312702.0
2026-02-18,411.44,417.04,408.715,412.55,5839869.0
2026-02-19,408.71,411.0,405.56,410.2,4056441.0
2026-02-20,407.655,416.83,407.18,415.03,5715805.0
2026-02-23,413.57,417.6999,409.275,412.88,5842756.176391
2026-02-24,417.215,421.67,411.67,419.16,7828860.620371
2026-02-25,424.345,427.94,423.68,426.16,7714452.784194
2026-02-26,423.72,423.72,405.56,412.01,14811315.674297
2026-02-27,403.26,409.24,401.88,406.37,9049053.29709
2026-03-02,397.25,407.36,396.92,406.39,11490174.856639
2026-03-03,391.36,394.54,385.93,391.06,13768923.976414
2026-03-04,396.25,401.23,393.1,399.1,8767199.476573
2026-03-05,396.06,401.11,386.75,395.35,11793743.393257
2026-03-06,384.97,392.67,378.53,380.56,12423222.271534
2026-03-09,375.76,395.36,374.1601,394.37,16338100.935181
2026-03-10,394.0,403.88,394.0,397.33,13687716.424557
2026-03-11,400.01,404.39,398.69,401.03,6024928.414688
2026-03-12,395.46,396.06,386.74,388.13,9845227.865348
2026-03-13,392.32,396.33,386.07,387.33,7636079.212076
2026-03-16,395.14,399.48,392.64,393.92,10317560.715541
2026-03-17,397.155,397.61,393.22,396.88,6646252.341221
2026-03-18,396.96,399.69,393.47,393.67,8372417.793521
2026-03-19,384.0,397.53,381.44,394.92,12674826.50211
2026-03-20,394.11,395.73,380.87,384.74,12846845.118148
2026-03-23,393.36,399.28,389.44,391.36,12742293.779011
2026-03-24,388.03,396.88,387.62,394.59,6177166.947745
2026-03-25,398.355,402.5,395.74,399.02,7388665.990405
2026-03-26,391.92,392.68,380.3,380.84,14806234.340774
2026-03-27,377.79,381.309,373.01,374.25,11811407.905813
2026-03-30,377.615,379.24,359.862,362.53,12198183.227875
2026-03-31,368.735,383.5,368.1,383.4,13834948.967604
2026-04-01,388.255,396.63,386.38,391.97,10805350.387336
2026-04-02,378.07,393.5,378.0009,392.32,8505833.25121
2026-04-06,393.745,397.1,391.9,395.98,4186120.516731
2026-04-07,394.71,400.09,389.64,399.9,6672538.836464
2026-04-08,423.16,424.99,414.99,422.92,10184264.154958
2026-04-09,423.17,430.65,422.63,430.31,6018201.898354
2026-04-10,434.45,441.54,434.45,436.88,11224186.647305
2026-04-13,434.745,443.64,433.6,443.34,6549794.848124
2026-04-14,448.0,452.095,444.24,452.0,6932448.047049
2026-04-15,450.7,453.33,435.15,453.0,9155668.047177
2026-04-16,450.725,457.09,447.7702,454.8,6450664.58393
2026-04-17,462.8,464.58,459.5,464.16,7184643.821643
2026-04-20,464.64,465.74,458.65,463.96,3935098.250851
2026-04-21,466.285,468.4262,462.24,464.66,5598577.185486
2026-04-22,471.05,477.42,467.17,476.83,7835173.600021
2026-04-23,480.395,488.08,475.1901,481.85,10619719.850342
2026-04-24,499.505,509.59,495.46,506.44,12614318.103381
2026-04-27,509.19,510.1,497.745,506.26,9040153.04075
2026-04-28,488.185,496.66,483.29,491.21,12664811.49229
2026-04-29,496.345,499.58,492.34,499.58,6007909.593759
2026-04-30,504.705,507.7899,495.02,506.72,8401642.10952
2026-05-01,504.205,511.99,502.25,509.82,5308292.308831
2026-05-04,512.47,513.15,501.15,506.79,6867462.127456
2026-05-05,515.38,526.2,514.12,522.69,8624608.673867
2026-05-06,537.77,549.88,532.35,549.76,15262913.44052
2026-05-07,545.765,549.7032,535.92,540.1,10905154.31338
2026-05-08,551.58,566.79,549.0,566.54,8553714.557803
2026-05-11,570.26,578.0598,566.8,576.31,12680940.400387
2026-05-12,565.005,570.4,542.67,561.25,17720787.892471
2026-05-13,571.795,576.2,560.12,572.46,9586693.253762
2026-05-14,570.84,581.1699,567.75,578.34,8458691.09255
2026-05-15,560.305,565.88,552.9101,556.34,13009610.835131
2026-05-18,565.475,567.21,536.87,546.16,12317457.140366
2026-05-19,534.94,553.339,527.87,543.96,11905827.030537
2026-05-20,552.75,564.72,551.65,564.66,8892210.11613
2026-05-21,561.02,570.6,557.62,567.88,8293803.196192
2026-05-22,574.27,582.5,572.86,576.32,7535020.132417
2026-05-26,591.58,603.97,589.1,602.14,10008514.34147
2026-05-27,611.94,612.3,584.93,595.5,11208990.527077
2026-05-28,595.81,604.74,587.31,599.83,7624970.634691
2026-05-29,606.03,611.7886,597.12,598.93,7603183.982592
2026-06-01,596.095,613.4299,593.09,607.81,8648978.799089
2026-06-02,619.6,632.57,614.465,632.21,8083502.672876
2026-06-03,640.8,642.77,623.91,637.9,10179872.988944
2026-06-04,613.0,634.78,604.61,627.53,10462936.334374
2026-06-05,605.09,607.0,569.69,569.69,22038001.581638
2026-06-08,597.21,606.2,588.54,598.16,13823901.98031
2026-06-09,609.475,613.69,554.66,591.01,20329715.651812
2026-06-10,580.755,598.73,568.29,570.91,12711368.829824
2026-06-11,582.605,611.62,581.61,609.45,12196801.558412
