date,open,high,low,close,volume
2026-02-23,659.59,691.54,644.38,666.49,18569371.05639
2026-02-24,682.5,684.0899,612.92,638.52,30408252.065174
2026-02-25,644.3,661.2,624.43,632.38,18561484.157026
2026-02-26,645.74,659.86,607.0,651.9,23672739.911594
2026-02-27,627.08,661.2,621.27,635.36,18208162.634264
2026-03-02,618.645,648.8,597.6001,619.08,17519881.756191
2026-03-03,581.64,593.16,557.09,565.41,20533530.728173
2026-03-04,586.84,607.48,576.3,599.06,15614282.461658
2026-03-05,594.385,603.53,559.1,565.59,15433609.894313
2026-03-06,548.25,570.9,526.63,527.33,16108857.178574
2026-03-09,517.0,589.51,517.0,588.73,21205539.011625
2026-03-10,599.23,636.58,595.56,618.89,18133169.424437
2026-03-11,625.95,655.68,618.8,655.43,15815807.532015
2026-03-12,647.0,651.9899,612.21,618.82,17284061.998602
2026-03-13,630.75,671.67,623.06,661.62,18806850.445378
2026-03-16,687.52,719.9999,687.43,703.63,19406334.744758
2026-03-17,716.0,721.37,695.1201,720.17,14782129.169593
2026-03-18,730.015,761.52,715.5,753.69,20663115.145342
2026-03-19,707.15,776.0,692.0,772.09,21266423.639599
2026-03-20,772.7,777.6,698.35,709.71,23508599.82985
2026-03-23,716.0,748.78,678.84,702.49,22925063.025764
2026-03-24,693.69,711.2999,680.1901,702.48,14673142.685713
2026-03-25,651.0,687.22,638.0,677.86,20618701.525347
2026-03-26,654.0,659.6599,602.03,603.17,19023849.521834
2026-03-27,599.75,638.52,599.37,615.83,16684214.990608
2026-03-30,642.12,651.0,558.5825,572.5,20501224.35443
2026-03-31,588.01,636.3199,578.42,635.34,20685041.459222
2026-04-01,652.29,710.85,645.1,692.73,22322742.986768
2026-04-02,642.09,707.3099,641.0,701.59,17443941.49156
2026-04-06,720.34,736.0,711.0,724.63,12773714.696154
2026-04-07,715.7,738.0064,687.6789,710.8,14406486.72837
2026-04-08,784.0,807.9876,758.19,780.9,16898938.525777
2026-04-09,817.08,855.0,805.0,851.57,17233648.877273
2026-04-10,873.95,873.95,835.275,851.77,13343836.968375
2026-04-13,867.085,953.4099,866.95,952.5,20234377.832298
2026-04-14,964.02,965.0,902.0001,944.46,19821454.240463
2026-04-15,929.865,937.9899,873.93,891.72,16269630.565327
2026-04-16,896.62,929.5,892.5101,919.47,13851905.657936
2026-04-17,920.84,930.5,886.0001,920.99,25655697.518898
2026-04-20,930.97,951.47,900.37,913.02,11303467.997332
2026-04-21,927.85,938.78,899.2,903.49,10245937.768965
2026-04-22,922.01,981.0611,895.74,979.07,15497424.505703
2026-04-23,948.545,978.8799,926.1101,932.43,12272644.16425
2026-04-24,954.56,1002.09,947.0001,989.9,11642757.528722
2026-04-27,1019.645,1070.66,1008.88,1070.2,13005041.979676
2026-04-28,1027.6,1054.22,980.28,1002.35,14119005.040979
2026-04-29,1070.6,1102.9999,1060.0,1064.21,11350221.385154
2026-04-30,1112.43,1115.0,1076.05,1096.51,15088250.949235
2026-05-01,1059.02,1189.24,1048.0,1187.0,23126847.48201
2026-05-04,1222.18,1275.11,1205.0,1255.86,17852999.337792
2026-05-05,1289.01,1418.88,1286.1301,1406.32,20668210.292729
2026-05-06,1437.4,1439.6999,1337.56,1409.98,21114063.150619
2026-05-07,1379.42,1400.99,1292.5739,1339.96,16243342.531158
2026-05-08,1394.37,1564.0,1391.12,1562.34,20567636.814673
2026-05-11,1586.25,1600.0,1514.47,1547.56,16516790.146521
2026-05-12,1492.0,1508.3199,1367.0,1452.02,17138470.820562
2026-05-13,1512.485,1513.57,1404.86,1447.23,11618715.763779
2026-05-14,1394.4,1453.77,1362.0,1382.72,11213627.047136
2026-05-15,1321.0,1426.378,1315.75,1407.61,14011265.310096
2026-05-18,1431.67,1440.0,1277.33,1333.01,13904363.123777
2026-05-19,1289.75,1392.8599,1278.11,1383.29,13309307.129534
2026-05-20,1437.98,1444.0,1366.98,1392.56,9141192.429407
2026-05-21,1377.47,1546.09,1377.47,1542.24,13746093.197469
2026-05-22,1520.715,1528.0,1473.5201,1478.69,9657059.117012
2026-05-26,1535.21,1641.74,1520.0,1589.55,12919730.42954
2026-05-27,1645.99,1658.7699,1528.28,1589.94,10394169.543901
2026-05-28,1596.31,1697.9599,1560.18,1641.64,10004125.961388
2026-05-29,1682.0,1708.8255,1641.08,1694.98,8751130.593125
2026-06-01,1731.15,1804.0,1686.16,1761.43,9681730.459003
2026-06-02,1750.06,1772.4,1708.8,1716.36,7093274.271965
2026-06-03,1736.0,1861.0,1708.88,1831.5,11884667.37692
2026-06-04,1741.31,1825.9,1725.08,1759.68,10518493.323044
2026-06-05,1678.88,1681.9999,1514.36,1559.32,13288987.275006
2026-06-08,1634.0,1694.9875,1602.0,1642.0,8189299.13599
2026-06-09,1700.5,1802.9999,1536.0001,1646.54,16221628.54402
2026-06-10,1624.38,1764.6499,1590.0,1643.23,10362017.741937
2026-06-11,1672.26,1895.0,1665.0,1881.51,13759421.201908
2026-06-12,1890.98,2021.65,1865.11,1980.1,11964511.277822
2026-06-15,2101.12,2119.9,2021.11,2107.86,9156389.191254
2026-06-16,2134.2,2167.33,1980.18,1991.55,9588497.337114
2026-06-17,2074.59,2074.59,1938.0,1958.8,9182544.002882
2026-06-18,2044.745,2191.69,2029.0,2184.75,12178323.984274
2026-06-22,2293.315,2354.3899,2251.2849,2273.73,9977599.444737
