date,open,high,low,close,volume
2026-02-02,22.085,22.2599,22.0,22.12,7134233.0
2026-02-03,22.36,22.37,21.835,21.93,7780312.0
2026-02-04,21.61,22.125,21.52,21.91,12618479.0
2026-02-05,21.47,21.59,21.175,21.24,9906441.0
2026-02-06,22.835,22.84,21.9201,22.26,14121266.0
2026-02-09,22.13,22.345,21.99,22.33,5848813.0
2026-02-10,23.03,23.215,22.8,22.83,6384559.0
2026-02-11,23.06,23.15,22.675,22.95,5118108.0
2026-02-12,23.36,23.47,22.645,22.87,7982567.0
2026-02-13,23.35,23.375,23.105,23.19,6888141.0
2026-02-17,22.71,22.89,22.585,22.82,4929006.0
2026-02-18,22.595,22.68,22.49,22.5,4946036.0
2026-02-19,22.13,22.29,22.062,22.25,4366356.0
2026-02-20,21.59,21.94,21.52,21.93,5430477.0
2026-02-23,21.8,21.95,21.58,21.67,4776011.320707
2026-02-24,21.33,21.62,21.23,21.6,5321017.592342
2026-02-25,21.25,21.46,21.25,21.41,5031826.950425
2026-02-26,22.13,22.65,22.12,22.59,7239341.534429
2026-02-27,23.04,23.15,22.84,23.06,6082383.43014
2026-03-02,22.43,22.79,22.3001,22.69,7155193.555361
2026-03-03,20.97,21.645,20.8701,21.58,12244739.180622
2026-03-04,22.05,22.24,21.84,21.99,6244848.339547
2026-03-05,21.56,21.645,21.195,21.37,7900538.687632
2026-03-06,21.4,21.6253,21.34,21.48,3956052.896744
2026-03-09,21.11,21.68,20.995,21.62,6449937.451197
2026-03-10,21.69,21.98,21.56,21.68,6905983.199213
2026-03-11,21.64,21.665,21.385,21.49,4802066.563895
2026-03-12,21.69,21.73,21.44,21.46,5821105.470598
2026-03-13,21.67,21.77,21.455,21.49,4178148.730253
2026-03-16,21.475,21.73,21.4,21.65,4147059.487671
2026-03-17,21.2,21.325,20.885,20.92,5743261.414485
2026-03-18,20.465,20.695,20.32,20.38,5195055.827033
2026-03-19,20.3,20.715,20.26,20.62,4789589.515883
2026-03-20,20.66,20.7,20.13,20.22,4934688.000593
2026-03-23,20.66,20.85,20.5724,20.68,4935518.684906
2026-03-24,20.41,20.72,20.38,20.57,3709561.366991
2026-03-25,20.595,20.79,20.4405,20.54,4065649.27613
2026-03-26,20.19,20.33,19.975,20.03,3435988.111591
2026-03-27,19.86,20.105,19.74,19.91,5674265.599787
2026-03-30,19.98,20.295,19.815,19.92,5372104.223029
2026-03-31,20.38,20.73,20.295,20.7,5687690.052603
2026-04-01,21.25,21.43,21.11,21.12,5609753.236401
2026-04-02,20.69,21.21,20.6298,21.14,4236524.019132
2026-04-06,20.65,20.83,20.64,20.78,3280134.409105
2026-04-07,20.82,20.9,20.63,20.88,4280740.167503
2026-04-08,21.68,21.72,21.31,21.38,5400257.635331
2026-04-09,21.22,21.49,21.1,21.42,3004247.424122
2026-04-10,21.0,21.095,20.94,21.05,2924697.278921
2026-04-13,20.48,21.06,20.48,21.05,6746173.202135
2026-04-14,20.75,21.01,20.73,20.95,4382872.945491
2026-04-15,21.01,21.3,21.01,21.24,3747328.638006
2026-04-16,21.34,21.52,21.31,21.46,3940358.316695
2026-04-17,21.82,22.045,21.7,21.7,3832274.816933
2026-04-20,21.5,21.5274,21.3533,21.44,3495315.016817
2026-04-21,21.15,21.15,20.77,20.78,4282378.190883
2026-04-22,20.97,21.09,20.77,20.84,3733117.919078
2026-04-23,20.62,20.7,20.3,20.49,4902513.257096
2026-04-24,20.3,20.31,20.0,20.28,7408805.570066
2026-04-27,20.11,20.34,20.03,20.14,5981254.813346
2026-04-28,20.21,20.23,19.87,19.97,5385479.607317
2026-04-29,19.96,20.02,19.725,19.78,9342261.325038
2026-04-30,19.73,20.185,19.625,20.09,7334813.536283
2026-05-01,19.91,20.035,19.78,19.78,5054999.295248
2026-05-04,19.89,19.98,19.63,19.64,5104710.86291
2026-05-05,19.78,20.28,19.665,20.12,10166379.471311
2026-05-06,20.535,20.82,20.365,20.73,10934616.337698
2026-05-07,20.248,20.248,19.8313,19.89,8648970.610733
2026-05-08,20.27,20.865,20.06,20.15,13256713.372271
2026-05-11,21.51,21.63,21.185,21.29,16234300.134366
2026-05-12,21.88,22.29,21.82,22.16,12735389.54916
2026-05-13,22.955,22.98,22.625,22.79,12793633.457508
2026-05-14,22.14,22.21,22.005,22.12,8154086.453716
2026-05-15,22.51,22.67,22.29,22.31,8111298.94785
2026-05-18,22.72,22.865,22.55,22.71,6994663.393181
2026-05-19,23.1768,23.28,22.74,22.76,8027659.137095
2026-05-20,22.78,22.83,22.47,22.82,4497586.338668
2026-05-21,22.14,22.585,22.1,22.56,6681832.632924
2026-05-22,22.155,22.505,22.02,22.14,10353202.793761
2026-05-26,22.27,22.42,22.14,22.16,6810729.015254
2026-05-27,22.0,22.07,21.82,21.86,5338889.409076
2026-05-28,21.61,21.905,21.5643,21.72,6537802.646435
2026-05-29,21.63,21.72,21.525,21.57,6152852.427575
2026-06-01,22.13,22.64,22.08,22.57,8600334.13537
2026-06-02,22.81,23.0,22.735,22.79,5720619.868321
2026-06-03,22.51,22.53,22.135,22.2,4252880.992282
2026-06-04,22.02,22.315,22.0,22.23,5476420.874518
2026-06-05,22.19,22.27,21.865,21.89,4884401.021298
