date,open,high,low,close,volume
2026-02-02,59.46,66.94,59.1,65.2,66960964.0
2026-02-03,66.81,67.62,57.02,61.2,101338454.0
2026-02-04,59.44,61.03,49.33,53.19,139149384.0
2026-02-05,51.305,55.49,50.01,53.25,109350335.0
2026-02-06,56.4,62.25,55.67,61.75,108594233.0
2026-02-09,59.99,65.045,59.29,64.03,66670511.0
2026-02-10,64.67,65.21,61.42,63.34,58273908.0
2026-02-11,67.21,69.095,63.2299,68.05,89724221.0
2026-02-12,69.67,70.86,62.77,63.1,90896096.0
2026-02-13,63.925,66.25,61.43,64.59,79931289.0
2026-02-17,62.02,65.96,59.56,64.35,79420360.0
2026-02-18,65.255,68.445,64.07,66.29,69348988.0
2026-02-19,64.33,65.51,62.96,65.23,68827490.0
2026-02-20,63.76,68.22,63.58,67.11,81017925.0
2026-02-23,65.85,67.65,63.47,65.86,66926259.641762
2026-02-24,68.11,69.995,66.35,68.53,66892148.066194
2026-02-25,70.885,72.36,70.48,71.86,52929283.403457
2026-02-26,71.03,71.11,61.63,65.34,97787941.836533
2026-02-27,61.505,63.76,60.655,62.77,70112717.805114
2026-03-02,58.11,62.82,58.05,62.76,81699785.572544
2026-03-03,55.115,55.86,51.36,53.42,131198315.850525
2026-03-04,55.96,57.72,54.38,56.62,78143326.634352
2026-03-05,55.315,57.6906,51.13,54.8,110055840.797292
2026-03-06,50.09,53.36,46.8,47.89,125241492.13603
2026-03-09,45.51,53.78,44.53,53.32,114897710.547968
2026-03-10,53.36,57.78,53.36,54.59,104717622.241429
2026-03-11,55.5,57.74,55.35,56.09,83007700.522858
2026-03-12,53.53,53.88,49.53,50.28,105674414.412276
2026-03-13,51.875,53.96,50.04,50.72,83244323.833541
2026-03-16,54.06,55.68,53.01,53.69,79819185.421007
2026-03-17,55.1,55.4,53.3,54.95,59567715.272139
2026-03-18,55.03,56.48,54.0,54.02,75470042.677689
2026-03-19,49.53,56.11,48.5,54.85,93732709.710201
2026-03-20,54.69,55.36,49.0,51.14,101773048.13413
2026-03-23,54.63,56.81,52.2801,53.03,115257370.421494
2026-03-24,51.54,56.09,51.535,54.96,92153492.510149
2026-03-25,56.64,58.25,55.59,57.04,84440286.500836
2026-03-26,54.19,54.44,48.87,48.97,116603795.916849
2026-03-27,48.035,49.38,45.96,46.61,99401414.206981
2026-03-30,47.86,48.29,39.52,40.62,139746174.91483
2026-03-31,42.88,48.18,42.61,47.91,138002111.689219
2026-04-01,50.04,54.085,49.62,52.26,121955587.216234
2026-04-02,46.06,53.07,46.05,52.75,104471717.968532
2026-04-06,53.75,55.595,52.88,54.81,68780424.293261
2026-04-07,54.32,56.6,52.13,56.55,107326502.190748
2026-04-08,66.33,67.9799,63.56,67.5,111697275.507395
2026-04-09,68.12,72.28,68.12,71.98,79331609.672745
2026-04-10,74.295,78.3,74.295,76.39,78863608.312609
2026-04-13,75.59,80.74,75.25,80.56,64504596.832893
2026-04-14,83.27,85.57,80.71,85.31,61656971.031067
2026-04-15,84.66,85.98,79.76,85.96,68425440.67195
2026-04-16,85.01,89.39,83.31,88.37,63777477.343793
2026-04-17,93.195,94.75,90.66,94.68,67081435.147162
2026-04-20,95.97,96.93,92.03,95.94,49367793.186372
2026-04-21,97.97,99.95,95.32,98.09,65206901.261972
2026-04-22,102.94,106.09,99.6,105.64,58165233.263915
2026-04-23,108.62,116.7699,107.46,112.77,96510191.018347
2026-04-24,125.21,130.1175,120.24,128.32,83092416.018881
2026-04-27,128.325,129.59,117.7902,123.39,73334615.518471
2026-04-28,108.75,115.62,103.99,109.56,94099741.578413
2026-04-29,114.76,118.315,112.3,117.97,55503693.389293
2026-04-30,122.81,127.45,117.5,126.98,58536651.373501
2026-05-01,124.39,131.38,121.66,130.4,40940347.502773
2026-05-04,132.195,133.67,123.8,127.55,46455721.917226
2026-05-05,135.0,147.26,134.02,144.16,52130075.362519
2026-05-06,157.84,166.0,149.0617,165.85,65579223.745759
2026-05-07,162.115,162.9,147.61,152.1,72375207.155953
2026-05-08,163.0,177.5,161.51,176.94,47016488.841059
2026-05-11,181.0,191.2899,178.94,190.42,50495958.850195
2026-05-12,177.62,182.2399,150.58,172.52,91705572.34585
2026-05-13,183.835,188.488,172.26,184.24,59522250.188992
2026-05-14,182.67,189.56,178.2775,186.19,43318951.232575
2026-05-15,167.0,174.4,161.1402,164.18,62126569.325331
2026-05-18,172.95,174.61,142.69,151.75,75610474.553845
2026-05-19,141.24,160.6,135.02,151.89,85384026.867889
2026-05-20,161.0,173.7,161.0,173.2,58913172.475366
2026-05-21,171.26,179.97,168.23,178.39,52278678.064381
2026-05-22,184.8,195.27,183.34,190.56,45133031.007077
2026-05-26,211.38,228.5,209.89,225.79,52532952.300727
2026-05-27,242.66,242.66,204.0,217.98,74732725.7634
2026-05-28,219.0,231.89,207.56,224.63,47153520.532197
2026-05-29,231.82,239.07,218.56,224.34,37035732.719344
2026-06-01,217.265,234.06,210.14,227.03,37499579.382787
2026-06-02,243.18,267.08,238.8233,266.32,42799670.821354
2026-06-03,281.47,284.58,257.26,280.54,49817248.926699
2026-06-04,242.04,274.5,228.55,262.7,59036010.805417
2026-06-05,230.8482,233.69,181.81,182.54,108280347.552373
2026-06-08,210.62,222.19,201.69,211.44,68180491.064122
2026-06-09,227.055,231.02,157.561,201.68,124754262.091733
2026-06-10,191.54,212.99,177.3001,180.65,94924150.337055
2026-06-11,192.3,225.63,192.3,223.99,72493397.829132
