date,open,high,low,close,volume
2026-02-02,41.0,41.0,36.0,37.0,29346223.5
2026-02-03,36.2,42.0,35.8,39.4,39104819.5
2026-02-04,40.6,47.2,39.6,44.6,53666116.7
2026-02-05,46.2,47.4,42.6,44.8,49250401.25
2026-02-06,42.2,42.6,37.0,37.4,29304059.05
2026-02-09,38.6,39.0,35.4,36.2,21330874.5
2026-02-10,35.8,37.6,35.4,36.4,22521489.1
2026-02-11,34.3,36.6,33.2,33.6,43808225.0
2026-02-12,33.0,36.4,32.4,36.2,42954851.6
2026-02-13,35.7,37.2,34.4,35.2,33001018.2
2026-02-17,37.0,38.2,34.6,35.4,41193252.65
2026-02-18,34.9,35.8,33.2,34.2,29193676.45
2026-02-19,35.6,36.2,34.8,35.0,27040183.05
2026-02-20,36.0,36.0,33.4,34.0,37866111.25
2026-02-23,34.6,35.8,33.6,34.8,24694095.089957
2026-02-24,33.3,34.4,32.4,33.2,30339321.741204
2026-02-25,32.0,32.2,31.4,31.8,18163346.499623
2026-02-26,32.0,36.2,31.9,34.4,49452993.707297
2026-02-27,36.6,37.0,35.2,35.8,36459646.698993
2026-03-02,38.6,38.6,35.8,35.8,49817482.795014
2026-03-03,40.0,42.4,39.8,41.2,63141127.526167
2026-03-04,39.3,40.6,37.8,38.6,42905693.509449
2026-03-05,39.59,42.5,38.03,40.09,76917885.47881
2026-03-06,43.415,45.8998,41.05,45.17,126066028.592524
2026-03-09,47.28,48.26,39.47,39.78,129552034.178774
2026-03-10,39.84,39.8425,36.55,38.82,75845807.861791
2026-03-11,38.28,38.38,36.67,37.73,56188199.404015
2026-03-12,39.5,42.3,39.3407,41.75,55457579.382558
2026-03-13,40.31,41.975,38.68,41.3,51156726.5962
2026-03-16,38.61,39.52,37.395,38.86,34630590.100802
2026-03-17,37.93,39.26,37.76,38.07,28625415.315399
2026-03-18,38.03,38.735,37.01,38.7,36220416.707919
2026-03-19,42.0,42.73,37.23,38.11,49471925.125637
2026-03-20,38.32,42.26,37.77,40.66,43198984.970411
2026-03-23,38.01,39.785,36.22,39.19,54854326.767615
2026-03-24,40.08,40.08,36.7,37.46,43832245.688188
2026-03-25,36.32,37.06,35.23,36.02,43023183.00193
2026-03-26,37.84,41.26,37.7,41.18,46756485.093724
2026-03-27,41.94,43.71,40.8,43.1,41088651.597025
2026-03-30,42.0,49.76,41.57,48.74,55530868.030689
2026-03-31,45.87,46.38,39.61,39.86,56000604.88509
2026-04-01,38.07,38.49,34.7801,36.26,72175525.983737
2026-04-02,40.565,40.59,35.73,35.93,65787066.008799
2026-04-06,35.18,35.87,34.01,34.55,42110915.278987
2026-04-07,34.82,36.255,33.43,33.43,62424523.350844
2026-04-08,27.7,29.31,26.75,26.96,88256707.894981
2026-04-09,26.76,26.76,25.09,25.2,76403493.73581
2026-04-10,24.38,24.42,23.005,23.69,85777204.442846
2026-04-13,23.92,24.025,22.32,22.42,75787163.664304
2026-04-14,21.6,22.34,21.0,21.05,71070315.39982
2026-04-15,21.23,22.425,20.9,20.94,81060643.624304
2026-04-16,21.13,21.5599,20.07,20.28,88307886.144551
2026-04-17,19.23,19.8,18.86,18.87,102095490.731296
2026-04-20,18.635,19.41,18.44,18.63,79542512.794657
2026-04-21,18.25,18.755,17.85,18.2,101033274.22466
2026-04-22,17.37,17.945,16.72,16.8,110998160.860748
2026-04-23,16.345,16.52,15.06,15.7,191546857.595531
2026-04-24,13.985,14.66,13.3,13.52,232732719.037342
2026-04-27,13.51,14.625,13.41,14.03,205322053.538683
2026-04-28,15.71,16.27,14.93,15.59,237866787.497716
2026-04-29,14.91,15.24,14.38,14.4,151345540.081451
2026-04-30,13.84,14.49,13.25,13.3,192454768.474787
2026-05-01,13.61,13.8899,12.87,12.98,124570560.597577
2026-05-04,12.8,13.6386,12.65,13.26,135370172.275375
2026-05-05,12.5,12.585,11.21,11.51,214001924.747316
2026-05-06,10.43,11.14,9.8,9.81,334545797.960697
2026-05-07,10.02,10.88,9.97,10.6,288873249.052474
2026-05-08,9.86,9.97,8.84,8.85,313191577.65207
2026-05-11,8.65,8.77,8.15,8.2,300724041.439931
2026-05-12,8.745,9.91,8.55,8.95,519903908.581239
2026-05-13,8.38,8.98,8.14,8.35,356084027.207759
2026-05-14,8.43,8.63,8.12,8.27,254923228.756602
2026-05-15,9.13,9.39,8.8,9.23,402809631.598391
2026-05-18,8.77,10.47,8.68,9.95,411464789.295023
2026-05-19,10.6403,11.07,9.37,9.93,539187825.425608
2026-05-20,9.3,9.35,8.51,8.54,282843433.967841
2026-05-21,8.645,8.78,8.21,8.29,257177072.917371
2026-05-22,8.0,8.06,7.5,7.73,282538290.965678
2026-05-26,6.9,6.95,6.19,6.29,403682973.607218
2026-05-27,5.83,6.91,5.83,6.53,537307287.617202
2026-05-28,6.49,6.83,6.1,6.31,353107771.612112
2026-05-29,6.11,6.49,5.9107,6.33,307719259.936424
2026-06-01,6.55,6.74,6.05,6.26,330691120.564611
2026-06-02,5.8,5.93,5.15,5.17,480499977.041023
2026-06-03,4.88,5.35,4.82,4.91,634419379.614717
2026-06-04,5.57,5.81,5.0,5.2,665759481.392861
2026-06-05,5.855,6.85,5.79,6.84,972691540.735954
2026-06-08,5.71,6.05,5.27,5.69,805658011.477261
2026-06-09,5.25,7.11,5.14,5.93,1388857313.860141
2026-06-10,6.24,6.65,5.6,6.57,1208896315.048822
2026-06-11,6.1,6.1,4.9,4.97,910107999.075567
