date,open,high,low,close,volume
2026-02-13,352.8,357.61,348.675,354.66,5963039.0
2026-02-17,349.805,357.1,345.32,354.1,4068938.0
2026-02-18,355.815,361.665,353.6,357.92,5681203.0
2026-02-19,354.175,356.32,351.77,355.84,5576424.0
2026-02-20,353.59,361.33,352.8,359.43,6013593.0
2026-02-23,357.57,360.38,352.85,356.82,6339757.723312
2026-02-24,361.6,364.74,358.04,362.04,6205967.229369
2026-02-25,366.195,368.82,365.51,368.0,4539919.376065
2026-02-26,366.38,366.48,350.41,356.8,13329095.502039
2026-02-27,349.6,354.03,348.34,352.29,6250166.65622
2026-03-02,343.79,352.33,343.34,352.05,7284006.211589
2026-03-03,338.09,339.31,330.89,334.78,17946093.688523
2026-03-04,339.96,343.81,336.79,341.54,10649868.266537
2026-03-05,338.9,343.72,330.57,337.76,7239331.656956
2026-03-06,328.4,335.04,321.49,323.51,8733675.953056
2026-03-09,318.31,337.17,316.22,336.37,9824632.985468
2026-03-10,336.31,345.56,336.31,338.81,7470989.410173
2026-03-11,340.5,345.4,340.45,342.09,6215113.284998
2026-03-12,337.34,337.55,328.64,330.19,8008148.524051
2026-03-13,333.875,338.4,329.79,331.32,6450826.725994
2026-03-16,338.89,342.04,336.32,337.83,8018169.247106
2026-03-17,340.56,341.16,336.79,340.25,4472077.879518
2026-03-18,340.525,343.44,338.29,338.29,6363909.514495
2026-03-19,328.76,342.77,326.76,340.2,8292080.746628
2026-03-20,339.71,341.25,327.94,332.51,9441265.749565
2026-03-23,340.115,344.93,335.12,336.59,8151040.566978
2026-03-24,333.79,343.22,333.62,341.02,5287512.224246
2026-03-25,344.17,347.68,342.14,345.25,5868985.877588
2026-03-26,339.45,339.885,328.52,328.85,10172448.677857
2026-03-27,326.84,329.95,322.16,323.48,6334798.76939
2026-03-30,326.75,327.63,307.255,309.79,13204840.945401
2026-03-31,315.595,329.18,314.88,328.66,14036482.094889
2026-04-01,333.49,342.65,332.35,338.54,10130816.61002
2026-04-02,325.11,340.39,325.03,339.61,6521003.05803
2026-04-06,341.52,345.77,339.92,344.1,3105036.400999
2026-04-07,343.035,347.94,338.47,347.76,4025969.443687
2026-04-08,367.89,371.15,362.13,370.4,9868722.846111
2026-04-09,371.295,378.95,371.295,378.63,6036659.253256
2026-04-10,382.67,389.6025,382.67,386.6,5596888.261238
2026-04-13,384.88,393.57,384.37,393.34,4377374.766984
2026-04-14,397.835,401.4445,393.51,401.24,5202559.182823
2026-04-15,400.31,402.09,392.39,401.86,5570248.58056
2026-04-16,400.6,407.48,397.99,405.95,4400496.3715
2026-04-17,413.38,415.73,409.58,415.71,5729056.53182
2026-04-20,417.43,418.86,411.79,417.55,3493545.874546
2026-04-21,420.4,423.35,416.67,420.7,3676751.130109
2026-04-22,427.26,432.16,422.82,431.77,6557574.719524
2026-04-23,435.34,446.64,434.04,441.0,10812387.668736
2026-04-24,457.59,463.87,450.97,461.6,9071959.897017
2026-04-27,461.75,463.0,448.93,455.41,8924649.794093
2026-04-28,437.625,446.14,431.74,438.71,11014947.136782
2026-04-29,445.26,450.37,442.4109,449.99,5972791.779428
2026-04-30,455.695,462.14,449.34,461.44,5170248.435255
2026-05-01,458.47,466.91,455.07,465.75,4155856.751789
2026-05-04,467.93,469.61,457.81,462.06,5233125.464847
2026-05-05,471.14,486.1808,470.23,482.73,7203047.160459
2026-05-06,497.96,506.94,487.86,506.87,9768591.233932
2026-05-07,502.93,503.68,488.131,492.36,9913713.82941
2026-05-08,504.24,520.46,502.75,520.3,7754540.50342
2026-05-11,524.08,533.74,521.66,532.76,7492556.93472
2026-05-12,520.85,525.15,495.71,515.99,14660632.675206
2026-05-13,527.615,532.25,515.94,528.29,7346374.426473
2026-05-14,526.495,533.13,522.21,530.03,5212394.987385
2026-05-15,511.67,518.7899,506.26,508.52,9388221.582644
2026-05-18,518.02,519.96,486.92,495.87,9998994.758032
2026-05-19,484.4,506.04,477.95,496.74,12216957.067272
2026-05-20,507.73,520.54,506.55,520.31,9457640.048649
2026-05-21,518.17,526.78,515.0,524.71,6749941.558964
2026-05-22,531.88,541.89,530.17,537.33,7671121.941714
2026-05-26,556.99,572.95,555.41,570.09,8926183.501201
2026-05-27,584.38,584.5,551.89,563.98,11412354.507842
2026-05-28,564.32,575.8,554.825,569.47,6763852.625346
2026-05-29,576.44,582.23,564.6,569.08,7323862.149404
2026-06-01,563.67,577.99,557.38,571.93,6999459.898983
2026-06-02,585.17,605.44,581.925,605.02,7475392.460247
2026-06-03,616.21,618.84,598.01,615.68,8564687.587813
2026-06-04,587.64,611.26,577.54,602.72,11445307.745146
2026-06-05,577.86,580.5,539.57,539.77,22377273.101388
2026-06-08,569.765,581.3799,560.79,571.45,12843005.495623
2026-06-09,585.45,588.58,522.24,562.14,24548093.27756
2026-06-10,551.66,572.51,539.38,541.51,16672232.640664
2026-06-11,555.42,588.0,554.81,586.93,12295375.756677
