date,open,high,low,close,volume
2026-02-02,2.8,2.82,2.68,2.68,4550132.0
2026-02-03,2.75,2.83,2.595,2.72,4151593.0
2026-02-04,2.75,2.75,2.52,2.57,4134794.0
2026-02-05,2.5,2.56,2.34,2.35,4411552.0
2026-02-06,2.4,2.57,2.4,2.53,3672822.0
2026-02-09,2.58,2.71,2.52,2.7,3437618.0
2026-02-10,2.7,2.78,2.65,2.71,2395555.0
2026-02-11,2.74,2.76,2.56,2.62,2710655.0
2026-02-12,2.65,2.65,2.48,2.55,2118766.0
2026-02-13,2.57,2.6498,2.525,2.56,1918758.0
2026-02-17,2.52,2.54,2.46,2.5,1239101.0
2026-02-18,2.52,2.575,2.48,2.5,1711166.0
2026-02-19,2.48,2.57,2.4307,2.55,1544979.0
2026-02-20,2.52,2.59,2.46,2.46,1499838.0
2026-02-23,2.42,2.455,2.39,2.43,1502231.15283
2026-02-24,2.43,2.61,2.41,2.55,1984644.844594
2026-02-25,2.59,2.63,2.53,2.58,1912699.847677
2026-02-26,2.61,2.65,2.55,2.64,1994332.338713
2026-02-27,2.62,2.62,2.5,2.55,1385910.690908
2026-03-02,2.49,2.64,2.45,2.6,2653737.790615
2026-03-03,2.52,2.61,2.52,2.54,1967401.77659
2026-03-04,2.57,2.62,2.525,2.61,1701474.382145
2026-03-05,2.59,2.6699,2.52,2.56,1545551.103899
2026-03-06,2.52,2.58,2.5,2.52,1408341.046466
2026-03-09,2.49,2.56,2.43,2.54,1353721.96316
2026-03-10,2.54,2.565,2.5,2.5,1208643.664175
2026-03-11,2.52,2.56,2.5,2.55,1304941.03766
2026-03-12,2.52,2.59,2.5,2.51,1396715.366606
2026-03-13,2.51,2.5399,2.45,2.45,1532335.305655
2026-03-16,2.49,2.525,2.4514,2.48,1294543.12076
2026-03-17,2.5,2.695,2.475,2.65,2291866.742159
2026-03-18,2.63,2.67,2.56,2.58,1262862.768955
2026-03-19,2.53,2.565,2.4637,2.5,1718803.689011
2026-03-20,2.5,2.54,2.4,2.43,2418364.647212
2026-03-23,2.46,2.4999,2.42,2.42,1660521.790615
2026-03-24,2.42,2.485,2.38,2.38,1491932.087413
2026-03-25,2.44,2.6499,2.43,2.52,3815759.127272
2026-03-26,2.48,2.48,2.37,2.39,2443347.217975
2026-03-27,2.37,2.3984,2.25,2.26,2300038.522562
2026-03-30,2.3,2.31,2.13,2.17,6257294.267285
2026-03-31,2.4199,2.77,2.3,2.43,22608558.282034
2026-04-01,2.57,2.58,2.35,2.4,6323349.609066
2026-04-02,2.35,2.5899,2.26,2.46,6565395.974174
2026-04-06,2.71,3.09,2.68,3.07,34917670.854584
2026-04-07,3.04,3.15,2.74,2.99,19576484.395602
2026-04-08,3.295,3.32,2.91,2.97,12662321.731221
2026-04-09,2.92,3.12,2.83,2.97,7097476.998676
2026-04-10,3.0,3.3,2.99,3.02,14402275.715298
2026-04-13,2.94,3.07,2.82,2.99,9761535.938409
2026-04-14,3.07,3.09,2.85,2.89,7404179.394004
2026-04-15,2.88,2.886,2.72,2.83,8193436.067433
2026-04-16,2.81,3.0999,2.754,3.06,9143445.144486
2026-04-17,3.06,3.09,2.93,2.93,8904255.072499
2026-04-20,2.89,2.95,2.86,2.92,8227863.012355
2026-04-21,2.93,3.09,2.9,2.92,13624312.471554
2026-04-22,2.98,3.09,2.86,2.9,10630206.975154
2026-04-23,2.88,2.89,2.675,2.71,7142279.704319
2026-04-24,2.72,2.7298,2.55,2.58,10890922.39832
2026-04-27,2.58,2.59,2.48,2.54,5343278.941237
2026-04-28,2.51,2.5294,2.38,2.38,6496232.13195
2026-04-29,2.38,2.39,2.27,2.33,6345262.325476
2026-04-30,2.41,2.435,2.375,2.38,3600636.862068
2026-05-01,2.39,2.66,2.3734,2.65,12278896.491627
2026-05-04,2.61,2.62,2.5,2.52,4981944.516605
2026-05-05,2.54,2.55,2.4,2.45,4497069.451893
2026-05-06,2.47,2.66,2.46,2.66,4720200.542958
2026-05-07,2.64,2.65,2.5,2.51,4679308.133924
2026-05-08,2.54,3.03,2.52,2.94,16260395.57826
2026-05-11,2.87,3.03,2.77,2.92,10640524.52624
2026-05-12,2.87,2.925,2.7,2.79,6967647.17913
2026-05-13,2.8,2.935,2.71,2.88,9143885.145081
2026-05-14,2.84,2.95,2.79,2.88,13087013.124619
2026-05-15,2.7,3.15,2.68,2.81,13424200.738939
2026-05-18,2.86,3.15,2.55,2.58,14613536.529749
2026-05-19,2.56,2.575,2.415,2.5,8509130.340074
2026-05-20,2.5,2.54,2.41,2.47,6929488.432136
2026-05-21,2.46,2.75,2.425,2.75,13365383.294977
2026-05-22,2.8,3.4196,2.775,3.24,36357526.450453
2026-05-26,3.34,3.89,3.152,3.51,39458824.228977
2026-05-27,3.71,3.885,3.47,3.79,33893145.819698
2026-05-28,3.65,4.54,3.54,4.53,45463476.517709
2026-05-29,4.8,6.61,4.34,6.18,178822223.644383
2026-06-01,7.275,8.9,6.25,7.52,286064093.410922
2026-06-02,6.74,6.76,4.51,4.59,129510091.045447
2026-06-03,4.58,5.0879,4.19,4.29,56417343.735198
2026-06-04,4.2,5.18,4.0601,4.72,74824474.409712
2026-06-05,4.45,4.83,4.21,4.38,34293469.902086
