date,open,high,low,close,volume
2026-02-02,527.79,531.44,523.53,527.66,1267227.0
2026-02-03,503.0,506.875,464.64,468.21,6732128.0
2026-02-04,462.01,470.7,448.475,465.51,6197799.0
2026-02-05,470.0,474.0,439.2,451.71,5007656.0
2026-02-06,452.16,461.51,436.53,439.28,4337651.0
2026-02-09,437.98,445.64,436.09,444.19,3915566.0
2026-02-10,418.97,424.8,395.88,401.08,10888451.0
2026-02-11,406.71,413.991,390.73,390.76,5174841.0
2026-02-12,390.05,399.9499,381.605,397.2,5396238.0
2026-02-13,399.15,410.4,399.15,409.54,4739123.0
2026-02-17,416.0,422.4199,409.03,410.45,5131873.0
2026-02-18,414.0,422.61,413.1745,419.38,3112817.0
2026-02-19,418.14,420.41,411.5,416.67,2111305.0
2026-02-20,414.28,418.62,410.73,417.48,2792315.0
2026-02-23,413.47,417.55,404.24,404.78,2554037.630734
2026-02-24,402.3,419.66,400.52,418.27,3305859.782592
2026-02-25,419.41,426.37,418.545,423.61,3237771.848272
2026-02-26,426.595,439.19,426.595,437.49,2513889.385888
2026-02-27,434.87,443.485,433.5658,441.88,3176513.457322
2026-03-02,433.01,444.5,433.01,443.08,2837197.619327
2026-03-03,437.0,447.62,435.75,443.99,3264291.774395
2026-03-04,443.76,450.21,441.31,445.5,2054802.662475
2026-03-05,443.23,451.66,442.81,451.11,2611416.992285
2026-03-06,447.41,452.69,443.725,452.36,1869258.606329
2026-03-09,448.59,449.585,431.42,445.28,2154876.43477
2026-03-10,444.29,445.02,432.0,435.44,1839410.095699
2026-03-11,435.5,439.31,415.92,428.96,2118816.282833
2026-03-12,428.5,428.75,418.33,419.7,2326074.113616
2026-03-13,423.89,427.55,419.11,422.49,1790625.62928
2026-03-16,424.7,428.78,424.7,426.59,1853132.96937
2026-03-17,431.17,435.97,429.08,432.94,1492737.674673
2026-03-18,428.68,430.85,426.0,426.64,1909962.308996
2026-03-19,422.09,427.98,419.0,426.14,1953991.780723
2026-03-20,426.36,428.2699,421.34,424.43,3444730.540183
2026-03-23,429.51,433.6,425.11,428.87,1954462.997505
2026-03-24,424.98,426.01,411.1,411.2,2627982.058128
2026-03-25,417.73,419.36,405.0,408.48,3002589.76005
2026-03-26,406.78,415.35,406.2,412.45,2363092.772201
2026-03-27,407.99,410.25,403.37,406.24,1638483.178429
2026-03-30,410.9,418.9,408.955,417.59,1665027.120847
2026-03-31,422.71,426.91,417.01,425.34,2012991.401712
2026-04-01,425.62,427.66,416.03,425.17,1877551.763927
2026-04-02,421.51,433.53,420.1,431.16,1405523.421811
2026-04-06,429.68,435.68,429.19,434.11,993622.598423
2026-04-07,433.0,436.97,427.36,430.06,1543111.292599
2026-04-08,437.61,442.0,435.6,436.96,1260484.986691
2026-04-09,433.16,435.29,416.43,424.32,2094671.130596
2026-04-10,421.93,423.97,408.74,415.42,2015930.328015
2026-04-13,416.8,430.2,416.01,430.08,1777979.469269
2026-04-14,431.09,435.29,424.44,425.24,2455566.995743
2026-04-15,427.0,435.0,427.0,430.58,2380935.756499
2026-04-16,437.48,440.45,435.31,436.79,1542338.723323
2026-04-17,442.88,445.25,437.495,442.57,1679766.623201
2026-04-20,442.4,443.68,439.01,442.74,1479452.884183
2026-04-21,444.03,453.605,443.13,444.67,1535697.205159
2026-04-22,450.2,456.7,446.545,449.06,1287654.579346
2026-04-23,444.99,447.28,433.0,439.03,1291609.721939
2026-04-24,440.0,441.645,434.17,436.79,1782035.494958
2026-04-27,436.75,439.82,433.65,437.22,2235585.610541
2026-04-28,442.15,453.95,433.09,433.47,2492622.982468
2026-04-29,430.89,435.02,424.14,433.19,1844954.721257
2026-04-30,431.0,434.07,426.66,431.23,1675144.221725
2026-05-01,435.46,438.88,425.6,426.06,1058187.162281
2026-05-04,424.26,431.33,423.3,424.75,1507082.863498
2026-05-05,425.24,430.395,416.2,423.87,2255220.341963
2026-05-06,422.21,426.94,418.4,423.57,1978785.829678
2026-05-07,422.51,433.08,421.1401,428.68,1840977.141399
2026-05-08,425.49,427.46,416.26,420.12,1975083.029898
2026-05-11,417.95,422.7,416.89,421.0,2201913.179738
2026-05-12,422.56,430.13,421.16,424.17,2212209.823216
2026-05-13,419.44,420.0729,401.0,406.55,2603757.708658
2026-05-14,409.03,413.57,402.46,403.92,2238489.810774
2026-05-15,406.0,411.57,401.475,403.15,1600738.542992
2026-05-18,404.0,419.585,403.2,417.41,1741173.108441
2026-05-19,419.32,422.5,408.84,410.4,2883027.534381
2026-05-20,408.15,417.23,403.8,417.01,2084776.226343
2026-05-21,410.85,417.4199,408.4,415.73,2062580.762642
2026-05-22,416.52,421.6,415.0,417.6,2188311.61407
2026-05-26,412.55,416.655,408.66,412.48,2378833.741936
2026-05-27,412.01,419.05,411.33,415.8,1975146.989765
2026-05-28,414.0,421.19,413.35,417.68,2404752.39862
2026-05-29,415.2,428.46,415.17,424.0,3294871.118258
2026-06-01,425.74,430.91,420.87,428.56,2101259.532911
2026-06-02,427.08,427.08,412.87,417.46,1936686.811973
2026-06-03,414.3,416.31,407.31,412.29,1619330.403344
2026-06-04,418.0,425.9,418.0,420.12,2133422.862526
2026-06-05,422.88,427.24,420.55,424.44,2259863.865168
2026-06-08,421.57,423.73,416.12,417.09,2120229.175481
2026-06-09,415.13,426.67,412.8,424.82,1888698.443924
2026-06-10,423.66,430.2699,421.05,426.38,1829247.764932
2026-06-11,424.72,426.0,411.51,413.34,2126582.369677
2026-06-12,415.23,419.98,409.3288,418.91,1762087.634182
