date,open,high,low,close,volume
2026-02-02,208.68,213.105,208.68,212.73,243838.0
2026-02-03,213.86,215.77,210.6,215.43,171119.0
2026-02-04,217.49,218.865,211.21,212.76,243114.0
2026-02-05,212.11,220.67,210.0,218.02,474110.0
2026-02-06,221.16,223.6,219.8,222.32,572806.0
2026-02-09,222.76,228.5323,220.05,223.86,432253.0
2026-02-10,222.82,232.5,222.35,231.2,473105.0
2026-02-11,235.0,237.92,230.13,233.46,374532.0
2026-02-12,235.88,240.2999,228.57,230.92,354248.0
2026-02-13,236.82,242.205,235.14,239.0,402696.0
2026-02-17,237.79,244.0799,235.7766,241.6,433948.0
2026-02-18,241.92,246.68,239.09,241.58,397533.0
2026-02-19,239.87,244.0,235.03,241.01,278813.0
2026-02-20,240.8,245.185,239.08,242.29,262948.0
2026-02-23,240.72,240.72,232.5613,237.18,366958.71994
2026-02-24,237.0,243.66,236.705,243.04,460982.528066
2026-02-25,232.91,236.06,216.12,226.66,957176.046669
2026-02-26,228.45,232.8,223.06,231.59,409252.539192
2026-02-27,229.88,231.705,223.95,226.94,345292.089711
2026-03-02,221.98,227.35,221.2,225.02,325443.836576
2026-03-03,218.19,222.52,213.99,219.58,278895.444929
2026-03-04,222.38,223.79,220.4075,222.07,244631.226858
2026-03-05,219.18,219.785,207.7,211.9,300136.565093
2026-03-06,207.44,208.115,201.56,204.62,282939.815888
2026-03-09,201.34,210.24,198.34,209.8,354173.320358
2026-03-10,208.95,214.9716,208.85,210.96,265253.557787
2026-03-11,209.6,213.32,207.39,210.15,220617.837104
2026-03-12,206.5,208.01,201.3,202.65,248627.977981
2026-03-13,205.49,210.9325,196.795,199.45,238565.392595
2026-03-16,203.17,205.86,200.65,203.42,215233.812771
2026-03-17,203.74,207.03,202.78,204.62,279103.233069
2026-03-18,204.09,205.825,202.1,202.46,284067.723267
2026-03-19,198.91,205.24,198.39,202.36,338042.244919
2026-03-20,200.51,201.605,182.985,186.77,1417495.531157
2026-03-23,192.38,199.9,190.8,194.52,476072.031393
2026-03-24,191.3,202.46,190.59,200.67,444938.672639
2026-03-25,204.6,205.07,200.4025,201.27,513819.845247
2026-03-26,198.19,202.19,194.48,200.45,1036119.27286
2026-03-27,202.01,202.165,195.7601,200.0,985024.011261
2026-03-30,202.34,204.31,190.67,190.71,491852.146437
2026-03-31,193.47,201.895,193.44,199.94,610384.168196
2026-04-01,203.33,208.99,201.705,203.16,548477.859842
2026-04-02,200.0,204.82,196.22,197.29,330909.882953
2026-04-06,195.58,197.63,193.68,196.9,219399.458579
2026-04-07,195.88,197.855,193.55,195.43,366639.734303
2026-04-08,207.77,213.09,207.77,212.22,565375.026159
2026-04-09,211.13,217.515,211.13,215.54,407923.945623
2026-04-10,216.6,216.6,212.995,215.97,252284.765808
2026-04-13,214.82,221.3,214.82,221.27,461468.541
2026-04-14,221.9,225.06,219.095,224.82,428214.092796
2026-04-15,222.68,224.8,213.72,219.99,831046.237142
2026-04-16,220.0,223.77,214.145,215.27,504328.182795
2026-04-17,220.42,229.49,217.39,223.52,1475901.552627
2026-04-20,222.59,223.745,216.935,217.61,403907.918946
2026-04-21,218.49,224.9,214.54,216.49,491198.641475
2026-04-22,218.88,221.21,215.26,220.62,359883.153591
2026-04-23,222.48,227.1699,221.72,223.96,305045.483332
2026-04-24,224.18,226.6166,221.665,222.82,279298.396942
2026-04-27,224.0,226.845,220.3933,222.45,289463.212618
2026-04-28,220.21,221.155,213.36,216.36,563932.056744
2026-04-29,216.19,218.68,209.45,211.36,370585.95492
2026-04-30,214.42,220.475,210.14,218.91,878988.291957
2026-05-01,207.74,216.66,203.11,208.13,1384191.595047
2026-05-04,207.31,207.31,197.41,201.12,623007.097887
2026-05-05,205.16,211.1,203.99,207.81,562541.351271
2026-05-06,214.83,217.77,209.025,212.74,467847.622556
2026-05-07,214.86,218.0,203.99,205.27,503316.594972
2026-05-08,207.08,209.0299,200.573,202.84,377168.858999
2026-05-11,202.06,204.875,199.49,203.24,662864.474434
2026-05-12,202.06,202.06,194.52,198.99,390125.066657
2026-05-13,198.47,204.41,197.05,203.79,500532.974724
2026-05-14,205.52,212.0,200.01,203.5,550783.140389
2026-05-15,199.59,203.13,195.32,200.99,524637.161844
2026-05-18,201.0,202.315,196.175,200.47,958856.205687
2026-05-19,197.12,197.29,191.24,195.79,615850.417438
2026-05-20,197.13,206.03,195.995,205.55,723806.195163
2026-05-21,204.09,207.61,198.955,205.39,516211.601684
2026-05-22,206.97,208.695,201.58,207.8,492162.200543
2026-05-26,211.38,219.24,209.5305,219.08,613941.851753
2026-05-27,221.19,221.19,214.13,215.34,504905.444461
2026-05-28,212.11,214.15,208.5201,213.82,404683.990095
2026-05-29,213.6,219.675,212.215,216.66,824360.96358
2026-06-01,212.98,223.08,212.98,220.92,836537.445974
2026-06-02,221.74,230.18,218.925,230.08,552735.794932
2026-06-03,229.99,244.635,229.99,234.08,913367.918384
2026-06-04,235.23,237.535,227.7,236.14,574905.266014
2026-06-05,232.98,233.95,225.7,227.8,475417.96046
2026-06-08,230.95,235.57,228.29,229.95,470618.847717
2026-06-09,233.5,239.5802,217.74,228.01,645705.321118
2026-06-10,230.94,234.72,223.39,223.63,615685.870756
2026-06-11,227.21,235.47,226.34,233.49,1098810.635014
2026-06-12,238.0,240.5,218.7,230.05,1405203.504714
