date,open,high,low,close,volume
2026-02-12,33.88,35.935,33.715,35.81,13129227.0
2026-02-13,35.8,36.45,35.07,35.8,16265895.0
2026-02-17,36.05,36.7399,35.3,35.63,11697203.0
2026-02-18,35.45,35.64,34.65,35.1,8936720.0
2026-02-19,35.49,35.835,35.13,35.37,7128278.0
2026-02-20,35.79,35.86,34.59,34.67,14300644.0
2026-02-23,34.925,36.0425,34.59,35.73,10441360.836176
2026-02-24,35.84,36.125,34.82,34.96,8404106.557202
2026-02-25,34.56,34.57,34.02,34.1,6937547.661876
2026-02-26,34.1,35.42,34.09,34.67,13487117.132926
2026-02-27,35.67,35.89,35.1,35.2,15357492.971541
2026-03-02,36.37,36.47,34.8437,35.19,18733207.09874
2026-03-03,36.94,37.765,35.775,36.14,37045744.703562
2026-03-04,35.93,36.255,35.07,35.38,21728378.41166
2026-03-05,35.86,36.86,35.33,35.97,30545389.207477
2026-03-06,37.28,37.86,36.85,37.43,25281896.310971
2026-03-09,38.455,39.12,36.2,36.46,39720513.52366
2026-03-10,36.57,37.0597,35.66,36.68,30739763.4674
2026-03-11,36.61,37.3,36.205,36.82,18060888.623327
2026-03-12,37.68,38.5499,37.605,38.51,25062200.793233
2026-03-13,38.005,39.375,37.48,39.21,20382815.934629
2026-03-16,38.15,38.37,37.5,38.04,16635043.549181
2026-03-17,37.475,37.87,37.13,37.75,10451081.267108
2026-03-18,38.18,39.385,37.95,39.34,16339658.71823
2026-03-19,40.165,40.4801,39.1,39.66,27237120.276558
2026-03-20,39.97,42.11,39.94,41.42,23706229.021284
2026-03-23,39.615,40.38,38.7299,40.15,31399227.48816
2026-03-24,40.49,40.755,39.46,40.15,19036282.455143
2026-03-25,39.16,39.9699,38.74,39.5,14999052.484295
2026-03-26,40.39,41.675,39.865,41.63,19837817.428469
2026-03-27,42.18,44.01,42.15,43.81,24739309.862002
2026-03-30,42.6,44.83,42.545,44.29,11516590.745012
2026-03-31,42.83,43.02,40.2,40.49,35055733.835771
2026-04-01,39.79,39.96,38.925,39.54,22491119.060768
2026-04-02,41.19,41.43,39.12,39.48,28280007.079572
2026-04-06,39.5,39.56,38.81,38.96,8574794.073168
2026-04-07,39.37,40.35,38.86,38.89,20055293.972082
2026-04-08,35.88,36.75,35.77,35.98,14537601.435042
2026-04-09,36.17,36.32,35.15,35.36,11799826.561362
2026-04-10,35.17,35.61,35.06,35.48,9096698.687108
2026-04-13,35.8,35.92,34.4101,34.45,13445031.905279
2026-04-14,34.205,34.205,33.18,33.22,11684564.42767
2026-04-15,33.08,33.23,32.375,32.43,13594197.891172
2026-04-16,32.3,32.6268,32.03,32.19,11319641.327274
2026-04-17,31.6,31.655,30.75,31.07,19149696.311346
2026-04-20,31.25,31.59,31.105,31.23,14112052.652188
2026-04-21,31.06,32.065,30.93,31.87,16595402.491422
2026-04-22,31.2,31.3213,30.88,30.9,9918382.244787
2026-04-23,31.16,32.085,30.78,31.29,18542632.591446
2026-04-24,31.02,31.255,30.54,30.59,14676858.046852
2026-04-27,30.72,30.82,30.4,30.45,7186883.220323
2026-04-28,30.9,31.22,30.76,30.92,10421323.084618
2026-04-29,31.02,31.355,30.86,30.94,13453516.534748
2026-04-30,30.55,31.0983,29.88,30.05,12525939.582696
2026-05-01,29.74,29.835,29.2801,29.8,10942538.223973
2026-05-04,29.9,30.52,29.6401,30.13,14554652.962691
2026-05-05,29.69,29.71,29.28,29.44,9305181.106318
2026-05-06,28.91,28.95,28.13,28.23,12473641.71965
2026-05-07,28.1,28.69,27.96,28.49,13999636.687095
2026-05-08,28.13,28.16,27.76,27.82,9312894.335603
2026-05-11,27.96,27.96,27.47,27.66,8700106.903832
2026-05-12,27.91,28.49,27.7025,27.76,10934807.368116
2026-05-13,27.76,28.0899,27.1385,27.32,9963238.200676
2026-05-14,27.18,27.185,26.5299,26.69,8520892.792834
2026-05-15,27.38,27.8,27.21,27.69,13452495.599488
2026-05-18,27.61,28.325,27.43,27.76,19080480.746078
2026-05-19,28.19,28.55,27.87,28.31,15175930.368393
2026-05-20,28.09,28.295,27.37,27.45,20087972.768257
2026-05-21,27.75,27.91,27.0503,27.3,18776122.380366
2026-05-22,26.94,27.135,26.645,27.0,16513742.190714
2026-05-26,26.55,26.715,26.31,26.49,9115136.003833
2026-05-27,26.45,26.74,26.41,26.5,11143997.74424
2026-05-28,26.55,26.65,26.02,26.08,11340119.232295
2026-05-29,25.97,26.095,25.75,25.93,15899122.199342
2026-06-01,26.02,26.105,25.53,25.72,17624079.677522
2026-06-02,25.87,25.9,25.535,25.62,6744816.877206
2026-06-03,25.77,26.2399,25.71,26.18,12421723.833326
2026-06-04,26.4,26.4699,25.75,25.88,8264189.677529
2026-06-05,26.4,28.12,26.34,27.92,18464343.170835
2026-06-08,27.27,27.845,27.035,27.72,16271358.824345
2026-06-09,27.25,29.615,26.8701,27.99,30972959.964834
2026-06-10,28.415,29.33,27.85,29.31,26512546.072732
