date,open,high,low,close,volume
2026-02-06,71.21,72.5,70.815,71.44,257885.0
2026-02-09,71.23,71.395,70.01,70.44,231901.0
2026-02-10,70.91,72.245,70.67,71.89,222372.0
2026-02-11,71.91,72.15,70.71,70.79,304991.0
2026-02-12,70.81,72.18,69.27,69.49,436141.0
2026-02-13,70.11,70.11,67.915,69.39,346975.0
2026-02-17,70.11,70.75,68.76,69.2,165942.0
2026-02-18,68.85,69.65,67.345,67.62,217180.0
2026-02-19,67.46,67.84,66.42,67.5,189678.0
2026-02-20,67.82,68.4,66.19,67.79,202176.0
2026-02-23,68.27,68.69,66.2,66.37,269644.2966
2026-02-24,66.62,67.645,66.08,67.49,169400.6685
2026-02-25,67.36,68.95,67.07,68.84,133878.805482
2026-02-26,69.29,70.615,68.93,69.89,167692.021795
2026-02-27,70.71,71.4775,69.5,70.99,217913.839888
2026-03-02,70.19,71.755,69.3,69.95,278626.808241
2026-03-03,68.51,69.12,67.42,68.58,160678.119727
2026-03-04,68.45,70.37,67.71,70.01,255623.610266
2026-03-05,69.22,70.105,68.66,69.09,158643.07893
2026-03-06,68.11,68.545,66.03,67.0,304220.12001
2026-03-09,66.41,67.0125,64.41,65.88,225800.49149
2026-03-10,65.31,66.83,64.89,65.26,175777.745873
2026-03-11,64.75,64.75,62.59,62.96,145238.275996
2026-03-12,62.41,63.34,61.76,63.27,232963.231545
2026-03-13,64.11,64.82,63.03,64.59,213578.655562
2026-03-16,64.78,66.23,64.0,64.02,165998.33921
2026-03-17,64.84,65.6,64.51,65.04,182091.3223
2026-03-18,64.49,65.675,63.61,63.69,203107.7621
2026-03-19,63.29,63.42,60.18,60.31,300401.762157
2026-03-20,60.56,60.56,57.105,57.39,1109739.570976
2026-03-23,59.11,59.74,58.19,59.17,286323.687488
2026-03-24,58.14,59.81,57.72,58.46,260799.38938
2026-03-25,59.49,59.7525,58.0001,58.62,141579.92012
2026-03-26,57.93,59.675,57.7501,59.38,185058.12884
2026-03-27,58.74,59.17,58.0501,59.06,260914.56778
2026-03-30,59.96,61.715,59.41,61.1,325199.425396
2026-03-31,62.02,62.52,60.645,61.58,268080.80476
2026-04-01,61.1,61.91,60.3314,61.0,268724.090366
2026-04-02,60.15,61.11,59.57,60.55,218420.666218
2026-04-06,60.64,61.555,60.295,61.33,136578.14369
2026-04-07,61.35,62.22,61.35,62.17,187852.970773
2026-04-08,64.13,64.99,64.01,64.48,245038.842074
2026-04-09,64.16,66.0599,63.6,65.25,156976.6926
2026-04-10,65.01,65.32,64.11,64.6,170224.742079
2026-04-13,64.37,64.95,63.7234,64.85,133063.653142
2026-04-14,64.55,65.86,64.325,64.85,117443.919114
2026-04-15,64.78,65.8,64.2,65.29,158387.136982
2026-04-16,65.12,65.71,64.61,64.93,123264.509893
2026-04-17,65.71,68.08,65.7,67.52,172161.723948
2026-04-20,67.32,67.895,66.79,66.84,177362.956212
2026-04-21,66.98,68.14,65.74,67.25,238626.4491
2026-04-22,67.5,68.67,65.23,68.3,276132.026348
2026-04-23,66.25,71.265,65.4,70.94,302646.020674
2026-04-24,71.1,72.01,69.84,71.67,180058.609396
2026-04-27,71.45,72.6,70.81,71.85,225358.512795
2026-04-28,72.58,73.0,70.65,71.3,209967.77849
2026-04-29,70.55,71.2,69.695,70.0,149613.87826
2026-04-30,69.39,70.13,68.67,69.99,166543.689051
2026-05-01,70.27,70.27,68.47,69.1,215112.631731
2026-05-04,68.37,69.89,67.5025,68.2,136331.772197
2026-05-05,68.21,69.3,68.12,68.61,156656.913954
2026-05-06,69.45,70.1,68.27,68.99,161546.740014
2026-05-07,68.59,70.38,66.95,69.82,230208.893307
2026-05-08,69.97,70.23,68.59,69.73,133162.134728
2026-05-11,70.02,70.02,67.59,68.1,157016.332329
2026-05-12,68.22,68.435,66.74,66.84,227641.536161
2026-05-13,66.25,67.04,65.4401,66.5,212222.612318
2026-05-14,67.22,67.985,67.0,67.47,133521.0488
2026-05-15,67.43,67.77,66.635,66.79,130868.3254
2026-05-18,67.17,69.22,67.17,68.76,128234.998535
2026-05-19,68.58,68.74,66.84,66.97,104682.213798
2026-05-20,67.13,68.56,66.49,68.12,194146.138114
2026-05-21,67.21,68.69,65.945,68.06,145692.3387
2026-05-22,68.11,68.64,67.38,67.69,120759.377669
2026-05-26,67.89,68.14,67.38,68.02,91545.030728
2026-05-27,68.5,69.2,67.45,68.05,110348.315309
2026-05-28,67.46,67.85,66.08,66.11,120978.928171
2026-05-29,65.77,66.18,64.945,64.98,134494.636199
2026-06-01,64.43,64.86,63.27,63.92,189757.071339
2026-06-02,63.6,64.8532,63.6,64.05,156464.07764
2026-06-03,63.91,63.91,62.45,62.62,308103.53345
2026-06-04,63.77,64.85,63.225,63.42,246611.3573
