date,open,high,low,close,volume
2026-02-12,454.65,470.0,430.42,431.43,876346.0
2026-02-13,429.22,445.0,417.66,437.77,525757.0
2026-02-17,435.88,440.81,419.51,421.2,472555.0
2026-02-18,420.63,430.99,405.27,410.63,523484.0
2026-02-19,410.51,420.7799,394.63,415.13,558945.0
2026-02-20,414.0,445.0,414.0,435.5,664179.0
2026-02-23,428.0,436.0,423.28,434.64,524916.399434
2026-02-24,429.57,460.72,421.0,459.72,552068.037848
2026-02-25,463.07,467.525,445.01,455.25,917112.664765
2026-02-26,474.67,477.0277,415.35,433.34,909485.547218
2026-02-27,424.52,441.88,413.0,428.13,642880.449809
2026-03-02,426.62,444.8208,421.14,432.87,558128.12485
2026-03-03,414.85,423.3467,399.0,415.51,486431.306145
2026-03-04,421.74,428.74,410.62,420.22,459087.417883
2026-03-05,412.39,418.58,385.01,398.87,549233.752187
2026-03-06,381.7,404.99,376.24,395.11,751374.841687
2026-03-09,383.72,411.81,380.28,411.38,619710.717731
2026-03-10,412.18,422.14,408.3901,411.53,490670.848528
2026-03-11,411.27,429.2704,405.5,420.6,393254.843283
2026-03-12,410.43,411.99,392.7501,404.59,464141.326955
2026-03-13,406.19,412.0,390.0,398.12,358086.166794
2026-03-16,409.55,420.57,409.0,417.76,300658.117318
2026-03-17,419.56,427.25,410.5,425.51,430184.251528
2026-03-18,429.69,435.995,418.19,421.23,386853.81907
2026-03-19,410.1,440.78,408.12,431.78,414584.535709
2026-03-20,431.97,433.5,395.52,401.61,783926.668159
2026-03-23,413.0,435.0,412.94,422.55,376362.360479
2026-03-24,419.17,446.89,418.76,446.16,319690.622308
2026-03-25,454.13,460.6431,448.0,452.92,443431.008046
2026-03-26,440.48,444.95,410.72,415.93,313663.607043
2026-03-27,415.93,427.76,415.82,420.24,306052.405335
2026-03-30,421.94,425.0,375.08,382.55,747986.984449
2026-03-31,395.01,411.5099,385.0,407.27,740457.383985
2026-04-01,418.75,434.11,418.0,421.29,428637.597915
2026-04-02,402.435,432.2399,402.0,416.34,350243.102974
2026-04-06,416.125,419.26,392.05,393.71,457066.03403
2026-04-07,388.74,388.95,362.59,382.22,801385.926471
2026-04-08,413.58,425.0,409.52,423.35,549668.253016
2026-04-09,423.35,450.34,423.35,435.65,504486.878745
2026-04-10,437.1,455.0,430.01,446.36,338799.523483
2026-04-13,441.22,461.425,440.0,459.02,388690.154336
2026-04-14,465.91,472.6099,457.02,464.54,552912.547937
2026-04-15,458.42,465.14,449.0,456.08,417290.798439
2026-04-16,458.36,463.75,440.0,441.1,406062.208419
2026-04-17,451.71,466.125,445.0,463.65,594247.393921
2026-04-20,465.0,475.42,459.37,472.9,256300.20485
2026-04-21,477.405,484.34,463.13,472.84,343254.013475
2026-04-22,483.48,490.0,472.275,487.87,430651.385686
2026-04-23,495.0,504.05,484.71,495.67,447264.031089
2026-04-24,500.0,512.3599,490.5,497.18,370395.791552
2026-04-27,501.48,508.785,485.01,505.45,336768.751272
2026-04-28,494.25,498.25,465.35,471.85,429495.966202
2026-04-29,471.99,484.5,467.5701,469.75,285711.086692
2026-04-30,484.86,521.29,484.0,515.62,508970.049906
2026-05-01,521.11,537.67,508.1587,532.67,449608.499039
2026-05-04,537.85,547.9999,527.72,529.49,738518.652176
2026-05-05,727.45,807.3,704.1027,806.0,2429088.678117
2026-05-06,814.77,888.95,812.0,886.22,1348113.628656
2026-05-07,871.0,880.0,808.0,811.41,1053642.553122
2026-05-08,854.38,856.41,820.0,844.8,719905.902182
2026-05-11,851.0,875.0,842.19,868.18,598949.414016
2026-05-12,834.4,857.41,806.07,851.35,716606.473871
2026-05-13,861.77,871.87,831.9,854.28,583628.15054
2026-05-14,859.0,893.13,845.135,889.03,549897.598381
2026-05-15,859.59,859.59,831.0001,848.84,472961.018857
2026-05-18,857.69,857.69,754.73,770.76,732861.671533
2026-05-19,746.47,757.7,702.51,728.29,822561.488258
2026-05-20,744.57,756.955,725.0,752.0,560210.485099
2026-05-21,749.97,763.28,732.89,733.77,496307.621707
2026-05-22,741.11,749.45,714.7825,732.94,548251.1311
2026-05-26,755.0,788.73,749.555,783.53,563574.204403
2026-05-27,795.63,800.18,760.0,782.12,389931.939549
2026-05-28,781.74,848.0,776.0,842.96,1076870.316273
2026-05-29,850.0,870.12,843.37,860.84,1016948.595127
2026-06-01,836.24,861.0,822.62,845.39,505522.019876
2026-06-02,844.31,879.996,837.91,875.52,564718.707337
2026-06-03,879.99,971.75,875.001,957.03,1047538.697327
2026-06-04,922.2,1005.6802,908.21,993.74,818053.604529
2026-06-05,964.61,969.88,865.26,882.43,808711.732884
2026-06-08,897.695,905.41,850.0,891.86,650352.794628
2026-06-09,898.67,911.05,789.82,842.01,689591.887276
2026-06-10,839.01,864.99,770.22,770.25,764158.064112
