date,open,high,low,close,volume
2026-02-02,7.75,7.975,7.705,7.9,775408.0
2026-02-03,8.01,8.205,7.965,8.1,955981.0
2026-02-04,8.21,8.33,8.065,8.22,1104000.0
2026-02-05,8.11,8.23,7.975,8.04,1016339.0
2026-02-06,8.12,8.35,8.12,8.27,1157612.0
2026-02-09,8.25,8.53,8.14,8.47,740223.0
2026-02-10,8.43,8.52,8.215,8.23,1152947.0
2026-02-11,8.42,8.42,8.15,8.35,927733.0
2026-02-12,8.32,8.43,7.985,8.15,1132205.0
2026-02-13,8.02,8.137,7.915,7.99,1350901.0
2026-02-17,6.89,7.39,6.54,6.88,2431214.0
2026-02-18,6.99,7.0299,6.77,6.82,1878070.0
2026-02-19,6.82,6.83,6.25,6.43,2594381.0
2026-02-20,6.38,6.4099,6.055,6.22,2691123.0
2026-02-23,6.15,6.195,5.88,5.88,2246489.527404
2026-02-24,5.85,5.96,5.67,5.75,1699796.149716
2026-02-25,5.82,5.89,5.75,5.79,1735637.141442
2026-02-26,5.8,5.8,5.515,5.67,2948849.311499
2026-02-27,5.77,5.8,5.6201,5.7,1998490.510643
2026-03-02,5.62,6.115,5.52,6.1,2137070.85886
2026-03-03,5.9,6.14,5.815,6.01,1833728.884086
2026-03-04,6.1,6.49,5.985,6.39,2020774.879312
2026-03-05,6.28,6.34,6.18,6.27,2273105.970241
2026-03-06,6.14,6.22,5.815,5.92,1618168.966983
2026-03-09,5.7,5.9,5.555,5.84,3086146.76464
2026-03-10,5.8,6.03,5.73,5.87,2144613.83161
2026-03-11,5.86,6.115,5.78,6.04,2154253.778848
2026-03-12,6.02,6.2,5.91,6.19,2615536.746745
2026-03-13,6.21,6.26,5.84,6.02,1882961.155162
2026-03-16,6.0,6.03,5.75,5.82,2352857.089657
2026-03-17,5.84,5.925,5.75,5.89,1832380.08089
2026-03-18,5.84,6.05,5.77,6.05,1794636.020087
2026-03-19,5.92,6.372,5.92,6.23,2399814.6558
2026-03-20,6.32,6.32,6.01,6.01,17493496.161795
2026-03-23,6.11,6.32,5.99,6.06,3003837.717621
2026-03-24,6.12,6.675,6.1,6.55,1937538.639971
2026-03-25,6.61,6.72,6.535,6.69,1730261.290722
2026-03-26,6.65,6.775,6.59,6.62,1398231.621913
2026-03-27,6.63,6.715,6.58,6.64,1255960.604574
2026-03-30,6.71,6.72,6.53,6.58,1091395.11997
2026-03-31,6.62,6.69,6.415,6.51,1339459.499266
2026-04-01,6.48,6.605,6.35,6.38,1297679.341144
2026-04-02,6.41,6.615,6.37,6.56,895903.637618
2026-04-06,6.55,6.575,6.381,6.42,837520.095862
2026-04-07,6.43,6.51,6.355,6.41,1102689.876099
2026-04-08,6.45,6.48,6.325,6.45,1189116.331595
2026-04-09,6.43,6.541,6.13,6.23,1589270.696242
2026-04-10,6.29,6.47,6.26,6.26,893168.199851
2026-04-13,6.28,6.39,6.22,6.33,995479.910306
2026-04-14,6.31,6.355,6.125,6.17,896152.872089
2026-04-15,6.15,6.28,6.095,6.26,852404.806016
2026-04-16,6.31,6.35,6.225,6.27,1442003.396816
2026-04-17,6.21,6.3,6.08,6.26,1303842.979826
2026-04-20,6.2,6.43,6.19,6.4,995262.15371
2026-04-21,6.46,6.685,6.46,6.56,1318350.537655
2026-04-22,6.6,6.64,6.5,6.59,1295072.215074
2026-04-23,6.6,6.64,6.36,6.37,768068.90047
2026-04-24,6.34,6.555,6.275,6.51,1166109.091695
2026-04-27,6.56,6.7,6.505,6.58,1490404.715396
2026-04-28,6.63,6.76,6.535,6.74,1275319.986184
2026-04-29,6.77,6.84,6.63,6.69,1107804.469913
2026-04-30,6.53,6.875,6.02,6.82,2499769.711198
2026-05-01,6.79,6.985,6.66,6.97,1488266.327971
2026-05-04,7.01,7.02,6.74,6.9,1329417.743649
2026-05-05,6.9,7.13,6.84,7.1,1241567.403513
2026-05-06,7.08,7.28,7.035,7.25,1939848.250526
2026-05-07,7.26,7.385,7.205,7.32,1880515.242342
2026-05-08,7.3,7.4,7.255,7.32,1160400.664344
2026-05-11,7.34,7.55,7.26,7.47,1486862.862123
2026-05-12,7.4,7.6,7.3516,7.53,1657100.556226
2026-05-13,7.68,7.83,7.55,7.78,3091756.72111
2026-05-14,7.8,8.1,7.59,7.91,2452927.907307
2026-05-15,7.65,7.81,7.55,7.62,1975500.960504
2026-05-18,7.69,7.84,7.56,7.75,1695133.635372
2026-05-19,7.83,7.96,7.66,7.75,1572360.378363
2026-05-20,7.82,7.935,7.795,7.88,1418970.575908
2026-05-21,7.93,8.2,7.86,8.09,1774506.533522
2026-05-22,8.15,8.51,8.12,8.4,1920694.038405
2026-05-26,8.5,8.95,8.395,8.87,2146858.325339
2026-05-27,8.855,9.185,8.7304,9.11,1997614.704819
2026-05-28,9.1,9.295,8.95,9.25,1690323.601896
2026-05-29,9.15,9.25,8.82,9.01,4193011.748363
2026-06-01,9.06,9.42,9.01,9.4,1148517.188789
2026-06-02,9.33,9.735,9.295,9.6,1653072.105624
2026-06-03,9.5,9.51,9.23,9.34,1349260.23008
2026-06-04,9.28,9.59,9.1637,9.44,1286440.098751
2026-06-05,9.37,9.47,9.04,9.08,1125003.063908
2026-06-08,9.21,9.23,8.98,9.11,1268555.552166
2026-06-09,9.16,9.24,8.835,8.98,1322626.12392
2026-06-10,9.01,9.285,8.93,9.11,1330877.982192
2026-06-11,9.25,9.46,9.1513,9.45,1098183.10537
2026-06-12,9.45,9.71,9.44,9.59,957481.786274
