date,open,high,low,close,volume
2026-02-02,21.86,22.4875,21.78,22.02,2164087.0
2026-02-03,21.57,21.66,19.58,20.05,2594330.0
2026-02-04,19.8,20.49,19.55,19.72,4695787.0
2026-02-05,21.06,22.06,19.15,19.76,11370335.0
2026-02-06,20.21,21.56,19.845,21.23,5247160.0
2026-02-09,21.22,21.94,21.12,21.87,3636306.0
2026-02-10,22.52,23.35,22.29,22.9,3697198.0
2026-02-11,22.665,23.205,21.895,22.55,4461566.0
2026-02-12,22.63,22.8999,21.67,22.12,2485878.0
2026-02-13,22.3,22.77,22.16,22.55,2514139.0
2026-02-17,22.97,23.08,21.83,22.1,2747084.0
2026-02-18,21.88,22.15,21.7,21.99,2037567.0
2026-02-19,22.02,22.164,21.59,21.82,1906149.0
2026-02-20,21.8,22.575,19.78,19.91,4615912.0
2026-02-23,19.71,19.89,17.275,17.55,5483614.418337
2026-02-24,17.65,18.72,17.43,18.29,3878091.96728
2026-02-25,18.36,19.09,17.89,19.0,3869528.631134
2026-02-26,19.195,20.07,19.05,19.38,3156382.387428
2026-02-27,18.755,19.39,18.299,19.23,2334571.440051
2026-03-02,18.752,19.94,18.752,19.64,2308668.331202
2026-03-03,19.09,20.13,18.95,19.96,2085972.861648
2026-03-04,19.96,20.49,19.64,20.39,2856419.312617
2026-03-05,20.17,21.29,20.17,21.18,2825100.765708
2026-03-06,21.0,21.235,20.56,21.04,2900360.37198
2026-03-09,20.8,21.16,20.35,21.02,2509551.197186
2026-03-10,21.02,21.02,20.01,20.69,2470860.537083
2026-03-11,20.9,21.07,19.84,20.51,1916511.875167
2026-03-12,20.28,20.79,19.9,20.29,2011762.612484
2026-03-13,20.25,20.61,19.8,20.29,1486751.729052
2026-03-16,20.5,20.84,19.81,20.1,3435128.510609
2026-03-17,20.24,21.205,20.11,20.24,3212133.610814
2026-03-18,19.97,20.64,19.855,20.34,1317753.274834
2026-03-19,20.29,20.67,19.9,20.19,2131646.854713
2026-03-20,20.04,20.04,19.32,19.84,6407034.954369
2026-03-23,20.26,20.58,19.88,20.27,1617349.858276
2026-03-24,19.99,19.99,18.55,18.94,3060428.492777
2026-03-25,19.3,19.66,18.0,18.11,2647258.67047
2026-03-26,17.99,18.8,17.86,18.29,2700256.503824
2026-03-27,17.82,17.87,15.85,16.54,4835104.924561
2026-03-30,16.78,17.48,16.66,17.06,2210174.816043
2026-03-31,17.24,17.31,16.78,16.915,3941612.121283
2026-04-01,17.17,17.295,16.71,17.05,2763148.365429
2026-04-02,17.03,17.6,16.67,17.58,2852129.869894
2026-04-06,17.74,18.48,17.74,18.46,2397987.40368
2026-04-07,18.3,18.725,18.15,18.2,3166225.780855
2026-04-08,18.75,19.15,17.62,17.93,5257779.477612
2026-04-09,17.76,17.89,15.735,16.41,4680955.955607
2026-04-10,16.49,16.64,15.725,16.04,3669300.936767
2026-04-13,16.07,17.48,16.03,17.41,4110319.293019
2026-04-14,17.57,18.065,17.47,17.87,4124228.529279
2026-04-15,18.1,19.25,18.1,18.93,3617192.231755
2026-04-16,19.09,19.83,18.62,19.03,3687706.053219
2026-04-17,19.64,19.87,18.945,19.35,3183168.155731
2026-04-20,19.32,19.88,19.3,19.52,2300585.216843
2026-04-21,19.69,20.945,19.63,20.11,3357824.566498
2026-04-22,20.29,20.77,20.16,20.57,2060132.271989
2026-04-23,19.85,20.36,19.015,19.48,3064979.137736
2026-04-24,19.67,20.07,19.39,20.02,2082739.633631
2026-04-27,19.87,20.59,19.72,20.47,2639862.105913
2026-04-28,20.7,21.21,20.28,20.44,3164941.734827
2026-04-29,20.2,21.78,20.0,21.47,5569183.497755
2026-04-30,20.28,22.34,20.0,20.89,8133472.959103
2026-05-01,21.28,21.87,20.47,21.23,3715606.524735
2026-05-04,21.21,21.7687,20.71,20.83,3836733.08653
2026-05-05,20.93,21.31,20.7,21.02,2403847.422217
2026-05-06,21.67,21.7,20.36,21.16,3936843.753363
2026-05-07,21.68,22.17,21.33,21.54,3493835.817888
2026-05-08,21.29,21.865,20.705,21.83,3751079.433393
2026-05-11,21.79,22.13,21.04,21.31,2320062.378531
2026-05-12,21.39,21.69,20.77,21.01,2096850.45686
2026-05-13,20.795,21.48,20.06,20.58,3794786.771722
2026-05-14,20.74,21.03,20.35,20.45,2897278.286703
2026-05-15,20.575,21.54,20.37,21.49,2811529.993559
2026-05-18,21.45,23.26,21.215,23.12,4146734.584155
2026-05-19,23.68,25.3,22.99,25.25,6353813.208129
2026-05-20,25.46,25.91,24.73,25.5,6557424.307398
2026-05-21,24.815,26.16,24.2983,25.17,5016423.339003
2026-05-22,25.29,25.78,25.0175,25.45,3798507.212435
2026-05-26,25.21,26.23,24.8,25.82,2940816.339737
2026-05-27,25.34,25.66,24.3,24.45,2104186.473903
2026-05-28,24.81,26.07,24.56,25.95,3296590.771029
2026-05-29,26.28,28.54,26.28,28.23,4449276.196353
2026-06-01,29.03,29.64,28.45,29.32,5911866.147507
2026-06-02,28.0,30.93,27.708,30.9,4736054.480145
2026-06-03,30.88,30.88,29.565,29.69,6409207.316888
2026-06-04,29.31,30.13,28.53,29.29,3874993.739926
2026-06-05,29.24,29.6,27.58,27.85,2867835.578636
