date,open,high,low,close,volume
2026-02-06,111.57,115.82,111.57,115.55,7804406.0
2026-02-09,115.27,116.2,113.73,115.52,4507549.0
2026-02-10,115.5,117.17,113.15,113.23,4955185.0
2026-02-11,112.94,114.78,112.31,114.61,6611961.0
2026-02-12,114.98,116.37,111.86,112.69,5588428.0
2026-02-13,113.41,116.15,112.62,115.76,6597145.0
2026-02-17,116.9,118.38,114.19,116.54,6258939.0
2026-02-18,115.75,116.83,114.75,115.66,5608103.0
2026-02-19,115.2,116.26,114.62,115.66,3631511.0
2026-02-20,115.27,118.98,114.45,116.69,6285894.0
2026-02-23,116.08,116.715,112.805,113.34,7924830.127298
2026-02-24,113.4,115.58,113.4,115.52,4977552.394189
2026-02-25,115.75,116.48,114.61,116.44,4522055.256141
2026-02-26,117.48,118.7,113.96,114.79,5930323.602083
2026-02-27,113.0,113.88,111.11,113.79,6417010.186159
2026-03-02,111.84,114.38,111.25,113.17,6301850.162632
2026-03-03,116.01,122.43,115.0,120.8,15692195.490546
2026-03-04,123.96,126.0,119.885,120.08,9496020.317762
2026-03-05,119.77,120.88,118.09,120.36,7130940.855478
2026-03-06,119.17,120.79,117.0,120.79,5979671.82579
2026-03-09,118.66,120.155,115.75,120.14,6005492.502653
2026-03-10,119.49,122.47,118.57,120.74,4400011.677759
2026-03-11,120.33,121.26,118.5,118.78,4422332.086022
2026-03-12,117.43,117.905,115.19,115.75,6215334.613332
2026-03-13,116.4,117.89,115.56,117.34,5282631.418998
2026-03-16,118.0,118.45,116.0,117.05,4858546.354799
2026-03-17,117.505,118.4599,116.16,116.76,4347536.442097
2026-03-18,116.52,117.365,114.79,115.05,5267451.27413
2026-03-19,114.66,116.09,113.42,114.47,6549613.257121
2026-03-20,114.0,115.27,112.69,113.26,19717452.967454
2026-03-23,114.63,116.49,114.01,114.93,6381919.984785
2026-03-24,113.82,116.05,113.01,115.92,4991742.399865
2026-03-25,117.5,117.65,114.685,116.37,4407977.231515
2026-03-26,115.88,118.35,115.685,117.0,3403145.638934
2026-03-27,117.1,121.46,116.5,119.84,8112912.018313
2026-03-30,120.12,121.5,117.94,118.78,4425179.151396
2026-03-31,119.9,121.34,118.78,121.2,4662081.150737
2026-04-01,121.15,122.145,120.41,120.45,4250948.579976
2026-04-02,120.3,121.51,119.15,120.45,5348064.722034
2026-04-06,120.5,122.45,120.43,122.21,4059499.508305
2026-04-07,122.3,122.91,118.61,119.52,3799465.522042
2026-04-08,120.57,123.33,120.0,123.12,3634086.82767
2026-04-09,122.26,124.22,121.5,124.03,4093506.726819
2026-04-10,124.34,124.46,121.3101,121.89,3699828.913472
2026-04-13,120.43,121.09,117.36,117.88,5800570.640776
2026-04-14,117.8,119.62,116.83,119.53,5189054.137853
2026-04-15,119.73,123.295,118.79,122.87,5232382.463365
2026-04-16,123.44,124.07,121.61,123.91,4292989.45655
2026-04-17,124.1,128.05,123.275,127.84,5844767.943791
2026-04-20,127.85,130.19,126.87,130.18,5819101.267576
2026-04-21,130.35,133.1,129.7,132.1,5745933.49662
2026-04-22,132.515,132.515,130.02,130.6,5141424.14948
2026-04-23,130.54,131.5,129.44,130.17,3595155.737184
2026-04-24,130.015,130.015,128.1,129.26,3129314.301004
2026-04-27,129.505,130.76,127.471,129.72,5824301.262207
2026-04-28,130.52,130.9999,126.9701,127.14,3728469.9819
2026-04-29,126.59,128.04,125.33,127.87,3760123.134814
2026-04-30,128.49,129.79,127.7001,129.75,5436552.779449
2026-05-01,129.81,131.31,128.8,128.89,3728959.279691
2026-05-04,128.44,131.2,127.27,127.76,3118157.185371
2026-05-05,128.21,129.75,127.405,128.82,4206831.958349
2026-05-06,129.49,131.98,129.12,130.19,4423144.83543
2026-05-07,129.24,129.8,123.63,125.88,7538992.2486
2026-05-08,127.86,127.87,123.82,125.25,3883687.921641
2026-05-11,125.55,125.69,117.67,118.44,7589692.421335
2026-05-12,121.0,122.75,120.06,121.8,5623788.361184
2026-05-13,120.73,121.61,119.12,121.48,3964805.752259
2026-05-14,121.61,123.7399,121.29,123.08,4160293.518209
2026-05-15,123.44,123.48,120.5,121.54,3661369.591949
2026-05-18,121.82,123.55,120.08,123.4,3708123.065412
2026-05-19,122.78,127.49,120.245,127.24,10539835.810432
2026-05-20,120.21,123.13,117.05,122.33,20309256.390441
2026-05-21,120.83,126.52,117.805,126.15,9959869.963793
2026-05-22,127.49,127.98,125.11,125.6,4946468.106161
