date,open,high,low,close,volume
2026-02-02,24.72,24.82,24.72,24.77,1696.0
2026-02-03,25.015,25.015,24.65,24.9,12864.0
2026-02-04,24.86,24.86,24.02,24.2562,1154.0
2026-02-05,24.0,24.03,23.86,23.942,7256.0
2026-02-06,23.93,24.2278,23.93,24.2278,797.0
2026-02-09,24.19,24.535,24.19,24.4815,1009.0
2026-02-10,24.4,24.413,24.2716,24.2716,827.0
2026-02-11,24.49,24.49,24.342,24.342,388.0
2026-02-12,23.9483,23.9483,23.9483,23.9483,212.0
2026-02-13,24.02,24.13,23.9937,23.9937,5777.0
2026-02-17,23.84,24.09,23.75,23.9687,4781.0
2026-02-18,24.23,24.23,24.1315,24.1315,215.0
2026-02-19,24.1,24.23,24.01,24.2234,2681.0
2026-02-20,24.27,24.27,24.2,24.239,1906.0
2026-02-23,24.2,24.2,24.0,24.0198,1496.4161
2026-02-24,24.04,24.25,24.04,24.2426,2005.2651
2026-02-25,24.39,24.39,24.3235,24.3235,777.8751
2026-02-26,24.11,24.2609,24.11,24.2609,1459.7041
2026-02-27,24.18,24.19,24.08,24.1717,1742.8231
2026-03-02,24.23,24.3,24.23,24.3,9213.8786
2026-03-03,23.6916,23.96,23.69,23.8814,39036.578782
2026-03-04,24.23,24.26,24.174,24.174,9246.0941
2026-03-05,24.14,24.14,23.79,23.9626,11587.2791
2026-03-06,23.91,23.93,23.7404,23.7404,579.0621
2026-03-09,23.815,23.9548,23.76,23.9548,1483.8101
2026-03-10,24.01,24.01,23.9298,23.9298,1333.6281
2026-03-11,23.9899,24.0034,23.9899,24.0034,336.2687
2026-03-12,23.7622,23.7622,23.7622,23.7622,153.9711
2026-03-13,23.93,23.93,23.6647,23.6647,2829.4891
2026-03-16,23.92,23.92,23.8046,23.8046,6762.4441
2026-03-17,23.93,23.96,23.8799,23.96,1704.8803
2026-03-18,23.88,23.92,23.7684,23.7684,3248.5851
2026-03-19,23.44,23.5791,23.36,23.5791,2327.3741
2026-03-20,23.42,23.42,23.08,23.08,1313.9785
2026-03-23,23.17,23.28,23.17,23.2236,592.8221
2026-03-24,23.08,23.14,23.0501,23.0501,2545.3551
2026-03-25,23.25,23.35,23.23,23.2961,2660.4501
2026-03-26,23.1,23.1,22.7965,22.7965,586.3971
2026-03-27,22.7,22.7,22.5279,22.5279,633.443
2026-03-30,22.52,22.52,22.3089,22.3089,182.7644
2026-03-31,22.46,22.7996,22.46,22.7996,882.4251
2026-04-01,22.94,23.14,22.94,23.0994,1387.899
2026-04-02,23.069,23.2469,23.069,23.2469,720.4021
2026-04-06,23.2701,23.33,23.2701,23.3172,16966.9471
2026-04-07,23.31,23.3879,23.31,23.3879,1118.2471
2026-04-08,23.93,24.03,23.83,23.9521,6589.3571
2026-04-09,23.97,24.1919,23.97,24.1919,5684.1785
2026-04-10,24.33,24.38,24.26,24.3084,7668.7661
2026-04-13,24.24,24.4568,24.24,24.4568,4744.2621
2026-04-14,24.55,24.7215,24.55,24.7215,1449.3191
2026-04-15,24.7,24.9431,24.69,24.9431,2656.2041
2026-04-16,24.89,25.0412,24.89,25.0412,3592.7493
2026-04-17,25.1,25.1354,25.1,25.1354,756.6442
2026-04-20,25.01,25.01,24.94,24.9651,1902.6442
2026-04-21,24.91,24.91,24.8309,24.8309,560.6442
2026-04-22,25.01,25.1956,25.01,25.1956,1283.7882
2026-04-23,25.035,25.0551,25.03,25.0551,2805.6442
2026-04-24,25.39,25.4628,25.39,25.4628,2501.7222
2026-04-27,25.45,25.55,25.44,25.5148,11167.1546
2026-04-28,25.29,25.36,25.23,25.3299,7233.756353
2026-04-29,25.33,25.3952,25.33,25.3952,2419.4993
2026-04-30,25.58,25.6445,25.37,25.6445,790.597374
2026-05-01,25.68,25.88,25.68,25.8125,694.0553
2026-05-04,25.76,26.0,25.76,25.8034,14437.6273
2026-05-05,26.0,26.1799,26.0,26.1627,11303.069207
2026-05-06,26.44,26.5977,26.41,26.5977,3404.0313
2026-05-07,26.64,26.64,26.415,26.4711,13899.4993
2026-05-08,26.71,26.72,26.7062,26.7062,2907.4993
2026-05-11,26.81,26.88,26.81,26.8302,4352.9181
2026-05-12,26.58,26.775,26.4699,26.775,6327.82732
2026-05-13,26.77,27.12,26.76,27.0666,10544.0853
2026-05-14,27.085,27.23,27.085,27.21,6972.253
2026-05-15,26.84,26.84,26.7751,26.7751,469.253
2026-05-18,26.86,26.87,26.57,26.75,2735.664
2026-05-19,26.69,26.69,26.54,26.65,1001.4849
2026-05-20,26.86,26.86,26.78,26.8206,2288.1946
2026-05-21,26.8101,26.9213,26.76,26.9213,1154.6133
2026-05-22,26.93,27.05,26.93,26.945,1858.3789
2026-05-26,27.17,27.32,27.17,27.2692,9590.0566
2026-05-27,27.25,27.2996,27.21,27.27,11204.1946
2026-05-28,27.18,27.37,27.18,27.3535,446.773607
2026-05-29,27.22,27.38,27.22,27.3082,2943.8186
2026-06-01,27.26,27.4499,27.26,27.3929,5470.0956
2026-06-02,27.35,27.45,27.35,27.3902,1428.881044
2026-06-03,27.33,27.35,27.1905,27.1905,1729.4736
2026-06-04,27.04,27.29,27.03,27.2175,1444.4736
2026-06-05,26.8,26.8,26.4155,26.4155,356.8536
2026-06-08,26.58,26.61,26.454,26.454,2182.6006
2026-06-09,26.625,26.67,26.0,26.2003,30345.6726
2026-06-10,26.03,26.21,25.8606,25.8606,5406.1346
2026-06-11,26.0,26.35,25.965,26.3156,4782.5126
2026-06-12,26.31,26.56,26.31,26.41,4096.9646
