date,open,high,low,close,volume
2026-02-02,345.01,351.9899,335.43,340.8,961644.0
2026-02-03,343.33,345.545,328.63,341.42,839342.0
2026-02-04,341.87,341.87,310.0,317.05,1535044.0
2026-02-05,312.65,326.3,310.0,324.63,1139571.0
2026-02-06,332.495,349.112,332.495,345.0,844402.0
2026-02-09,343.86,359.51,343.86,353.66,860879.0
2026-02-10,357.54,366.85,334.0,357.93,1810476.0
2026-02-11,363.9,364.54,344.375,354.62,792923.0
2026-02-12,361.11,371.42,353.69,367.81,943998.0
2026-02-13,365.05,381.0,361.3,376.7,663514.0
2026-02-17,375.73,388.68,368.4431,388.28,531711.0
2026-02-18,388.64,390.0,376.25,380.29,817799.0
2026-02-19,380.29,383.8899,376.95,380.06,481054.0
2026-02-20,381.6,389.6,377.29,382.25,607226.0
2026-02-23,379.28,385.0,361.87,367.84,593264.713504
2026-02-24,367.75,376.99,354.15,375.24,479642.29742
2026-02-25,379.52,392.24,376.57,391.43,656864.407698
2026-02-26,391.16,393.05,379.28,390.05,633084.943826
2026-02-27,387.0,397.4,362.185,370.97,1241172.106568
2026-03-02,364.42,373.06,352.03,353.24,808158.237076
2026-03-03,339.86,346.19,334.17,341.39,1007884.340874
2026-03-04,340.04,350.0,336.0,336.57,1159001.085483
2026-03-05,330.32,344.91,326.94,334.86,713203.171283
2026-03-06,328.05,338.01,319.94,320.56,691747.24099
2026-03-09,314.1,337.11,310.8267,335.11,1033712.02811
2026-03-10,336.98,343.84,330.0,331.58,691888.551478
2026-03-11,329.69,332.265,315.0,316.22,984726.431864
2026-03-12,310.5,317.065,307.79,311.45,991336.787017
2026-03-13,314.5,321.85,312.241,316.14,607049.831732
2026-03-16,323.32,327.1,313.56,317.6,684437.056632
2026-03-17,320.34,327.75,319.05,327.14,917665.532772
2026-03-18,329.6,345.29,329.11,338.6,707756.887169
2026-03-19,332.0,342.47,328.0,340.07,386946.80394
2026-03-20,336.36,337.405,301.45,302.97,1834753.765844
2026-03-23,308.01,320.14,306.53,311.02,943493.822931
2026-03-24,310.55,319.29,308.5095,315.77,545605.364248
2026-03-25,318.82,330.0,318.82,328.29,776337.002914
2026-03-26,327.78,335.0,318.415,323.13,595767.489478
2026-03-27,322.07,329.7,317.73,324.54,478014.538871
2026-03-30,328.23,329.0,310.5,313.03,691345.291333
2026-03-31,307.76,321.0,302.0,319.23,884864.026743
2026-04-01,325.03,332.48,324.5394,328.08,451544.762646
2026-04-02,323.1,331.22,316.0,327.58,427535.230804
2026-04-06,327.98,330.76,320.13,324.09,373118.47146
2026-04-07,323.67,331.555,320.271,330.07,290694.727597
2026-04-08,344.755,346.68,327.38,328.65,833745.593133
2026-04-09,327.96,334.0,310.98,312.76,1075835.011103
2026-04-10,312.26,325.48,312.26,321.33,481087.073751
2026-04-13,317.33,331.585,316.805,326.08,734608.243467
2026-04-14,334.73,347.795,331.265,345.76,947838.125711
2026-04-15,351.96,358.62,345.93,353.3,745652.936996
2026-04-16,354.445,362.88,351.0,362.4,639756.033506
2026-04-17,367.5,371.0,357.2,365.35,937567.29232
2026-04-20,360.0,362.6,343.28,346.26,777648.384912
2026-04-21,346.4,351.79,328.32,329.74,560255.964403
2026-04-22,338.17,343.79,332.0,339.32,611662.500674
2026-04-23,339.92,350.0,338.32,345.25,356809.994943
2026-04-24,347.74,364.85,343.99,364.32,567061.430799
2026-04-27,368.46,370.0,352.01,369.67,515456.38501
2026-04-28,362.48,367.65,355.0,361.17,398803.62489
2026-04-29,362.85,363.0,347.0,351.91,487713.211341
2026-04-30,356.68,375.45,356.64,372.42,675655.043583
2026-05-01,375.39,383.82,367.94,372.16,574633.3756
2026-05-04,375.09,385.13,373.1,384.64,749642.251998
2026-05-05,390.39,391.37,384.43,384.9,615357.769599
2026-05-06,400.64,412.83,388.71,409.99,1183587.583517
2026-05-07,410.535,416.68,384.0,390.55,841089.39889
2026-05-08,397.9,397.99,381.1,386.37,521761.264227
2026-05-11,389.24,389.24,376.62,383.44,632977.881579
2026-05-12,378.52,380.0,368.38,374.61,639963.838951
2026-05-13,375.43,379.1799,336.219,351.03,1471051.702496
2026-05-14,349.77,356.62,347.91,352.88,595884.769661
2026-05-15,346.45,346.735,331.37,334.24,646965.303104
2026-05-18,332.02,336.1,319.8,324.21,580996.927069
2026-05-19,320.0,320.07,309.36,314.57,844176.082333
2026-05-20,331.77,347.2,329.25,344.46,886642.625131
2026-05-21,344.52,360.9,344.52,360.48,868589.736695
2026-05-22,364.99,378.5,362.99,372.45,847953.280479
2026-05-26,378.53,394.63,378.0,389.0,1277812.186633
2026-05-27,390.99,391.0,376.88,379.78,667713.61075
2026-05-28,377.94,390.26,370.0,381.47,527070.72058
2026-05-29,383.0,391.345,374.99,386.8,674375.28817
2026-06-01,374.88,380.78,366.0,377.2,763349.86915
2026-06-02,380.79,391.7,371.35,385.51,733166.032409
2026-06-03,383.05,385.51,376.52,379.59,725256.558279
2026-06-04,373.33,379.97,372.205,378.08,524131.655729
2026-06-05,371.72,375.09,359.83,364.74,1058993.395314
2026-06-08,369.9,370.25,360.74,364.78,357727.600281
2026-06-09,369.02,372.0,343.62,358.74,630991.076514
2026-06-10,351.9,355.15,329.13,336.59,1096532.497366
2026-06-11,339.23,350.0,337.515,344.8,464460.889543
2026-06-12,350.0,362.0,348.835,360.54,753818.100444
