date,open,high,low,close,volume
2026-02-06,27.69,28.1,26.99,27.73,14962602.0
2026-02-09,27.45,28.685,27.12,28.65,15525266.0
2026-02-10,29.13,30.035,28.9,29.47,12715716.0
2026-02-11,29.25,29.44,27.6403,28.02,17346711.0
2026-02-12,28.02,28.26,25.91,26.14,24511777.0
2026-02-13,27.0,28.495,26.705,27.33,33958192.0
2026-02-17,27.475,28.62,27.245,27.66,15925669.0
2026-02-18,27.87,28.3699,27.47,27.67,11444686.0
2026-02-19,27.29,27.75,26.9,27.64,7632493.0
2026-02-20,27.39,28.04,26.98,27.07,8934613.0
2026-02-23,26.7,26.7,24.99,25.07,14824621.508418
2026-02-24,24.84,25.63,24.35,25.57,11271585.730993
2026-02-25,25.63,26.97,25.19,26.81,10438179.931963
2026-02-26,26.9,27.836,26.73,27.75,11445068.457684
2026-02-27,27.11,27.72,26.72,27.31,11318572.817325
2026-03-02,26.7,27.695,26.62,27.57,9734512.009809
2026-03-03,26.88,29.8,26.61,29.11,16631063.907143
2026-03-04,29.04,29.58,28.425,29.47,10698519.808544
2026-03-05,29.45,30.54,29.4108,30.51,18155364.330902
2026-03-06,30.09,31.05,29.4347,30.29,16168010.830066
2026-03-09,29.61,29.79,28.32,29.49,12204499.596498
2026-03-10,29.13,29.5,28.25,28.9,8201059.10931
2026-03-11,29.04,29.55,27.9,28.7,6264340.63707
2026-03-12,28.55,29.46,27.59,27.6,13034224.712147
2026-03-13,28.24,28.45,27.5,27.6,8303165.156944
2026-03-16,27.67,28.63,27.67,28.1,10595466.89821
2026-03-17,28.32,29.11,28.06,28.39,7974529.976893
2026-03-18,28.21,28.58,27.48,27.85,9467237.701174
2026-03-19,27.6,28.17,26.94,27.4,7243097.796315
2026-03-20,27.15,27.85,26.78,27.46,10949724.093583
2026-03-23,27.77,28.05,27.29,27.56,9995834.186015
2026-03-24,27.55,27.71,26.39,26.61,13683281.87445
2026-03-25,27.25,27.78,25.985,26.81,10803678.735713
2026-03-26,26.6,27.31,26.32,26.39,10213168.159534
2026-03-27,26.02,26.13,25.45,25.64,13564528.624839
2026-03-30,25.65,26.205,25.26,26.06,9024534.682686
2026-03-31,26.46,26.895,25.71,26.51,9521434.005715
2026-04-01,26.86,26.89,25.3,26.07,12398873.91428
2026-04-02,25.78,26.74,25.475,26.47,9601414.221074
2026-04-06,26.43,27.21,26.43,27.02,7689389.826962
2026-04-07,26.8,27.2,25.94,25.97,6817482.987876
2026-04-08,27.19,27.865,26.06,26.21,7567575.694198
2026-04-09,25.95,26.0,24.8,25.96,9915334.370198
2026-04-10,25.92,26.19,24.89,25.4,11672445.017752
2026-04-13,25.4,27.28,25.355,27.15,12235449.319965
2026-04-14,27.75,28.18,26.9,27.1,8169472.109148
2026-04-15,27.13,28.23,27.06,28.16,8413401.933109
2026-04-16,28.74,29.27,28.365,28.5,7676701.132199
2026-04-17,29.0,29.2,28.67,29.08,8639830.414615
2026-04-20,28.94,29.43,28.765,29.18,7642706.846281
2026-04-21,29.02,29.655,28.44,28.67,7804233.687159
2026-04-22,29.08,29.47,28.85,29.46,5780744.280394
2026-04-23,28.82,29.0752,27.41,27.92,8966965.445741
2026-04-24,28.07,29.07,27.695,29.04,12284701.857273
2026-04-27,28.88,29.445,28.5907,28.65,8090141.060058
2026-04-28,28.86,29.42,28.475,28.99,7327604.694678
2026-04-29,28.76,29.06,28.44,28.62,5833460.549579
2026-04-30,28.4,28.845,27.84,28.52,7423514.401915
2026-05-01,29.27,29.63,28.79,29.11,7939664.174333
2026-05-04,29.25,30.36,29.05,29.41,11342598.716629
2026-05-05,29.29,29.46,28.124,28.54,14293761.71198
2026-05-06,28.75,29.0,28.3,28.31,7568798.819077
2026-05-07,28.81,29.83,28.81,29.38,16362462.038194
2026-05-08,25.2,26.0,24.04,25.05,34891628.898371
2026-05-11,25.29,25.615,23.93,24.19,14592474.055105
2026-05-12,23.62,23.67,22.925,23.26,22295251.359084
2026-05-13,23.1,23.11,22.26,22.33,16465817.906354
2026-05-14,22.42,23.31,22.29,23.07,11179494.829668
2026-05-15,23.19,23.56,22.83,23.05,12702344.156092
2026-05-18,22.96,23.4,22.57,22.64,15074465.189003
2026-05-19,22.97,23.77,22.53,23.22,22078052.845069
2026-05-20,23.15,23.575,22.44,23.32,13598328.110817
2026-05-21,23.07,23.29,22.45,23.04,7110698.713261
2026-05-22,23.04,23.51,23.0,23.16,7542773.120328
