date,open,high,low,close,volume
2026-02-02,25.062,25.062,25.062,25.062,6.0
2026-02-03,25.0361,25.0361,25.0361,25.0361,113.0
2026-02-04,24.48,24.48,24.48,24.48,51.0
2026-02-05,24.1684,24.1684,24.1684,24.1684,34.0
2026-02-06,25.1,25.1,25.1,25.1,1.0
2026-02-09,25.68,25.69,25.6369,25.6369,810.0
2026-02-10,25.4246,25.4246,25.4246,25.4246,165.0
2026-02-11,25.5498,25.5498,25.5498,25.5498,103.0
2026-02-13,25.38,25.38,25.3307,25.3307,200.0
2026-02-17,25.4877,25.4877,25.4877,25.4877,132.0
2026-02-19,25.5,25.6701,25.5,25.6701,478.0
2026-02-20,26.1289,26.1289,26.1289,26.1289,171.0
2026-02-23,26.0636,26.0636,26.0636,26.0636,7.0
2026-02-24,26.3116,26.3116,26.3116,26.3116,107.0
2026-02-25,26.905,26.905,26.7803,26.7803,225.0
2026-02-26,26.35,26.35,26.2194,26.2194,510.141
2026-02-27,26.23,26.3372,26.23,26.3372,1181.0
2026-03-02,26.58,26.8112,26.58,26.8112,655.0
2026-03-03,25.86,26.1502,25.72,26.1502,1062.038
2026-03-04,26.54,26.55,26.0247,26.2588,1258.0
2026-03-05,25.58,25.7819,25.5,25.7819,763.0
2026-03-06,25.3,25.3,25.0889,25.0889,174.0
2026-03-09,25.13,25.5533,25.13,25.5533,384.0
2026-03-10,25.91,26.09,25.714,25.714,755.0
2026-03-11,25.5366,25.5366,25.5366,25.5366,24.0
2026-03-12,25.07,25.245,25.0339,25.0339,2543.960723
2026-03-13,24.8588,24.8588,24.8588,24.8588,19.0
2026-03-16,25.1768,25.1768,25.1768,25.1768,87.0
2026-03-17,25.1939,25.1939,25.1939,25.1939,61.0
2026-03-18,25.1133,25.1133,25.1133,25.1133,10.0
2026-03-19,25.2093,25.2093,25.2093,25.2093,102.976
2026-03-20,24.4701,24.53,24.2341,24.2341,1417.0
2026-03-23,24.7469,24.7469,24.7469,24.7469,157.0
2026-03-24,25.0636,25.0636,25.0636,25.0636,107.0
2026-03-25,25.37,25.37,25.2907,25.2907,103.0
2026-03-26,24.47,24.47,24.3734,24.3734,266.0
2026-03-27,24.1706,24.1706,24.1706,24.1706,31.0
2026-03-30,23.73,23.73,23.6698,23.6698,2097.042
2026-03-31,24.15,24.5269,24.1499,24.5269,1399.0
2026-04-01,25.2,25.2,24.9061,24.9061,612.0
2026-04-02,24.404,24.9313,24.404,24.9313,124.0
2026-04-06,24.9654,24.9654,24.9654,24.9654,23.0
2026-04-07,25.0801,25.0801,25.0801,25.0801,163.0
2026-04-08,26.34,26.34,26.2353,26.2353,162.0
2026-04-09,26.4498,26.4498,26.4498,26.4498,178.0
2026-04-10,26.96,27.06,26.9454,26.9454,4865.0
2026-04-13,27.1257,27.1257,27.1257,27.1257,191.0
2026-04-14,27.38,27.59,27.38,27.59,648.0
2026-04-15,27.2407,27.2407,27.2407,27.2407,78.0
2026-04-16,27.35,27.36,27.26,27.36,1135.0
2026-04-17,28.02,28.02,27.7515,27.7515,408.054
2026-04-20,27.6825,27.6825,27.6825,27.6825,41.0
2026-04-21,27.3684,27.3684,27.3684,27.3684,241.054
2026-04-22,27.675,27.7219,27.675,27.7219,507.0
2026-04-23,27.635,27.635,27.41,27.5478,3162.0
2026-04-24,28.0794,28.19,28.075,28.075,3025.0
2026-04-27,27.72,27.9507,27.72,27.9507,1140.0
2026-04-28,27.2,27.4465,27.2,27.4465,1062.0
2026-04-29,27.18,27.292,27.18,27.292,1288.0
2026-04-30,27.34,27.8,27.34,27.78,1837.924
2026-05-01,27.92,27.9499,27.8539,27.8539,1082.0
2026-05-04,27.78,27.8202,27.78,27.8202,427.0
2026-05-05,28.055,28.23,28.055,28.0989,706.0
2026-05-06,28.88,29.0204,28.88,29.0204,264.2004
2026-05-07,28.85,28.85,28.433,28.433,2632.0
2026-05-08,28.87,28.9,28.65,28.8772,4330.0
2026-05-11,29.16,29.45,29.16,29.3926,1152.0
2026-05-12,29.1757,29.1757,29.1757,29.1757,146.0
2026-05-13,29.17,29.5902,29.17,29.5902,560.0
2026-05-14,29.84,29.93,29.84,29.8853,546.603
2026-05-15,29.153,29.153,29.153,29.153,81.0
2026-05-18,28.96,28.9601,28.745,28.8198,1205.0
2026-05-19,28.55,28.69,28.4969,28.4969,1954.0
2026-05-20,28.975,29.0814,28.975,29.0814,282.0
2026-05-21,29.382,29.382,29.382,29.382,175.0
2026-05-22,29.72,29.72,29.4197,29.4197,1371.0
2026-05-26,29.98,29.99,29.67,29.7554,3260.964
2026-05-27,29.695,29.8846,29.695,29.8846,221.0
2026-05-28,29.785,29.785,29.7361,29.7361,465.0
2026-05-29,29.5,29.5339,29.4999,29.5339,437.0
2026-06-01,29.305,29.73,29.305,29.6387,953.025
2026-06-02,30.075,30.4483,30.075,30.4483,790.237
2026-06-03,30.17,30.17,30.1256,30.1256,693.0
2026-06-04,29.64,30.36,29.64,30.2425,2013.0
2026-06-05,28.8656,28.8656,28.8656,28.8656,129.0
