date,open,high,low,close,volume
2026-02-02,53.16,55.71,53.15,55.1,74665794.0
2026-02-03,55.64,55.7565,51.08,52.52,129992150.0
2026-02-04,52.14,52.15,48.43,49.76,142536211.0
2026-02-05,48.39,49.5297,47.06,47.64,158712865.0
2026-02-06,48.34,51.005,47.995,50.59,117934624.0
2026-02-09,50.06,52.27,49.44,51.74,71272728.0
2026-02-10,51.97,52.4,50.89,51.02,70660921.0
2026-02-11,52.21,52.5,50.0416,51.4,92393807.0
2026-02-12,51.8,52.0698,47.99,48.26,131150002.0
2026-02-13,48.15,49.5925,47.18,48.47,123216560.0
2026-02-17,47.64,48.98,46.42,48.35,117089669.0
2026-02-18,48.53,50.3603,48.2,49.39,81370841.0
2026-02-19,48.67,49.4,48.16,48.83,83447513.0
2026-02-20,47.96,50.4499,47.76,50.06,118813778.0
2026-02-23,49.53,49.88,47.66,48.24,91951796.758721
2026-02-24,48.45,50.0399,47.82,49.78,71023309.331529
2026-02-25,50.55,51.96,50.53,51.87,54217195.58752
2026-02-26,51.63,51.64,48.71,50.05,105583756.951441
2026-02-27,48.45,49.77,48.26,49.52,93802209.583594
2026-03-02,47.46,50.15,47.23,49.7,108545943.005591
2026-03-03,46.81,48.67,45.715,48.1,163365515.250694
2026-03-04,48.69,50.79,48.52,50.26,99738423.04771
2026-03-05,49.44,50.76,48.17,49.8,129713209.624884
2026-03-06,47.66,49.05,47.18,47.54,141012236.658973
2026-03-09,46.19,49.77,45.5,49.39,159005492.481851
2026-03-10,49.41,50.74,48.83,49.4,115057232.069314
2026-03-11,49.68,50.52,48.7299,49.35,91104317.626898
2026-03-12,48.15,48.4881,46.75,46.83,130823889.252327
2026-03-13,47.35,48.25,45.67,45.93,141952545.164405
2026-03-16,47.365,48.27,47.18,47.46,81421541.223665
2026-03-17,48.12,48.76,47.81,48.16,74570090.847207
2026-03-18,47.72,48.11,46.05,46.1,105059285.953965
2026-03-19,44.87,46.32,44.3,45.69,138384909.305409
2026-03-20,45.18,45.21,42.3,43.08,137952495.075999
2026-03-23,45.11,46.15,44.125,44.57,139354268.873082
2026-03-24,43.835,44.55,43.19,43.62,105505193.818169
2026-03-25,44.7,45.22,43.945,44.39,79294402.979382
2026-03-26,43.23,43.68,41.15,41.23,117558871.28845
2026-03-27,40.56,40.59,38.56,38.78,124795741.219168
2026-03-30,39.75,39.9087,37.32,37.89,111446506.774925
2026-03-31,39.09,42.0,39.0693,41.68,149516163.740821
2026-04-01,42.63,43.98,42.41,43.23,116135527.264872
2026-04-02,40.88,43.55,40.44,43.33,111377317.152805
2026-04-06,43.6,44.585,43.27,44.1,69245136.028454
2026-04-07,43.45,44.21,41.84,44.15,131796221.997062
2026-04-08,48.64,48.92,47.15,48.0,102015116.71864
2026-04-09,48.015,49.09,47.31,48.96,78953594.797339
2026-04-10,49.355,49.81,48.82,49.17,65481558.544852
2026-04-13,48.78,50.74,48.46,50.66,67169143.246429
2026-04-14,51.39,53.43,51.38,53.41,72362348.485337
2026-04-15,53.57,55.7382,53.33,55.65,83243969.039712
2026-04-16,56.13,56.92,55.095,56.43,86398114.042122
2026-04-17,57.78,58.94,57.3699,58.59,103604000.876294
2026-04-20,58.4,58.58,56.91,58.08,67652788.568511
2026-04-21,58.48,58.97,56.82,57.4,91775196.976241
2026-04-22,58.93,60.3,58.49,60.21,73399831.806123
2026-04-23,59.8,60.73,57.59,59.22,92856854.86439
2026-04-24,61.08,62.735,60.56,62.56,80250657.498187
2026-04-27,62.41,62.6995,61.64,62.64,56614967.941229
2026-04-28,60.715,61.33,59.68,60.74,80631559.580031
2026-04-29,61.0,61.8675,60.45,61.86,77081402.294071
2026-04-30,62.89,63.8,60.7,63.54,81042682.328987
2026-05-01,63.89,65.84,63.81,65.3,67762932.373617
2026-05-04,65.44,66.05,63.78,64.91,60813806.052821
2026-05-05,66.37,67.7686,66.25,67.39,54098798.737887
2026-05-06,69.255,71.6587,68.88,71.57,70169043.047292
2026-05-07,71.87,73.295,70.38,71.34,93509106.994864
2026-05-08,72.82,76.31,72.695,76.28,68713740.943243
2026-05-11,76.0,77.36,75.55,76.96,60475028.464035
2026-05-12,75.3,75.9292,71.55,74.96,90651646.793549
2026-05-13,75.81,77.94,74.19,77.24,64416388.772819
2026-05-14,77.29,79.68,77.155,78.95,58472779.4549
2026-05-15,75.73,77.365,74.228,75.34,81260605.121377
2026-05-18,76.13,76.2713,72.1,74.32,87710120.474253
2026-05-19,72.41,74.5,70.9616,72.93,85973688.019564
2026-05-20,74.09,76.53,73.615,76.51,70647504.243899
2026-05-21,75.18,77.7895,74.47,76.95,74958080.499024
2026-05-22,78.04,79.33,77.332,77.84,58330530.868062
2026-05-26,80.59,82.27,79.98,81.95,62579633.877129
2026-05-27,82.87,82.91,80.33,81.67,66220965.011002
2026-05-28,81.74,84.05,80.655,83.68,55265904.076365
2026-05-29,84.41,85.7,83.53,84.56,67644084.758349
2026-06-01,84.145,87.06,83.75,86.04,57216019.871781
2026-06-02,85.94,87.32,84.83,87.22,48355014.230025
2026-06-03,87.68,88.09,85.41,86.56,62154484.484147
2026-06-04,83.47,86.245,82.475,85.22,59614610.500458
2026-06-05,81.569,82.08,72.68,73.05,118961266.029908
2026-06-08,76.86,78.47,75.38,76.27,77319034.471588
2026-06-09,78.48,79.3407,66.79,73.72,132485655.176564
2026-06-10,71.68,74.7,69.0,69.27,91465223.487104
2026-06-11,70.89,76.5979,69.59,76.01,116288785.603222
