date,open,high,low,close,volume
2026-02-10,364.33,364.7613,356.39,361.91,14622132.0
2026-02-11,370.075,379.58,368.39,374.09,18651340.0
2026-02-12,379.0,380.0,322.1,368.1,16835434.0
2026-02-13,369.15,371.1099,360.77,366.36,10468150.0
2026-02-17,361.865,366.2,356.24,364.2,10063802.0
2026-02-18,363.86,369.3899,360.71,362.26,7310453.0
2026-02-19,359.72,362.8,357.44,360.39,6346478.0
2026-02-20,359.78,372.2,359.1,370.54,9009239.0
2026-02-23,367.01,373.4299,366.46,370.04,9550221.927016
2026-02-24,379.4,389.18,376.05,385.75,13269457.849891
2026-02-25,390.205,390.205,384.83,387.73,10948404.350922
2026-02-26,386.18,386.4746,369.7,376.81,14535745.229359
2026-02-27,370.14,376.68,368.62,374.58,9186555.466353
2026-03-02,365.36,373.1,364.65,369.11,12571595.78608
2026-03-03,349.55,355.98,344.14,353.13,18580214.308097
2026-03-04,357.43,361.09,354.55,357.44,12131052.645541
2026-03-05,354.9,359.47,343.8,353.86,16249803.835217
2026-03-06,343.5,348.7199,336.69,338.89,13803038.355749
2026-03-09,335.6,349.4,331.92,348.7,19182765.166936
2026-03-10,348.47,353.5,344.31,347.09,12985620.615678
2026-03-11,353.93,357.35,350.3601,354.56,10683279.797181
2026-03-12,345.93,346.89,336.38,336.71,17549421.250239
2026-03-13,343.92,344.5169,336.22,338.31,17299921.689337
2026-03-16,341.25,344.63,339.82,340.23,11123540.385387
2026-03-17,340.6,346.76,338.4,345.98,11434604.121593
2026-03-18,345.775,347.95,339.335,339.57,12632625.039564
2026-03-19,329.22,339.9,325.19,338.79,15411566.738505
2026-03-20,336.68,337.6,325.9,329.24,17424155.247235
2026-03-23,331.1,343.41,331.1,338.45,15857233.27672
2026-03-24,335.57,344.88,334.02,343.25,9725008.391976
2026-03-25,346.0,350.445,343.5,347.75,12166926.046182
2026-03-26,339.82,340.91,325.37,326.11,14560166.365573
2026-03-27,324.83,329.56,322.3101,326.74,14484511.894877
2026-03-30,327.2,329.6,313.8,316.5,15739952.93267
2026-03-31,322.31,338.41,321.1437,337.95,18487992.516438
2026-04-01,343.9,348.68,339.75,341.49,15011626.76283
2026-04-02,326.84,342.07,326.8,339.04,8994644.815871
2026-04-06,339.75,344.2,338.62,341.76,5884800.11354
2026-04-07,339.44,345.53,335.6501,345.32,6823530.805541
2026-04-08,370.29,374.3,359.235,365.9,16356897.365003
2026-04-09,363.3,368.17,360.72,365.49,9245955.009022
2026-04-10,375.59,378.0,369.75,370.6,13168160.869926
2026-04-13,370.26,371.46,366.05,369.57,9596254.480648
2026-04-14,379.04,382.16,373.22,379.89,12859543.054762
2026-04-15,381.41,381.98,372.21,375.1,14955467.697637
2026-04-16,368.86,370.2,360.55,363.35,26405777.158257
2026-04-17,373.2,375.58,365.14,370.5,18419414.497457
2026-04-20,369.22,370.07,364.25,366.24,11638318.264266
2026-04-21,368.08,370.75,365.11,368.08,9808159.813697
2026-04-22,371.78,387.91,370.64,387.44,16317170.437913
2026-04-23,384.25,388.76,375.81,382.66,12224889.372677
2026-04-24,396.14,409.49,393.85,402.46,21603584.127081
2026-04-27,413.75,414.5,400.4,404.98,16561246.559898
2026-04-28,392.12,397.87,384.7,392.34,14715814.478268
2026-04-29,392.91,395.8474,388.18,393.83,10312967.935418
2026-04-30,397.805,398.79,385.71,396.06,12788141.303202
2026-05-01,393.44,403.99,392.13,397.67,9926401.37788
2026-05-04,404.515,407.7,395.2,401.61,9978542.931387
2026-05-05,404.595,406.129,392.6001,394.41,14578982.010576
2026-05-06,402.4,419.7,400.65,419.5,17736380.901603
2026-05-07,418.09,420.0,408.11,414.15,13403164.034596
2026-05-08,416.95,417.0,400.88,411.68,18531181.896803
2026-05-11,406.74,407.73,398.19,404.54,14679985.880339
2026-05-12,397.75,402.235,386.12,397.28,18121777.470631
2026-05-13,398.265,404.6799,391.47,399.8,13127828.170775
2026-05-14,403.205,421.97,402.1,417.72,18577103.910744
2026-05-15,406.5,409.87,398.83,404.35,11868600.086769
2026-05-18,406.88,406.88,391.05,395.95,12117190.324585
2026-05-19,389.51,398.875,385.06,392.61,14083037.438446
2026-05-20,397.0,403.88,395.95,401.62,10254314.935677
2026-05-21,399.505,411.46,399.505,407.15,8937904.534961
2026-05-22,409.43,410.67,402.86,404.52,7111898.826384
2026-05-26,413.12,416.49,410.07,412.32,10132013.692193
2026-05-27,427.015,430.55,415.3822,422.73,14695620.084924
2026-05-28,422.22,427.5969,414.71,424.86,8905841.880509
2026-05-29,427.07,430.44,417.25,418.45,11232272.846002
2026-06-01,424.88,449.39,422.5,435.63,18040410.316742
2026-06-02,440.58,448.38,436.01,446.69,10147918.296987
2026-06-03,449.99,450.1636,434.525,436.69,10245239.31216
2026-06-04,430.6334,448.01,427.3,444.92,10974148.158626
2026-06-05,429.77,433.9,412.79,415.17,19644166.049824
2026-06-08,423.77,433.81,422.53,426.8,11245405.888364
2026-06-09,430.88,438.1603,405.51,427.92,21199495.829344
