date,open,high,low,close,volume
2026-02-12,27.33,27.48,25.935,26.14,16259265.0
2026-02-13,26.415,26.815,25.64,25.81,13286151.0
2026-02-17,25.89,26.26,24.84,25.26,13547691.0
2026-02-18,25.13,25.84,24.94,25.5,17331278.0
2026-02-19,25.37,25.82,25.135,25.24,20280385.0
2026-02-20,25.15,26.12,24.91,25.1,15338938.0
2026-02-23,24.91,25.0,24.05,24.17,14439022.955356
2026-02-24,24.11,24.98,23.78,24.94,11968379.010166
2026-02-25,24.93,25.74,24.544,25.16,29451348.36756
2026-02-26,21.1,24.3299,21.08,23.95,52998587.905623
2026-02-27,23.51,24.09,22.47,23.82,23911242.127843
2026-03-02,23.075,24.34,22.88,24.32,20259811.319964
2026-03-03,24.06,25.245,23.53,25.0,19617033.048001
2026-03-04,25.035,25.59,24.57,25.17,22542822.005409
2026-03-05,31.489,32.9,29.2522,29.79,82707390.836505
2026-03-06,29.165,29.51,28.035,29.28,29200980.665945
2026-03-09,28.77,28.9662,27.98,28.56,16131132.857305
2026-03-10,28.63,28.63,27.12,27.66,16188603.851758
2026-03-11,28.09,28.29,26.83,27.28,12777820.039189
2026-03-12,27.42,28.08,26.47,26.525,11827116.836261
2026-03-13,26.645,27.5459,26.2,27.34,12999527.70793
2026-03-16,27.88,27.9988,26.93,27.08,10875325.550372
2026-03-17,27.16,28.64,24.82,25.07,40427160.273922
2026-03-18,23.34,24.5,23.0,23.55,36151537.251692
2026-03-19,23.205,24.0,22.95,23.51,17502949.362627
2026-03-20,23.49,24.49,23.2,24.11,24215557.270646
2026-03-23,24.33,24.65,23.73,23.95,14636692.810264
2026-03-24,23.82,23.88,21.57,22.34,30889619.111366
2026-03-25,22.68,23.13,21.54,21.97,15947695.473694
2026-03-26,21.76,22.36,21.55,21.74,14263293.464503
2026-03-27,21.61,21.64,21.03,21.28,14841978.78041
2026-03-30,21.2,22.57,21.2,22.01,21062673.964002
2026-03-31,22.0,23.3,21.98,22.69,42271424.284307
2026-04-01,22.64,22.82,21.72,21.98,16654941.884283
2026-04-02,21.74,22.525,21.455,22.05,12607232.607355
2026-04-06,21.89,22.54,21.89,22.21,8187883.998647
2026-04-07,22.11,22.54,20.375,20.7,22385906.755398
2026-04-08,21.52,21.725,20.11,20.25,21288602.235133
2026-04-09,20.21,20.69,19.74,20.61,19660028.371798
2026-04-10,20.7,21.02,19.97,20.09,12841944.381591
2026-04-13,20.15,21.285,20.12,21.22,14529380.964957
2026-04-14,21.33,21.92,20.925,21.02,12569065.343876
2026-04-15,21.43,22.55,21.3,22.38,15488583.322332
2026-04-16,22.77,23.39,22.62,22.76,17676474.916145
2026-04-17,23.066,23.42,22.3,22.47,19586713.469603
2026-04-20,22.27,24.315,22.25,24.05,21010684.640735
2026-04-21,23.925,24.0637,22.925,23.2,19405857.300843
2026-04-22,23.43,23.67,23.2001,23.56,11892031.922378
2026-04-23,23.26,23.27,22.13,22.62,13287470.220642
2026-04-24,23.64,24.17,22.98,23.97,21016163.365321
2026-04-27,23.25,23.91,22.86,23.14,15602774.751176
2026-04-28,23.04,23.6899,22.91,23.23,10842739.716519
2026-04-29,23.59,24.5075,23.45,24.37,20333436.841229
2026-04-30,23.87,23.91,23.15,23.59,14696492.361575
2026-05-01,24.31,24.87,24.02,24.24,17025167.865044
2026-05-04,24.58,24.8364,23.91,24.1,12388838.694585
2026-05-05,24.01,24.72,23.37,24.61,19634405.260573
2026-05-06,24.82,24.85,23.87,24.01,15459534.710253
2026-05-07,24.08,24.66,23.37,23.49,43042342.335727
2026-05-08,20.975,23.105,20.7251,23.08,41292178.069653
2026-05-11,22.75,22.89,20.835,21.52,21721403.439969
2026-05-12,21.765,21.88,21.035,21.14,16822626.204238
2026-05-13,20.895,20.895,19.83,20.49,18831977.966587
2026-05-14,20.44,20.64,20.035,20.41,14035276.70887
2026-05-15,20.46,21.17,20.4,21.15,17607743.012843
2026-05-18,20.99,22.5778,20.99,22.27,20491872.455189
2026-05-19,22.57,23.2399,21.11,21.16,19886419.931575
2026-05-20,20.765,21.04,20.22,21.02,21267322.235035
2026-05-21,20.88,21.41,20.62,21.28,10601999.515864
2026-05-22,21.35,22.508,21.31,22.38,16293640.634488
2026-05-26,22.0,22.56,21.75,22.18,16671319.372114
2026-05-27,22.125,23.36,22.125,22.29,17333895.933025
2026-05-28,21.24,21.76,20.8,21.15,21717960.325617
2026-05-29,21.2,22.155,20.9647,21.56,48457446.458061
2026-06-01,21.99,23.57,21.785,23.22,22967851.99571
2026-06-02,22.53,22.6,21.0,21.1,21905518.220381
2026-06-03,21.0,21.03,20.05,20.56,17597965.662612
2026-06-04,20.95,21.91,20.54,21.03,19800471.670667
2026-06-05,21.14,21.42,19.835,19.95,18202157.239279
2026-06-08,19.575,19.99,19.1,19.43,23456397.466743
2026-06-09,19.165,20.1273,19.06,19.89,18684903.638681
2026-06-10,19.575,20.585,19.2,19.29,21367427.811577
