date,open,high,low,close,volume
2026-02-02,96.12,105.76,96.12,102.76,2904885.0
2026-02-03,106.43,111.0,102.1625,107.57,3970977.0
2026-02-04,105.96,108.62,93.5423,96.22,3870587.0
2026-02-05,87.05,96.94,81.8,92.58,3812362.0
2026-02-06,96.925,101.59,93.65,98.58,2627694.0
2026-02-09,99.12,101.93,96.0,97.98,1910082.0
2026-02-10,97.19,98.0,92.89,93.77,1930515.0
2026-02-11,96.54,97.905,89.508,91.9,1985112.0
2026-02-12,94.45,95.16,88.515,92.33,2390858.0
2026-02-13,92.31,95.5318,89.99,91.8,1443710.0
2026-02-17,90.98,92.65,88.02,90.91,1582482.0
2026-02-18,91.26,96.98,89.75,93.97,1509859.0
2026-02-19,93.18,100.68,93.18,100.39,2060043.0
2026-02-20,99.53,110.29,99.45,107.93,3334367.0
2026-02-23,106.01,108.63,104.7,106.85,1503971.581302
2026-02-24,108.84,110.78,105.8275,106.7,1517172.422105
2026-02-25,108.97,113.46,108.5,108.86,1751452.352914
2026-02-26,109.05,109.48,101.3701,107.56,2151585.57278
2026-02-27,105.12,106.57,101.38,104.24,2092179.163401
2026-03-02,101.62,113.18,100.78,113.0,2362428.637735
2026-03-03,107.99,108.39,100.56,104.05,1822649.98591
2026-03-04,107.03,109.0,103.0584,105.14,1380259.819913
2026-03-05,102.46,105.415,94.9,98.95,2409751.85099
2026-03-06,95.16,97.25,87.655,87.91,2348369.188893
2026-03-09,86.42,96.89,85.875,96.8,2229142.485199
2026-03-10,96.93,99.89,95.93,96.43,1742919.99349
2026-03-11,95.85,99.35,94.31,95.44,939512.10082
2026-03-12,92.08,93.14,89.51,90.54,1270956.004167
2026-03-13,91.64,93.54,89.41,90.64,1022699.221672
2026-03-16,94.16,97.5,94.16,96.51,1206779.400593
2026-03-17,95.74,98.99,95.2,97.54,1390089.917952
2026-03-18,97.54,98.98,95.15,95.31,1608850.319513
2026-03-19,92.31,98.74,90.29,97.08,1807958.79311
2026-03-20,95.21,96.4,87.91,91.54,4344997.908485
2026-03-23,94.31,104.83,93.61,101.42,2766103.926703
2026-03-24,99.0,107.55,98.102,106.99,1914434.198237
2026-03-25,108.62,111.18,107.0,108.0,1242279.984622
2026-03-26,104.26,105.245,95.62,95.93,1792652.152709
2026-03-27,95.37,98.578,92.0701,95.47,1349175.395359
2026-03-30,97.39,97.39,86.75,88.29,1829057.945572
2026-03-31,91.53,97.725,91.0,97.42,1992171.600618
2026-04-01,100.33,101.4,95.81,97.08,1575500.415655
2026-04-02,90.23,98.11,89.7,97.48,1049443.943993
2026-04-06,97.17,98.93,94.35,95.7,932878.929939
2026-04-07,94.74,99.7,94.74,99.29,1194360.740959
2026-04-08,106.48,107.19,98.58,105.85,2141561.350188
2026-04-09,106.0,108.765,105.045,107.53,1155859.969904
2026-04-10,109.18,123.16,107.91,121.49,3062686.160061
2026-04-13,120.85,124.81,119.62,123.49,1342127.054481
2026-04-14,126.53,126.71,119.27,120.74,1648669.666795
2026-04-15,119.82,122.46,112.42,116.6,2304815.620565
2026-04-16,116.13,118.13,112.16,116.93,1739939.471736
2026-04-17,119.2,126.35,118.921,126.24,1672384.293888
2026-04-20,126.27,130.985,124.0,125.81,1629788.734628
2026-04-21,126.51,129.24,123.16,125.25,1411250.646808
2026-04-22,127.92,130.0,122.08,126.71,1488082.845954
2026-04-23,127.85,134.61,127.0,132.98,1732502.221442
2026-04-24,136.72,149.08,136.155,149.01,2669380.631769
2026-04-27,146.84,148.11,138.42,144.17,2582768.338653
2026-04-28,134.93,140.0,131.4,137.59,3007763.277889
2026-04-29,140.46,141.63,130.71,137.5,3573489.409469
2026-04-30,178.715,180.0,148.41,158.22,5863672.78751
2026-05-01,156.52,163.87,155.2128,158.99,2739833.158951
2026-05-04,163.2,165.0,151.09,157.47,2781297.135946
2026-05-05,158.39,164.5,157.3,159.58,2214148.753512
2026-05-06,165.0,166.58,155.25,164.64,1946701.242189
2026-05-07,164.3,164.3,150.55,153.77,2334882.232467
2026-05-08,157.99,158.0,150.42,157.31,2114993.082209
2026-05-11,156.67,166.66,155.0,162.99,2436562.673432
2026-05-12,159.345,163.79,149.2401,163.36,2078065.122754
2026-05-13,168.16,172.0,162.385,168.82,2655202.256861
2026-05-14,168.82,174.4999,167.44,171.87,1858959.906102
2026-05-15,166.0,169.62,159.011,167.35,2086963.395149
2026-05-18,168.15,170.5,154.72,158.86,1627460.669377
2026-05-19,156.48,164.35,148.3786,161.41,2199778.600048
2026-05-20,165.94,173.6299,164.01,169.36,2696990.231812
2026-05-21,169.37,178.6799,167.02,174.55,1776846.234499
2026-05-22,188.33,191.73,182.69,189.92,3084730.304012
2026-05-26,200.68,200.68,189.0101,196.95,3389550.223299
2026-05-27,196.48,196.5168,174.06,190.67,5117703.641441
2026-05-28,193.0,193.0,182.3819,187.79,3292335.077317
2026-05-29,189.96,193.0,171.53,173.72,4684235.509576
2026-06-01,169.94,176.47,166.08,172.44,2992658.7908
2026-06-02,178.0,180.674,172.06,179.62,2361723.807449
2026-06-03,180.49,191.12,176.0001,189.6,2567688.520388
2026-06-04,180.4,191.3,174.109,184.84,1847952.901541
2026-06-05,178.02,179.81,165.78,167.62,1992516.076003
2026-06-08,175.69,180.7361,169.57,178.38,2494926.794079
2026-06-09,185.0,188.39,162.3,173.86,2337980.454208
2026-06-10,173.09,186.99,167.5323,172.12,1642749.930756
2026-06-11,176.54,187.48,174.395,187.21,1714828.115894
