date,open,high,low,close,volume
2026-02-02,20.78,20.98,20.77,20.94,440202.0
2026-02-03,21.15,21.17,21.01,21.11,144712.0
2026-02-04,21.36,21.425,21.2,21.29,552258.0
2026-02-05,21.29,21.48,21.29,21.39,201852.0
2026-02-06,21.51,21.75,21.48,21.73,298226.0
2026-02-09,21.75,21.915,21.7456,21.89,132186.0
2026-02-10,21.875,21.92,21.81,21.9,121360.0
2026-02-11,21.86,21.86,21.71,21.83,219054.0
2026-02-12,21.94,22.25,21.84,21.89,330396.0
2026-02-13,21.84,21.989,21.76,21.94,107897.0
2026-02-17,21.79,21.9,21.61,21.85,125298.0
2026-02-18,22.16,22.29,22.1188,22.23,128793.0
2026-02-19,21.78,21.78,21.6,21.69,2110765.0
2026-02-20,21.5,21.715,21.48,21.63,1342345.0
2026-02-23,21.72,22.06,21.72,21.96,492120.844983
2026-02-24,22.01,22.1,21.9029,22.0,583537.232077
2026-02-25,22.02,22.02,21.9,22.0,178556.479813
2026-02-26,21.83,21.83,21.5,21.54,674081.125893
2026-02-27,21.2,21.365,21.02,21.35,1411226.692456
2026-03-02,20.3,20.53,20.18,20.31,2245567.3122
2026-03-03,19.48,19.75,19.13,19.69,4255092.839199
2026-03-04,20.0,20.1399,19.795,19.835,2349145.139548
2026-03-05,19.88,19.88,19.16,19.4,1747240.504102
2026-03-06,18.99,19.1454,18.86,19.08,1240473.028445
2026-03-09,18.77,19.3,18.49,19.17,1227207.17696
2026-03-10,19.2,19.46,19.055,19.11,1915028.254522
2026-03-11,18.88,18.88,18.57,18.68,774232.796435
2026-03-12,18.16,18.16,17.84,17.89,1265359.81856
2026-03-13,17.87,17.95,17.675,17.76,838768.726941
2026-03-16,17.76,17.93,17.555,17.9,1279545.284701
2026-03-17,18.35,18.5149,18.1,18.3,1232724.253235
2026-03-18,18.37,18.37,17.86,17.88,902671.012509
2026-03-19,17.98,17.985,17.6,17.92,901244.801972
2026-03-20,17.99,18.0,17.29,17.45,1171979.660074
2026-03-23,18.06,18.735,18.02,18.6,2457271.0095
2026-03-24,18.16,18.29,17.99,18.07,877630.454545
2026-03-25,18.9,19.05,18.62,18.71,738176.585845
2026-03-26,18.28,18.43,17.925,17.95,507075.473423
2026-03-27,18.225,18.2755,17.74,17.8,629342.138162
2026-03-30,18.07,18.07,17.805,17.84,362295.099821
2026-03-31,18.09,18.6503,17.995,18.65,1077339.632454
2026-04-01,18.51,18.74,18.51,18.65,938502.846226
2026-04-02,18.37,18.65,18.212,18.3,931257.231649
2026-04-06,18.45,18.56,18.235,18.37,402859.008769
2026-04-07,18.24,18.49,18.15,18.41,266068.666598
2026-04-08,19.49,19.65,19.17,19.215,1332841.175938
2026-04-09,19.22,19.495,19.14,19.48,469862.588753
2026-04-10,19.48,19.48,19.14,19.19,217186.965
2026-04-13,19.19,19.6,19.18,19.57,587279.596322
2026-04-14,19.55,19.95,19.4,19.92,582034.240331
2026-04-15,19.85,19.97,19.76,19.96,217076.421828
2026-04-16,19.96,20.0,19.76,19.79,358761.685534
2026-04-17,20.07,20.552,20.05,20.4,452850.207084
2026-04-20,19.9,19.91,19.6105,19.86,286177.206967
2026-04-21,19.8,19.8,19.34,19.51,1254853.14699
2026-04-22,19.36,19.4999,19.32,19.43,198167.073405
2026-04-23,19.32,19.39,18.925,19.07,510504.394359
2026-04-24,19.4,19.5,19.29,19.46,63814.406998
2026-04-27,19.39,19.56,19.385,19.46,112799.802356
2026-04-28,19.46,19.74,19.42,19.64,452159.73672
2026-04-29,19.64,19.71,19.5,19.55,129779.902265
2026-04-30,19.34,19.34,19.1,19.23,491541.935982
2026-05-01,19.21,19.5,19.21,19.47,197999.365834
2026-05-04,19.43,19.455,18.94,18.98,682839.95077
2026-05-05,19.26,19.33,19.08,19.16,261055.609324
2026-05-06,19.78,19.78,19.62,19.76,306751.35684
2026-05-07,19.8,19.8,19.43,19.49,236002.364387
2026-05-08,19.59,19.7,19.565,19.57,108021.341103
2026-05-11,19.43,19.46,19.15,19.2,514784.475569
2026-05-12,19.11,19.1786,18.865,19.0,345209.101019
2026-05-13,19.05,19.18,18.835,18.97,533873.827391
2026-05-14,19.1,19.18,19.0004,19.04,90201.150207
2026-05-15,18.95,19.0,18.84,18.92,228203.970318
2026-05-18,18.58,18.6973,18.43,18.6,227045.014639
2026-05-19,18.82,18.86,18.69,18.77,118047.204639
2026-05-20,18.61,18.92,18.56,18.88,725050.780624
2026-05-21,18.7,19.06,18.68,19.05,904359.253709
2026-05-22,19.1,19.1,18.85,18.915,597303.253231
2026-05-26,19.35,19.35,18.82,18.96,500328.212818
2026-05-27,19.2,19.27,19.02,19.17,1493707.848255
2026-05-28,19.3,19.67,19.1079,19.63,367626.492813
2026-05-29,19.5,19.63,19.31,19.53,375077.252549
2026-06-01,19.0,19.155,18.8003,19.01,292784.361442
2026-06-02,18.86,18.91,18.71,18.84,198791.815094
2026-06-03,18.71,18.71,18.51,18.58,89475.55538
2026-06-04,18.61,18.94,18.56,18.85,310132.397339
2026-06-05,18.81,18.81,18.44,18.5,621335.415678
2026-06-08,18.5,18.79,18.5,18.7,170699.113382
2026-06-09,18.75,18.858,18.325,18.51,542954.412582
2026-06-10,18.62,18.79,18.52,18.54,241035.589591
2026-06-11,18.67,18.955,18.445,18.9,331783.29364
2026-06-12,19.52,19.65,19.32,19.62,877184.609346
