date,open,high,low,close,volume
2026-02-02,46.89,47.905,46.775,47.76,1976320.0
2026-02-03,47.56,47.92,47.17,47.67,2471184.0
2026-02-04,45.365,45.71,44.525,44.85,4703934.0
2026-02-05,44.12,44.43,43.57,43.77,4782419.0
2026-02-06,43.29,43.955,43.285,43.91,3170318.0
2026-02-09,43.66,44.545,43.58,44.43,1997005.0
2026-02-10,44.38,44.545,43.32,43.87,3164000.0
2026-02-11,42.62,42.855,41.82,42.27,4268749.0
2026-02-12,42.87,43.03,41.79,42.26,3084094.0
2026-02-13,41.47,42.02,41.24,41.99,2942070.0
2026-02-17,41.99,42.35,41.94,42.32,2498503.0
2026-02-18,42.99,43.47,42.95,43.29,1880181.0
2026-02-19,42.39,42.475,42.12,42.33,2431686.0
2026-02-20,42.5,42.88,42.19,42.57,2048220.0
2026-02-23,42.42,42.57,41.2401,41.53,2478140.159067
2026-02-24,41.03,41.46,40.85,41.2,2799928.193144
2026-02-25,41.09,41.575,41.02,41.54,3023217.013542
2026-02-26,41.77,41.925,41.445,41.9,2157176.049477
2026-02-27,41.53,41.7,41.07,41.43,2599617.471129
2026-03-02,40.01,41.1,40.0,40.88,2773956.429424
2026-03-03,38.63,39.995,38.455,39.7,3523318.700703
2026-03-04,39.74,39.92,39.54,39.76,2743718.674643
2026-03-05,39.255,39.74,38.855,39.26,2545490.418523
2026-03-06,38.25,38.605,37.93,38.44,2677104.232572
2026-03-09,37.67,38.7403,37.195,38.63,3694203.352492
2026-03-10,39.43,39.46,38.72,38.83,3841241.406214
2026-03-11,38.71,38.92,38.385,38.89,3656213.127616
2026-03-12,37.785,37.98,37.25,37.51,3342176.31631
2026-03-13,37.54,37.68,36.835,36.94,2661454.701037
2026-03-16,37.18,37.7,37.18,37.44,2764438.847752
2026-03-17,38.01,38.45,37.935,37.97,3280748.203443
2026-03-18,37.79,38.12,37.325,37.39,1954129.942733
2026-03-19,36.65,37.57,36.6,37.36,2438468.826534
2026-03-20,37.34,37.4,36.445,36.73,3826343.803415
2026-03-23,37.6,38.25,37.35,37.54,3367060.057632
2026-03-24,36.77,37.21,36.66,36.99,3044479.934252
2026-03-25,38.19,38.34,37.73,38.1,3136181.203692
2026-03-26,37.54,37.81,37.13,37.26,2739029.285682
2026-03-27,36.92,37.08,36.295,36.41,2492106.502268
2026-03-30,36.65,37.14,36.5,36.67,2721850.558368
2026-03-31,38.325,39.12,38.055,39.07,4644087.396663
2026-04-01,40.14,40.265,39.53,39.74,4466908.48888
2026-04-02,38.765,39.67,38.675,39.43,2328851.334138
2026-04-06,39.34,39.76,39.34,39.69,1447907.074776
2026-04-07,39.23,39.665,38.8,39.57,2413001.837773
2026-04-08,41.925,41.94,40.98,41.34,3309994.433432
2026-04-09,40.97,41.565,40.815,41.39,2047637.885366
2026-04-10,41.88,41.9,41.275,41.49,2702221.754955
2026-04-13,41.58,42.67,41.46,42.63,2166850.513456
2026-04-14,42.89,43.0493,42.83,42.88,1611175.720003
2026-04-15,42.97,43.33,42.93,43.11,2056643.194161
2026-04-16,43.43,43.44,42.65,42.72,1987559.51219
2026-04-17,43.94,44.435,43.72,43.74,3134956.013708
2026-04-20,43.57,43.9,43.345,43.82,2326019.191768
2026-04-21,43.79,44.11,43.155,43.23,1842697.363318
2026-04-22,43.41,43.455,42.38,42.4,4167610.442154
2026-04-23,41.45,41.73,40.62,41.04,3229492.181939
2026-04-24,41.335,41.67,41.09,41.41,1695734.565288
2026-04-27,42.0,42.37,41.98,42.17,2060013.010101
2026-04-28,42.08,42.29,41.945,42.1,1615736.845725
2026-04-29,44.12,44.28,42.62,42.72,4781554.211255
2026-04-30,43.29,44.215,43.19,43.9,3858377.272179
2026-05-01,43.54,44.05,43.405,43.69,1791760.174096
2026-05-04,43.65,43.86,43.23,43.36,3051423.216237
2026-05-05,43.8,44.255,43.565,44.1,2277487.19155
2026-05-06,45.45,45.54,45.1,45.21,2235381.444785
2026-05-07,45.51,45.56,44.29,44.41,2225301.287918
2026-05-08,45.17,45.23,44.92,45.23,1946000.429163
2026-05-11,45.31,45.31,44.72,44.84,1974892.169764
2026-05-12,44.18,45.17,44.095,45.15,1881242.731444
2026-05-13,45.7,46.435,45.551,46.28,1919525.056543
2026-05-14,46.59,46.71,46.18,46.35,1722364.395083
2026-05-15,45.66,45.8,45.375,45.54,2385073.088287
2026-05-18,46.24,46.675,45.93,46.29,2778748.117326
2026-05-19,46.19,46.24,45.53,45.56,2356856.978899
2026-05-20,46.22,47.31,46.02,47.27,2706720.664512
2026-05-21,46.54,47.775,46.54,47.57,3385497.549393
2026-05-22,47.35,47.45,46.87,46.96,1646977.201068
2026-05-26,47.72,47.91,47.46,47.78,1839767.690034
2026-05-27,47.49,47.665,46.815,47.16,2241298.603579
2026-05-28,46.71,47.13,46.42,46.84,2066595.057457
2026-05-29,47.3,47.56,47.08,47.08,1584039.860112
2026-06-01,46.98,48.0,46.95,47.99,1936228.427906
2026-06-02,48.14,48.45,47.935,48.16,1915095.031846
2026-06-03,47.68,47.73,47.185,47.32,1683083.211053
2026-06-04,47.35,47.775,47.27,47.67,2366833.49147
2026-06-05,47.51,47.6659,46.755,47.01,3041698.738972
2026-06-08,47.39,47.63,47.19,47.29,2427053.02534
2026-06-09,48.48,48.73,47.105,47.86,3872598.008264
2026-06-10,47.45,47.71,46.76,46.77,2020146.984234
2026-06-11,47.01,48.215,46.78,48.19,1893573.184397
2026-06-12,48.32,48.975,48.16,48.97,2746944.142685
