date,open,high,low,close,volume
2026-02-02,56.26,57.5751,56.0,57.21,263458.0
2026-02-03,57.0,58.95,56.89,57.53,245684.0
2026-02-04,58.03,59.76,58.03,59.04,251939.0
2026-02-05,54.58,57.19,50.18,50.35,300430.0
2026-02-06,51.09,52.015,49.43,49.92,348333.0
2026-02-09,49.7,50.21,48.49,48.81,273459.0
2026-02-10,49.19,50.82,49.19,50.23,248381.0
2026-02-11,50.71,51.2499,49.275,49.52,175171.0
2026-02-12,50.05,50.05,47.84,48.77,184809.0
2026-02-13,48.74,50.0,48.36,49.69,161147.0
2026-02-17,49.67,50.58,49.31,50.25,176607.0
2026-02-18,50.68,51.74,50.0,51.58,175462.0
2026-02-19,51.1,51.6,50.77,51.52,136310.0
2026-02-20,51.18,52.27,51.07,51.77,133034.0
2026-02-23,51.03,51.48,49.92,50.39,205930.94643
2026-02-24,50.4,51.69,50.35,51.08,208820.742648
2026-02-25,51.37,51.37,49.51,50.22,252143.115119
2026-02-26,50.6,51.07,49.615,50.52,196842.57807
2026-02-27,50.25,50.75,49.48,50.66,123415.299675
2026-03-02,49.75,52.23,49.5,52.23,154523.459423
2026-03-03,51.36,51.94,50.23,51.1,121062.05549
2026-03-04,51.69,51.69,50.83,50.98,121804.688042
2026-03-05,50.73,51.015,50.33,50.95,214692.250387
2026-03-06,50.11,50.18,49.17,49.84,221841.802331
2026-03-09,49.09,49.275,47.82,48.49,250029.14439
2026-03-10,48.49,48.715,47.74,47.87,199637.821288
2026-03-11,48.03,48.39,47.26,47.4,155790.428878
2026-03-12,47.0,47.47,45.17,45.52,419843.3401
2026-03-13,45.8,46.165,45.37,45.87,264045.918923
2026-03-16,46.8,46.8,45.25,45.49,193143.037352
2026-03-17,46.21,46.72,45.53,45.55,393374.706866
2026-03-18,45.2,45.51,43.93,43.93,287746.697375
2026-03-19,43.49,43.585,42.42,42.83,378340.459872
2026-03-20,42.72,42.94,41.945,42.19,412303.267077
2026-03-23,43.46,44.905,43.2,44.66,263147.322643
2026-03-24,44.03,45.65,44.03,44.54,207202.32233
2026-03-25,45.24,45.98,44.8,45.67,183436.644683
2026-03-26,45.39,45.9875,44.92,45.52,279541.725486
2026-03-27,45.14,46.26,44.96,45.69,320307.796086
2026-03-30,46.46,46.93,45.71,46.27,262699.976788
2026-03-31,46.94,48.26,46.321,47.78,246490.729562
2026-04-01,47.79,48.47,47.12,47.12,195159.566615
2026-04-02,46.8,47.53,46.27,47.29,288045.142069
2026-04-06,47.0,48.68,46.93,48.64,334330.965051
2026-04-07,48.43,49.58,48.21,48.76,187497.762324
2026-04-08,49.98,50.6922,49.62,50.18,155748.58478
2026-04-09,50.21,50.75,49.87,50.26,193464.92135
2026-04-10,50.54,51.22,50.1419,51.21,160665.173728
2026-04-13,50.9,52.73,50.505,52.65,588872.904645
2026-04-14,52.51,52.96,51.75,51.84,277032.536379
2026-04-15,52.035,52.035,50.75,51.22,202101.806738
2026-04-16,51.16,52.29,50.5,51.67,149587.155543
2026-04-17,52.06,53.195,52.06,52.63,142199.364189
2026-04-20,52.67,53.86,52.635,53.37,261952.962763
2026-04-21,53.67,54.135,52.825,53.55,204066.186196
2026-04-22,53.9,54.36,52.9454,53.25,229501.121477
2026-04-23,53.36,54.025,53.1,53.29,242653.290325
2026-04-24,53.2,53.2,52.28,52.59,163664.150177
2026-04-27,52.38,53.09,52.38,52.58,214788.346751
2026-04-28,52.97,53.205,52.1525,52.6,174884.474875
2026-04-29,52.42,52.62,50.07,50.71,255720.201266
2026-04-30,50.94,51.51,50.32,51.36,265695.837077
2026-05-01,51.72,52.02,51.12,51.6,176582.798964
2026-05-04,51.32,51.39,49.94,50.39,165611.979208
2026-05-05,50.36,51.52,50.36,51.17,203977.674223
2026-05-06,51.94,52.82,51.94,52.1,187530.28599
2026-05-07,52.09,52.48,51.59,52.12,182005.845516
2026-05-08,52.71,53.31,52.255,52.82,177084.983609
2026-05-11,52.41,52.97,51.89,51.94,184388.217586
2026-05-12,51.83,51.96,50.61,50.7,167535.957738
2026-05-13,50.77,50.77,49.22,49.55,189402.518262
2026-05-14,49.45,50.3,49.17,49.67,212632.79952
2026-05-15,49.45,49.46,48.465,48.67,199194.742455
2026-05-18,48.86,49.73,48.37,49.3,192700.257036
2026-05-19,49.37,49.4,48.21,48.96,163501.587638
2026-05-20,48.86,50.29,48.715,50.27,218132.857767
2026-05-21,49.94,51.23,49.375,51.2,190530.370963
2026-05-22,51.19,51.81,50.9801,51.55,180665.685926
2026-05-26,51.03,51.86,50.825,51.1,208999.489201
2026-05-27,50.8,52.2,50.48,52.04,239408.260047
2026-05-28,52.77,59.15,51.65,59.05,793356.341623
2026-05-29,58.53,58.53,56.76,57.89,382008.26273
2026-06-01,57.68,57.68,55.685,56.66,350754.241949
2026-06-02,56.21,57.12,55.55,56.25,323377.205191
2026-06-03,55.54,56.065,54.84,55.06,218627.078666
2026-06-04,55.96,56.51,54.94,56.44,197157.260368
2026-06-05,56.39,58.05,56.39,57.55,254367.389535
2026-06-08,57.76,59.98,57.71,59.53,376699.812383
2026-06-09,59.83,62.11,59.83,61.76,423117.858067
2026-06-10,61.59,61.9965,60.66,61.15,219478.004848
2026-06-11,61.37,62.33,60.94,62.03,379785.968271
2026-06-12,62.36,62.8567,61.45,62.38,264207.60643
