date,open,high,low,close,volume
2026-02-02,13.54,13.99,13.1801,13.59,1704019.0
2026-02-03,13.88,15.47,13.3,15.41,2625798.0
2026-02-04,14.98,15.2257,12.385,12.73,3626163.0
2026-02-05,12.02,12.4,11.02,11.09,3514897.0
2026-02-06,12.15,12.89,11.5401,12.77,2431103.0
2026-02-09,12.69,14.1699,12.28,13.93,2505844.0
2026-02-10,13.75,13.84,12.49,12.6,1956719.0
2026-02-11,13.16,13.2,11.72,12.07,1539345.0
2026-02-12,12.1,12.2,11.39,11.86,1820928.0
2026-02-13,11.84,12.6,11.6,11.92,1591414.0
2026-02-17,11.62,12.63,11.4,12.14,1441000.0
2026-02-18,12.4,13.48,12.15,13.4,2277784.0
2026-02-19,12.94,14.59,12.891,14.46,3401464.0
2026-02-20,13.99,15.18,13.12,13.44,2797511.0
2026-02-23,13.24,13.85,12.91,13.81,1495756.703103
2026-02-24,13.71,13.85,13.01,13.31,1568830.161841
2026-02-25,13.44,14.31,13.21,13.44,1950337.057281
2026-02-26,13.5,13.805,13.0454,13.76,1437046.057193
2026-02-27,13.3,13.77,13.02,13.65,1297812.94917
2026-03-02,14.42,16.2099,13.71,14.21,5066086.172245
2026-03-03,15.0,15.59,13.32,13.87,5519363.517789
2026-03-04,14.03,14.84,13.5296,14.68,2289405.139856
2026-03-05,14.54,15.45,13.92,15.26,3791385.798434
2026-03-06,15.03,17.2,14.95,16.45,7283089.76528
2026-03-09,18.5,18.6,16.0613,17.28,7397071.889097
2026-03-10,17.32,19.93,16.8411,18.5,7757690.093419
2026-03-11,18.7,20.8,18.26,19.84,6134282.323632
2026-03-12,20.01,23.38,19.53,22.15,10337784.269017
2026-03-13,23.0,23.0,19.9,20.4,6070640.569385
2026-03-16,20.2,20.6303,17.79,18.61,6493956.290533
2026-03-17,18.55,20.99,18.4301,20.91,4657710.888377
2026-03-18,20.7,21.9175,20.02,20.11,4807157.993975
2026-03-19,19.57,19.8,18.38,18.6,3756315.068475
2026-03-20,16.92,17.08,14.72,14.87,14658784.017155
2026-03-23,15.23,16.365,14.49,15.99,5762892.843131
2026-03-24,15.7,16.49,15.05,15.09,3318678.728051
2026-03-25,15.46,15.53,14.25,14.86,5291203.469055
2026-03-26,14.5,14.87,13.325,13.44,4085169.197659
2026-03-27,13.24,13.3,11.71,11.78,5826062.562455
2026-03-30,12.26,12.4064,10.64,11.1,6522545.924137
2026-03-31,11.25,12.48,11.05,12.4,6257874.637368
2026-04-01,13.34,13.4993,12.2,12.34,3945902.136806
2026-04-02,11.94,14.0799,11.75,13.6,4783905.085308
2026-04-06,13.84,14.28,13.1562,13.71,3490431.843166
2026-04-07,13.92,14.4,12.8,13.15,5523991.521136
2026-04-08,13.98,14.25,12.33,12.85,4034851.360236
2026-04-09,12.82,13.07,12.13,12.41,2649925.562649
2026-04-10,12.6,13.81,12.52,13.7,3833512.747173
2026-04-13,13.6,14.0,13.13,14.0,3092983.516961
2026-04-14,14.35,14.55,13.475,13.99,3820443.877214
2026-04-15,14.27,15.42,13.88,15.42,5029317.889586
2026-04-16,15.5,16.169,14.71,15.91,4210096.04861
2026-04-17,16.13,16.4,13.62,14.09,7648907.128568
2026-04-20,14.06,16.1399,14.0,15.44,6037168.735011
2026-04-21,15.55,16.11,15.05,15.37,3730777.285484
2026-04-22,15.8,17.2,15.8,16.45,5698952.132822
2026-04-23,16.05,16.3,15.25,16.13,3023520.256633
2026-04-24,16.1,16.1,14.3,14.65,4915325.183787
2026-04-27,14.59,14.91,14.2,14.82,2492190.762947
2026-04-28,14.48,14.73,13.87,14.49,2472101.144739
2026-04-29,14.4,14.4579,13.1701,13.74,3660285.601737
2026-04-30,13.66,14.69,13.6073,14.59,2422654.576847
2026-05-01,14.69,14.7,13.62,14.19,2452863.509093
2026-05-04,14.0,14.19,13.55,13.81,2224689.532732
2026-05-05,13.88,13.88,13.21,13.59,2280267.173288
2026-05-06,13.78,14.27,13.4,14.26,2221156.381087
2026-05-07,14.05,14.05,13.34,13.5,2048763.678904
2026-05-08,13.61,13.92,12.945,13.42,4231866.835813
2026-05-11,13.53,15.83,13.35,15.34,5297417.890975
2026-05-12,14.75,15.46,13.89,14.12,3723949.481193
2026-05-13,15.125,15.21,13.74,14.97,5008895.773699
2026-05-14,15.345,17.07,14.85,16.93,8075153.579718
2026-05-15,15.42,16.76,15.02,16.2,5535332.486421
2026-05-18,15.86,15.95,13.89,14.45,5564195.247143
2026-05-19,14.1,14.27,13.055,13.66,3706428.132759
2026-05-20,13.82,14.45,13.36,14.37,2601934.696071
2026-05-21,14.29,14.83,13.73,14.8,2579033.188918
2026-05-22,14.84,16.88,14.76,16.78,6942456.593059
2026-05-26,17.0,18.88,16.51,17.28,6273467.63066
2026-05-27,17.17,19.1,16.65,18.83,6718424.021284
2026-05-28,25.0,32.0,24.7,29.6,48724904.017788
2026-05-29,29.305,32.36,24.28,31.78,26233700.688272
2026-06-01,30.07,32.0,27.4029,28.88,11031339.706901
2026-06-02,30.58,34.36,29.972,33.42,14854688.257972
2026-06-03,31.08,32.4799,28.26,28.86,9139019.295055
2026-06-04,28.0,32.93,27.11,32.3,8207810.003238
2026-06-05,30.81,30.95,25.5501,26.7,7905637.40492
